name,type,csv_file,rows_exported
cleaned_documents,table,table__cleaned_documents.csv,94
contextual_chunk,table,table__contextual_chunk.csv,4945
non_taxonomic_edges,table,table__non_taxonomic_edges.csv,9055
non_taxonomic_edges_accept,table,table__non_taxonomic_edges_accept.csv,5950
non_taxonomic_edges_clean,table,table__non_taxonomic_edges_clean.csv,7692
non_taxonomic_edges_llm_binary,table,table__non_taxonomic_edges_llm_binary.csv,7692
non_taxonomic_edges_llm_binary_old_20260130_143355,table,table__non_taxonomic_edges_llm_binary_old_20260130_143355.csv,600
raw_documents,table,table__raw_documents.csv,94
sentence_lemmatized,table,table__sentence_lemmatized.csv,52981
sentence_segmented,table,table__sentence_segmented.csv,52981
skipgram_neighbors,table,table__skipgram_neighbors.csv,101260
taxonomy_is_a,table,table__taxonomy_is_a.csv,4211
taxonomy_is_a_final,table,table__taxonomy_is_a_final.csv,4211
term_candidates,table,table__term_candidates.csv,30058
term_enrichment,table,table__term_enrichment.csv,15276
term_enrichment_exten,table,table__term_enrichment_exten.csv,14303
term_occurrences,table,table__term_occurrences.csv,140012
