id,doc_id,sentence_id,sentence_text,subj_text,subj_canonical_id,subj_canonical_term,rel_text_raw,rel_key,obj_text,obj_canonical_id,obj_canonical_term,method,created_at
1,doc_778e,doc_778e_sent_00002,"Getting started
Release notes
Quick start guide
LSF user foundations
Installing and upgrading LSF
Videos in the IBM Spectrum LSF User Group library
Product legal notices
Working with jobs
Running jobs
Monitoring jobs
Controlling jobs
Managing your cluster
LSF administrator foundations
Administering LSF
LSF reference
Troubleshooting and support
../lsf_release_notes/lsf_relnotes_sysreq.html#concept_n5r_2bc_ww
Troubleshooting LSF problems
Error and event logging
Fixed bug lists - IBM Spectrum LSF",Quick,17579,quick,start,start,guide,1876,guide,openie_spacy,2026-01-30T04:00:21Z
2,doc_2ca9,doc_2ca9_sent_00017,"Release notes for IBM Spectrum LSF Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF Version 10.1. Learn about product updates, compatibility issues, limitations,
known problems, and bugs ﬁxed in the current release. Find LSF product documentation and other information about IBM Spectrum
Computing products.",Release notes,12285,detailed change,read,read,this document,23631,document,openie_spacy,2026-01-30T04:00:21Z
3,doc_2ca9,doc_2ca9_sent_00018,"Release notes for IBM Spectrum LSF License Scheduler Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF License Scheduler Version 10.1. Learn about the detailed changes, known
issues and limitations in the current release.",Release notes,12285,detailed change,read,read,this document,23631,document,openie_spacy,2026-01-30T04:00:21Z
4,doc_2ca9,doc_2ca9_sent_00019,"Release notes for IBM Spectrum LSF Session Scheduler Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF Session Scheduler Version 10.1.",Release notes,12285,detailed change,read,read,this document,23631,document,openie_spacy,2026-01-30T04:00:21Z
5,doc_2ca9,doc_2ca9_sent_00020,"Release notes for IBM Spectrum LSF Version 10.1
Read this document to ﬁnd out what's new in IBM Spectrum LSF Version 10.1. Learn about product updates, compatibility issues, limitations, known
problems, and bugs ﬁxed in the current release. Find LSF product documentation and other information about IBM Spectrum Computing products.",Release notes,12285,detailed change,read,read,this document,23631,document,openie_spacy,2026-01-30T04:00:21Z
6,doc_2ca9,doc_2ca9_sent_00024,"Getting ﬁxes from IBM Fix Central
 After you install or upgrade LSF, use IBM Fix Central to ﬁnd and download the ﬁxes that are recommended by IBM Support for LSF products.",Fix Central,12289,fix central,get from,get_from,IBM,8549,ibm,openie_spacy,2026-01-30T04:00:21Z
7,doc_2ca9,doc_2ca9_sent_00052,This Fix Pack applies only to IBM POWER9 platforms.,This Fix Pack,25,fix pack,apply to,apply_to,IBM POWER9 platforms,12296,ibm power9 platform,openie_spacy,2026-01-30T04:00:21Z
8,doc_2ca9,doc_2ca9_sent_00097,"In Fix Pack 15, LSF sets the cpu.shares and cpu.weight values to the number of cores the job will be using on the host, so that jobs that are less
CPU intensive can be given a fraction of the CPU share or weight of other jobs.",LSF,27,lsf,set in,set_in,Fix Pack,25,fix pack,openie_spacy,2026-01-30T04:00:21Z
9,doc_2ca9,doc_2ca9_sent_00097,"In Fix Pack 15, LSF sets the cpu.shares and cpu.weight values to the number of cores the job will be using on the host, so that jobs that are less
CPU intensive can be given a fraction of the CPU share or weight of other jobs.",the job,17,job,use on,use_on,the host,47,host,openie_spacy,2026-01-30T04:00:21Z
10,doc_2ca9,doc_2ca9_sent_00112,The service class deﬁned exists on forwarded cluster.,The service class,2622,service class,exist on,exist_on,forwarded cluster,7408,forwarded cluster,openie_spacy,2026-01-30T04:00:21Z
11,doc_2ca9,doc_2ca9_sent_00125,"You can now specify LSF to write output ﬁles to the Docker container ﬁle system; set this by conﬁguring the new container_io() keyword for the
CONTAINER parameter in the lsb.applications ﬁle (for applications), lsb.queues ﬁle (for queues) , or both. If set, you can also specify another
new job_pre_post() keyword, which enables LSF to run the user-level pre-execution and post-execution commands inside your Docker
containers.",LSF,27,lsf,run,run,execution,1430,execution,openie_spacy,2026-01-30T04:00:21Z
