term_id,term_text,term_lemma,length_tokens,freq_total,freq_docs,idf,tf_idf,created_at,updated_at
1,Open hosts queues,open host queue,3,1,1,4.860729711040595,4.860729711040595,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
2,badmin,badmin,1,52,17,2.6635051337043762,138.50226695262756,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
3,badmin qact,badmin qact,2,1,1,4.860729711040595,4.860729711040595,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
4,fix,fix,1,40,11,3.0689702418125404,122.75880967250161,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
5,multiple versions,multiple version,2,3,2,4.455264602932431,13.365793808797292,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
6,fix level,fix level,2,1,1,4.860729711040595,4.860729711040595,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
7,version fix,version fix,2,1,1,4.860729711040595,4.860729711040595,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
8,multiple platforms,multiple platform,2,1,1,4.860729711040595,4.860729711040595,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
9,fix multiple packages,fix multiple package,3,1,1,4.860729711040595,4.860729711040595,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
10,previous version,previous version,2,3,2,4.455264602932431,13.365793808797292,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
11,information,information,1,375,50,1.622051258876215,608.2692220785807,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
12,-r,-r,1,182,26,2.2580400255962116,410.96328465851053,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
13,option patchinstall command,option patchinstall command,3,1,1,4.860729711040595,4.860729711040595,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
14,status ebrokerd daemon,statu ebrokerd daemon,3,2,2,4.455264602932431,8.910529205864862,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
15,subcommand,subcommand,1,45,7,3.474435349920705,156.34959074643172,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
16,log files,log file,2,62,14,2.8458266904983307,176.4412548108965,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
17,jobs,job,1,5156,86,1.0879687729459573,5609.566993309356,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
18,ebrokerd daemon,ebrokerd daemon,2,8,4,3.9444389791664403,31.555511833331522,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
19,process,process,1,95,21,2.4628344382422247,233.96927163301135,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
20,badmin command,badmin command,2,17,6,3.6079667425452273,61.33543462326887,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
21,JOB_FINISH2 LSF event,job_finish2 lsf event,3,3,2,4.455264602932431,13.365793808797292,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
22,LSF lsb.stream file,lsf lsb.stream file,3,2,1,4.860729711040595,9.72145942208119,2026-01-29T16:31:22Z,2026-01-29T16:31:22Z
