canonical_id,canonical_term,term_type,synonyms_json,abbreviations_json,member_term_ids_json,representative_original,original_terms_json,generic_score,is_generic,generic_reasons_json,freq_total,freq_docs,created_at,updated_at
2,badmin,,[],[],[2],badmin,"[""badmin""]",2.0,0,"[""no domain anchor in variants""]",52,17,2026-01-29T16:31:24,2026-01-29T16:31:24
4,fix,,[],[],[4],fix,"[""fix""]",2.0,0,"[""no domain anchor in variants""]",40,11,2026-01-29T16:31:24,2026-01-29T16:31:24
5,version,,"[""multiple versions""]",[],"[5, 1594]",Version,"[""Version"", ""multiple versions""]",2.0,0,"[""no domain anchor in variants""]",80,20,2026-01-29T16:31:24,2026-01-29T16:31:24
10,previous version,,[],[],[10],previous version,"[""previous version""]",2.0,0,"[""no domain anchor in variants""]",3,2,2026-01-29T16:31:24,2026-01-29T16:31:24
11,information,,"[""specific information""]",[],"[11, 8416]",information,"[""information"", ""specific information""]",6.5,1,"[""headword='information' is generic-ish"", ""no domain anchor in variants"", ""very common abstract concept (information/data)""]",377,50,2026-01-29T16:31:24,2026-01-29T16:31:24
12,r,,"[""-r""]",[],[12],-r,"[""-r""]",2.0,0,"[""no domain anchor in variants""]",182,26,2026-01-29T16:31:24,2026-01-29T16:31:24
14,statu ebrokerd daemon,,"[""status ebrokerd daemon""]",[],[14],status ebrokerd daemon,"[""status ebrokerd daemon""]",2.0,0,"[""no domain anchor in variants""]",2,2,2026-01-29T16:31:24,2026-01-29T16:31:24
15,subcommand,,[],[],[15],subcommand,"[""subcommand""]",2.0,0,"[""no domain anchor in variants""]",45,7,2026-01-29T16:31:24,2026-01-29T16:31:24
16,log file,,"[""default log file"", ""log files""]",[],"[16, 3027]",log files,"[""default log file"", ""log files""]",4.0,1,"[""headword='file' is generic-ish"", ""no domain anchor in variants""]",69,14,2026-01-29T16:31:24,2026-01-29T16:31:24
17,job,,"[""common jobs"", ""default jobs"", ""jobs"", ""multiple jobs"", ""specific job""]",[],"[17, 1404, 1537, 12877, 13526]",jobs,"[""common jobs"", ""default jobs"", ""jobs"", ""multiple jobs"", ""specific job""]",2.0,0,"[""no domain anchor in variants""]",5223,86,2026-01-29T16:31:24,2026-01-29T16:31:24
18,ebrokerd daemon,,[],[],[18],ebrokerd daemon,"[""ebrokerd daemon""]",2.0,0,"[""no domain anchor in variants""]",8,4,2026-01-29T16:31:24,2026-01-29T16:31:24
19,process,,"[""Multiple processes"", ""default process""]",[],"[19, 19885, 21221]",process,"[""Multiple processes"", ""default process"", ""process""]",2.0,0,"[""no domain anchor in variants""]",99,21,2026-01-29T16:31:24,2026-01-29T16:31:24
20,badmin command,,[],[],[20],badmin command,"[""badmin command""]",2.0,0,"[""no domain anchor in variants""]",17,6,2026-01-29T16:31:24,2026-01-29T16:31:24
21,job_finish2 lsf event,,[],[],[21],JOB_FINISH2 LSF event,"[""JOB_FINISH2 LSF event""]",0.0,0,[],3,2,2026-01-29T16:31:24,2026-01-29T16:31:24
