term_id,doc_id,sent_idx,token_start,token_end,cleaned_version
1,doc_00ec,1,0,2,1
2,doc_00ec,1,4,4,1
3,doc_00ec,1,7,8,1
4,doc_00ec,1,12,13,1
5,doc_00ec,2,1,2,1
6,doc_00ec,2,4,5,1
7,doc_00ec,3,1,2,1
8,doc_00ec,3,4,5,1
9,doc_00ec,3,7,9,1
10,doc_00ec,3,20,21,1
11,doc_00ec,4,0,0,1
4,doc_00ec,4,2,2,1
12,doc_00ec,4,3,3,1
13,doc_00ec,4,4,6,1
14,doc_00ec,5,12,14,1
2,doc_00ec,5,16,16,1
15,doc_00ec,5,18,18,1
16,doc_00ec,5,21,22,1
17,doc_00ec,6,7,7,1
18,doc_00ec,6,17,18,1
19,doc_00ec,6,20,20,1
20,doc_00ec,7,1,2,1
2,doc_00ec,7,10,10,1
15,doc_00ec,7,12,12,1
21,doc_00ec,8,7,9,1
22,doc_00ec,9,0,2,1
23,doc_00ec,9,5,5,1
24,doc_00ec,9,7,8,1
25,doc_00ec,9,10,11,1
26,doc_00ec,9,14,16,1
27,doc_00ec,9,18,18,1
28,doc_00ec,10,2,4,1
29,doc_00ec,10,11,12,1
17,doc_00ec,11,7,7,1
18,doc_00ec,11,17,18,1
19,doc_00ec,11,20,20,1
30,doc_00ec,12,0,0,1
31,doc_00ec,12,2,4,1
32,doc_00ec,12,6,8,1
33,doc_00ec,12,10,11,1
20,doc_00ec,13,4,5,1
2,doc_00ec,13,13,13,1
15,doc_00ec,13,15,15,1
30,doc_00ec,14,0,0,1
34,doc_00ec,16,0,1,1
35,doc_00ec,16,2,2,1
36,doc_00ec,16,3,6,1
37,doc_00ec,16,3,6,1
38,doc_00ec,17,0,0,1
39,doc_00ec,17,1,1,1
40,doc_00ec,17,5,5,1
41,doc_00ec,17,7,8,1
11,doc_00ec,17,10,10,1
42,doc_00ec,17,12,12,1
43,doc_00ec,17,14,16,1
42,doc_00ec,18,11,11,1
44,doc_00ec,18,13,14,1
11,doc_00ec,18,16,16,1
45,doc_00ec,19,0,1,1
46,doc_00ec,19,3,4,1
47,doc_00ec,21,8,8,1
48,doc_00ec,22,0,0,1
49,doc_00ec,22,1,5,1
50,doc_00ec,22,1,5,1
51,doc_00ec,22,1,5,1
38,doc_00ec,23,0,0,1
39,doc_00ec,23,1,1,1
40,doc_00ec,23,5,5,1
41,doc_00ec,23,7,8,1
11,doc_00ec,23,10,10,1
42,doc_00ec,23,12,12,1
43,doc_00ec,23,14,16,1
48,doc_00ec,24,1,1,1
40,doc_00ec,24,2,2,1
52,doc_00ec,24,4,5,1
53,doc_00ec,24,7,8,1
54,doc_00ec,25,2,3,1
55,doc_00ec,25,5,8,1
56,doc_00ec,25,10,12,1
48,doc_00ec,25,13,13,1
2,doc_00ec,26,2,2,1
57,doc_00ec,26,4,6,1
56,doc_00ec,26,8,10,1
48,doc_00ec,26,11,11,1
58,doc_00ec,26,12,13,1
59,doc_00ec,26,15,15,1
60,doc_00ec,26,17,18,1
21,doc_00ec,27,7,9,1
22,doc_00ec,28,0,2,1
23,doc_00ec,28,5,5,1
24,doc_00ec,28,7,8,1
25,doc_00ec,28,10,11,1
26,doc_00ec,28,14,16,1
27,doc_00ec,28,18,18,1
61,doc_00ec,28,20,20,1
30,doc_00ec,29,0,0,1
62,doc_00ec,31,6,6,1
63,doc_00ec,31,18,20,1
64,doc_00ec,31,22,24,1
65,doc_00ec,31,26,27,1
25,doc_00ec,32,1,2,1
26,doc_00ec,32,5,7,1
66,doc_00ec,32,9,10,1
67,doc_00ec,32,12,12,1
68,doc_00ec,32,14,14,1
69,doc_00ec,33,0,0,1
61,doc_00ec,33,2,3,1
17,doc_00ec,33,5,5,1
70,doc_00ec,33,8,9,1
71,doc_00ec,33,11,12,1
72,doc_00ec,33,14,16,1
73,doc_00ec,34,1,3,1
66,doc_00ec,34,5,7,1
74,doc_00ec,34,9,9,1
61,doc_00ec,35,0,1,1
75,doc_00ec,35,3,3,1
76,doc_00ec,35,5,7,1
77,doc_00ec,35,12,15,1
78,doc_00ec,40,0,2,1
79,doc_00ec,40,4,5,1
80,doc_00ec,40,7,8,1
81,doc_00ec,40,10,10,1
65,doc_00ec,40,12,13,1
82,doc_00ec,40,15,15,1
66,doc_00ec,40,25,26,1
24,doc_00ec,40,29,30,1
25,doc_00ec,41,2,3,1
24,doc_00ec,41,6,7,1
83,doc_00ec,41,9,9,1
84,doc_00ec,41,16,17,1
85,doc_00ec,42,1,2,1
86,doc_00ec,43,2,3,1
87,doc_00ec,43,5,5,1
88,doc_00ec,43,9,9,1
89,doc_00ec,43,11,13,1
90,doc_00ec,43,15,15,1
91,doc_00ec,44,0,0,1
88,doc_00ec,45,0,1,1
92,doc_00ec,45,3,5,1
93,doc_00ec,45,7,8,1
94,doc_00ec,45,10,12,1
95,doc_00ec,45,17,18,1
84,doc_00ec,46,13,14,1
96,doc_00ec,47,0,2,1
11,doc_00ec,47,4,4,1
97,doc_00ec,48,6,8,1
98,doc_00ec,48,10,11,1
99,doc_00ec,48,14,15,1
100,doc_00ec,48,17,17,1
87,doc_00ec,48,19,19,1
101,doc_00ec,48,22,22,1
102,doc_00ec,48,28,28,1
103,doc_00ec,48,33,33,1
84,doc_00ec,48,35,36,1
104,doc_00ec,48,39,41,1
105,doc_00ec,48,50,53,1
106,doc_00ec,48,50,53,1
107,doc_00ec,48,55,55,1
108,doc_00ec,49,0,0,1
100,doc_00ec,49,3,3,1
87,doc_00ec,49,5,5,1
101,doc_00ec,49,8,8,1
109,doc_00ec,49,12,12,1
102,doc_00ec,49,15,15,1
110,doc_00ec,49,17,19,1
111,doc_00ec,49,24,24,1
112,doc_00ec,49,31,31,1
113,doc_0177,2,0,1,1
27,doc_0177,2,4,4,1
114,doc_0177,2,14,14,1
115,doc_0177,2,17,19,1
116,doc_0177,3,0,2,1
117,doc_0177,3,4,5,1
85,doc_0177,3,7,8,1
118,doc_0177,4,0,0,1
119,doc_0177,4,2,2,1
120,doc_0177,4,4,6,1
11,doc_0177,4,8,8,1
121,doc_0177,5,9,10,1
113,doc_0177,7,0,1,1
119,doc_0177,7,4,5,1
81,doc_0177,7,7,7,1
122,doc_0177,8,3,5,1
123,doc_0177,8,7,9,1
124,doc_0177,9,0,2,1
125,doc_0177,9,14,14,1
126,doc_0177,10,0,1,1
91,doc_0177,10,5,5,1
127,doc_0177,10,7,7,1
128,doc_0177,10,9,9,1
129,doc_0177,10,11,11,1
130,doc_0177,10,13,14,1
131,doc_0177,11,0,3,1
118,doc_0177,11,6,6,1
132,doc_0177,11,8,10,1
133,doc_0177,11,12,14,1
134,doc_0177,12,0,0,1
135,doc_0177,12,3,3,1
136,doc_0177,12,5,6,1
137,doc_0177,12,9,11,1
138,doc_0177,13,0,0,1
118,doc_0177,13,3,4,1
139,doc_0177,13,6,7,1
127,doc_0177,13,9,9,1
121,doc_0177,13,12,13,1
140,doc_0177,13,15,16,1
141,doc_0177,13,18,20,1
128,doc_0177,14,0,0,1
142,doc_0177,14,2,3,1
143,doc_0177,15,0,2,1
144,doc_0177,16,6,6,1
145,doc_0177,17,15,16,1
146,doc_0177,17,18,19,1
88,doc_0177,17,21,21,1
147,doc_0177,17,24,25,1
147,doc_0177,18,14,15,1
148,doc_0177,19,6,7,1
33,doc_0177,19,9,10,1
14,doc_0177,20,12,14,1
2,doc_0177,20,16,16,1
15,doc_0177,20,18,18,1
16,doc_0177,20,21,22,1
149,doc_0177,21,6,6,1
28,doc_0177,21,8,10,1
145,doc_0177,22,16,17,1
146,doc_0177,22,19,20,1
88,doc_0177,22,22,22,1
147,doc_0177,22,25,26,1
147,doc_0177,23,7,8,1
150,doc_0177,23,17,19,1
151,doc_0177,23,22,22,1
152,doc_0177,23,25,25,1
153,doc_0177,24,0,2,1
152,doc_0177,25,7,7,1
154,doc_0177,26,0,1,1
155,doc_0177,26,11,12,1
152,doc_0177,26,16,16,1
156,doc_0177,27,0,2,1
157,doc_0177,27,12,14,1
158,doc_0177,27,16,16,1
152,doc_0177,27,18,18,1
159,doc_0177,28,0,2,1
160,doc_0177,28,12,12,1
161,doc_0177,28,14,14,1
152,doc_0177,28,16,16,1
162,doc_0177,29,0,1,1
163,doc_0177,29,3,4,1
164,doc_0177,29,6,8,1
146,doc_0177,30,0,1,1
165,doc_0177,30,3,5,1
166,doc_0177,30,8,8,1
88,doc_0177,31,1,1,1
167,doc_0177,31,3,5,1
147,doc_0177,32,7,8,1
33,doc_0177,33,0,1,1
146,doc_0177,33,13,14,1
147,doc_0177,34,0,1,1
168,doc_0177,34,9,10,1
27,doc_0177,34,12,12,1
169,doc_0177,34,14,14,1
41,doc_0177,34,16,17,1
170,doc_0177,34,19,19,1
33,doc_0177,34,21,22,1
170,doc_0177,35,1,1,1
146,doc_0177,38,2,3,1
171,doc_0177,39,5,6,1
168,doc_0177,40,7,8,1
172,doc_0177,40,11,11,1
173,doc_0177,41,1,2,1
174,doc_0177,42,2,3,1
173,doc_0177,42,5,6,1
175,doc_0177,42,8,8,1
27,doc_0177,43,2,2,1
39,doc_0177,43,4,4,1
176,doc_0177,43,6,6,1
27,doc_0177,45,7,7,1
165,doc_0177,45,9,11,1
177,doc_0177,45,14,14,1
17,doc_0177,45,16,16,1
88,doc_0177,45,18,18,1
147,doc_0177,45,20,21,1
175,doc_0177,46,0,0,1
17,doc_0177,47,0,0,1
178,doc_0177,47,2,4,1
179,doc_0177,47,8,10,1
180,doc_0177,48,6,7,1
181,doc_0177,48,9,10,1
182,doc_0177,48,14,15,1
