name,type,csv_file,rows_exported
__dummy__,table,table____dummy__.csv,0
cleaned_documents,table,table__cleaned_documents.csv,85
contextual_chunk,table,table__contextual_chunk.csv,775
non_taxonomic_edges,table,table__non_taxonomic_edges.csv,2755
non_taxonomic_edges_clean,table,table__non_taxonomic_edges_clean.csv,1838
non_taxonomic_edges_llm,table,table__non_taxonomic_edges_llm.csv,372
raw_documents,table,table__raw_documents.csv,85
sentence_lemmatized,table,table__sentence_lemmatized.csv,7249
sentence_segmented,table,table__sentence_segmented.csv,7249
skipgram_neighbors,table,table__skipgram_neighbors.csv,10530
taxonomy_is_a,table,table__taxonomy_is_a.csv,2164
taxonomy_is_a_validated,table,table__taxonomy_is_a_validated.csv,449
taxonomy_parent_candidates,table,table__taxonomy_parent_candidates.csv,280
term_candidates,table,table__term_candidates.csv,11936
term_enrichment,table,table__term_enrichment.csv,3556
term_enrichment_exten,table,table__term_enrichment_exten.csv,0
term_occurrences,table,table__term_occurrences.csv,23372
