id,source_edge_id,doc_id,sentence_id,sentence_text,subj_canonical_id,subj_canonical_term,rel_text,obj_canonical_id,obj_canonical_term,rel_len,has_prep,is_generic_rel,rel_support_total,rel_support_subj,rel_support_obj,accept,normalized_relation,reason,evidence,model_name,created_at
1,9,doc_4387,doc_4387_sent_00043,"Whether you use any authentication module or not you will need to have a way for the SlurmDBD to get UIDs for users and/or admins. If using MUNGE, it is ideal for your users to have the same id on all your clusters. If this is the case you should have a combination of every cluster's /etc/passwd file on the database server to allow the DBD to resolve names for authentication.",919,slurmdbd,get,5582,uid,3,0,1,27,11,15,1,unknown,The sentence states that the SlurmDBD 'gets' UIDs for users and/or admins.,Whether you use any authentication module or not you will need to have a way for the SlurmDBD to get UIDs for users and/or admins.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
2,10,doc_4387,doc_4387_sent_00049,"Both instances of slurmdbd should have access to the same database, share the same munge key(s), and have the same users with the same UID/GIDs.",344,instance,have,4174,access,4,0,1,130,52,72,1,unknown,"The sentence states that both instances'should have access' to the same database, which implies a 'has' relation.","Both instances of slurmdbd should have access to the same database,",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
3,14,doc_4387,doc_4387_sent_00067,Slurm uses the InnoDB storage engine in MySQL to make rollback possible.,50,slurm,use,1282,engine,3,0,1,63,35,45,1,uses,The sentence explicitly states that Slurm uses the InnoDB engine.,Slurm uses the InnoDB storage engine in MySQL to make rollback possible.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
4,16,doc_4387,doc_4387_sent_00086,[Warning] InnoDB: Cannot add field ... in table ...,4026,innodb,add,1224,field,3,0,1,17,9,15,1,unknown,Warning message explicitly states 'Cannot add field',Warning: InnoDB: Cannot add field...,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
5,18,doc_4387,doc_4387_sent_00096,"SlurmDBD has a separate configuration file which is documented in a separate section. Note that you can write accounting information to SlurmDBD while job completion records are written to a text file or not maintained at all. If you don't set the configuration parameters that begin with ""AccountingStorage"" then accounting information will not be referenced or recorded.",919,slurmdbd,have,59,file,4,0,1,130,52,72,1,writes_to,The sentence states that 'you can write accounting information to SlurmDBD'.,SlurmDBD has a separate configuration file which is documented in a separate section. Note that you can write accounting information to SlurmDBD while job completion,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
6,25,doc_4387,doc_4387_sent_00120,In the case of SlurmDBD (Database Daemon) with MUNGE authentication this can be configured to use a MUNGE daemon specifically configured to provide authentication between clusters while the default MUNGE daemon provides authentication within a cluster.,1447,daemon,provide,1477,authentication,7,0,1,42,27,28,1,unknown,The sentence states that the SlurmDBD daemon 'configured to use a MUNGE daemon specifically' for authentication 'between clusters'.,In the case of SlurmDBD (Database Daemon) with MUNGE authentication this can be configured to use a MUNGE daemon specifically configured to provide authentication between,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
7,31,doc_4387,doc_4387_sent_00159,"MySQL Configuration
While Slurm will create the database tables automatically you will need to make sure the StorageUser is given permissions in the MySQL or MariaDB database to do so. As the mysql user grant privileges to that user using a command such as:
GRANT ALL ON StorageLoc.*",4145,storageuser,give,6661,permission,4,0,1,3,3,3,1,unknown,The sentence explicitly states 'you will need to make sure the StorageUser is given permissions'.,MySQL Configuration While Slurm will create the database tables automatically you will need to make sure the StorageUser is given permissions in the MySQL or,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
8,39,doc_4387,doc_4387_sent_00210,"While sreport provides the ability to quickly generate reports with some of the most commonly requested information, sites frequently want additional control over how the information is displayed.",3866,sreport,provide,4225,ability,7,0,1,42,27,28,1,unknown,The sentence states that'sreport provides the ability'.,"While sreport provides the ability to quickly generate reports with some of the most commonly requested information,",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
9,40,doc_4387,doc_4387_sent_00216,"For example, to add a cluster named ""snowflake"" to the database execute this line (NOTE: as of 20.02, slurmctld will add the cluster to the database upon start if it doesn't exist. Associations still need to be created after addition):
sacctmgr add cluster snowflake
Add accounts ""none"" and ""test"" to cluster ""snowflake"" with an execute line of this sort:
sacctmgr add account none,test Cluster=snowflake \
 Description=""none"" Organization=""none""
If you have more clusters you want to add these accounts, to you can either not specify a cluster, which will add the accounts to all clusters in the system, or comma separate the cluster names you want to add to in the cluster option. Note that multiple accounts can be added at the same time by comma separating the names.",801,slurmctld,add,340,cluster,3,0,1,17,9,15,1,unknown,The sentence states that'sacctmgr add cluster snowflake' is used to add a cluster to the database. The subject of the sentence is'sacctmgr' and the object is 'cluster'. The relation is inferred to be 'adds' as the sentence states that'sacctmgr' is used to 'add' a 'cluster'.,"For example, to add a cluster named'snowflake' to the database execute this line: sacctmgr add cluster snowflake",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
10,50,doc_915b,doc_915b_sent_00014,The daemons need to be stopped before updating the slurm.conf so that client commands do not use a mechanism other than what the running daemons are expecting.,1884,client command,use,2762,mechanism,3,0,1,63,35,45,1,uses,"The sentence states that client commands use a mechanism, which matches the given relation.",The daemons need to be stopped before updating the slurm.conf so that client commands do not use a mechanism other than what the running daemons,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
