id,child_canonical_id,child_canonical_term,parent_head_text,parent_canonical_id,parent_canonical_term,method,rule,score,support,created_at
1,10,fair share factor,factor,7687,factor,head_parent_candidates_v2,head_last_token,20.0,1,2026-01-15T09:21:47Z
2,37,slurm.conf parameter,parameter,205,parameter,head_parent_candidates_v2,head_last_token,57.0,1,2026-01-15T09:21:47Z
3,42,slurm administrator information,information,275,information,head_parent_candidates_v2,head_last_token,86.0,1,2026-01-15T09:21:47Z
4,46,good start,start,534,start,head_parent_candidates_v2,head_last_token,11.0,1,2026-01-15T09:21:47Z
5,47,knowledge slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
6,53,system configuration,configuration,2,configuration,head_parent_candidates_v2,head_last_token,156.0,1,2026-01-15T09:21:47Z
7,54,system configuration parameter,parameter,205,parameter,head_parent_candidates_v2,head_last_token,57.0,1,2026-01-15T09:21:47Z
8,58,sysctl.conf script,script,115,script,head_parent_candidates_v2,head_last_token,37.0,1,2026-01-15T09:21:47Z
9,63,open file,file,59,file,head_parent_candidates_v2,head_last_token,224.0,1,2026-01-15T09:21:47Z
10,66,memory machine,machine,4125,machine,head_parent_candidates_v2,head_last_token,21.0,1,2026-01-15T09:21:47Z
11,84,userspace somaxconn default,default,65,default,head_parent_candidates_v2,head_last_token,91.0,1,2026-01-15T09:21:47Z
12,85,burst request,request,87,request,head_parent_candidates_v2,head_last_token,38.0,1,2026-01-15T09:21:47Z
13,90,ephemeral port available slurm communication,communication,183,communication,head_parent_candidates_v2,head_last_token,26.0,1,2026-01-15T09:21:47Z
14,92,ifconfig command,command,900,command,head_parent_candidates_v2,head_last_token,78.0,1,2026-01-15T09:21:47Z
15,93,site large cluster,cluster,340,cluster,head_parent_candidates_v2,head_last_token,87.0,1,2026-01-15T09:21:47Z
16,99,ulimit value effect slurmctld daemon,daemon,1447,daemon,head_parent_candidates_v2,head_last_token,188.0,1,2026-01-15T09:21:47Z
17,100,slurm configuration,configuration,2,configuration,head_parent_candidates_v2,head_last_token,156.0,1,2026-01-15T09:21:47Z
18,101,slurm configuration parameter,parameter,205,parameter,head_parent_candidates_v2,head_last_token,57.0,1,2026-01-15T09:21:47Z
19,105,accounting record,record,127,record,head_parent_candidates_v2,head_last_token,22.0,1,2026-01-15T09:21:47Z
20,107,minimal improvement performance slurmdbd,slurmdbd,919,slurmdbd,head_parent_candidates_v2,head_last_token,163.0,1,2026-01-15T09:21:47Z
21,109,commitdelay option slurmdbd.conf,slurmdbd.conf,3922,slurmdbd.conf,head_parent_candidates_v2,head_last_token,21.0,1,2026-01-15T09:21:47Z
22,109,commitdelay option slurmdbd.conf,type:config_file,,type:config_file,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
23,118,concurrency slurmctld,slurmctld,801,slurmctld,head_parent_candidates_v2,head_last_token,257.0,1,2026-01-15T09:21:47Z
24,119,high throughput environment,environment,1472,environment,head_parent_candidates_v2,head_last_token,37.0,1,2026-01-15T09:21:47Z
25,120,job slurmctld daemon record point time,time,117,time,head_parent_candidates_v2,head_last_token,88.0,1,2026-01-15T09:21:47Z
26,121,running,type:job_state,,type:job_state,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
27,124,slurmctld daemon,daemon,1447,daemon,head_parent_candidates_v2,head_last_token,188.0,1,2026-01-15T09:21:47Z
