id,src_taxonomy_id,child_canonical_id,child_canonical_term,proposed_parent_head_text,proposed_parent_canonical_id,proposed_parent_canonical_term,llm_accept,llm_best_parent,llm_best_parent_canonical_id,llm_best_parent_canonical_term,llm_confidence,llm_reason,candidates_json,evidence_json,created_at
1,9,63,open file,file,59,file,1,file,59,file,0.25,LLM parse failed; fallback decision.,"[""file"", ""slurm"", ""job"", ""slurmctld"", ""node"", ""slurmd"", ""slurm.conf"", ""daemon"", ""none""]","[""This document contains Slurm administrator information specifically for high throughput computing, namely the execution of many short jobs. Getting optimal performance for high throughput computing does require some tuning and this document should help you off to a good start. A working knowledge of Slurm should be considered a prerequisite for this material. Performance Results\nSlurm has also been validated to execute 500 simple batch jobs per second on a sustained basis with short bursts of activity at a much higher level. Actual performance depends upon the jobs to be executed plus the hardware and configuration used. System configuration\nSeveral system configuration parameters may require modification to support a large number of open files and TCP connections with large bursts of messages. Changes can be made using the /etc/rc.d/rc.local or /etc/sysctl.conf script to preserve changes after reboot. In either case, you can write values directly into these files (e.g. \""echo 32832 > /proc/sys/fs/file-max\""). /proc/sys/fs/file-max: The maximum number of concurrently open files. We recommend a limit of at least 32,832. /proc/sys/net/ipv4/tcp_max_syn_backlog: The maximum number of SYN requests to keep in memory that we have yet to get the third packet in a 3-way handshake from. The default value is 1024 for systems with more than 128Mb of memory, and 128 for low memory machines. If server suffers of overload, try to increase this number."", ""Munge configuration\nBy default the Munge daemon runs with two threads, but a higher thread count can improve its throughput. We suggest starting the Munge daemon with ten threads for high throughput support (e.g. \""munged --num-threads 10\""). User limits\nThe ulimit values in effect for the slurmctld daemon should be set quite high for memory size, open file count and stack size. Slurm Configuration\nSeveral Slurm configuration parameters should be adjusted to reflect the needs of high throughput computing. The changes described below will not be possible in all environments, but these are the configuration options that you may want to consider for higher throughput. AccountingStorageType: Disabling storing accounting records by not setting this plugin. Turning accounting off provides minimal improvement in performance. If using the SlurmDBD increased speedup can be achieved by setting the CommitDelay option in the slurmdbd.conf\nJobAcctGatherType: Disabling the collection of job accounting information will improve job throughput. Disable collection of accounting by using the jobacct_gather/none plugin. Disabling recording of job completion information will improve job throughput. Disable recording of job completion information by using the jobcomp/none plugin. JobSubmitPlugins: Use of a lua job submit plugin is not recommended. slurmctld runs this script while holding internal locks, and only a single copy of this script can run at a time. This blocks most concurrency in slurmctld. Therefore, we do not recommend using it in a high throughput environment.""]",2026-01-15T09:24:20Z
2,11,84,userspace somaxconn default,default,65,default,1,default,65,default,0.25,LLM parse failed; fallback decision.,"[""default"", ""slurm"", ""job"", ""slurmctld"", ""node"", ""slurmd"", ""slurm.conf"", ""daemon"", ""none""]",[],2026-01-15T09:24:20Z
3,21,109,commitdelay option slurmdbd.conf,slurmdbd.conf,3922,slurmdbd.conf,1,config_file,,config_file,0.25,LLM parse failed; fallback decision.,"[""slurmdbd.conf"", ""config_file"", ""slurm"", ""job"", ""slurmctld"", ""node"", ""slurmd"", ""slurm.conf"", ""none""]",[],2026-01-15T09:24:20Z
4,22,109,commitdelay option slurmdbd.conf,type:config_file,,type:config_file,1,config_file,,config_file,0.25,LLM parse failed; fallback decision.,"[""type:config_file"", ""config_file"", ""slurm"", ""job"", ""slurmctld"", ""node"", ""slurmd"", ""slurm.conf"", ""none""]",[],2026-01-15T09:24:20Z
5,25,120,job slurmctld daemon record point time,time,117,time,1,time,117,time,0.25,LLM parse failed; fallback decision.,"[""time"", ""slurm"", ""job"", ""slurmctld"", ""node"", ""slurmd"", ""slurm.conf"", ""daemon"", ""none""]",[],2026-01-15T09:24:20Z
6,26,121,running,type:job_state,,type:job_state,1,job_state,,job_state,0.25,LLM parse failed; fallback decision.,"[""type:job_state"", ""job_state"", ""slurm"", ""job"", ""slurmctld"", ""node"", ""slurmd"", ""slurm.conf"", ""none""]","[""Therefore, we do not recommend using it in a high throughput environment. MaxJobCount: Controls how many jobs may be in the slurmctld daemon records at any point in time (pending, running, suspended or completed[temporarily]). The default value is 10,000. MessageTimeout: Controls how long to wait for a response to messages. The default value is 10 seconds. While the slurmctld daemon is highly threaded, its responsiveness is load dependent. This value might need to be increased somewhat. MinJobAge: Controls how soon the record of a completed job can be purged from the slurmctld memory and thus not visible using the squeue command. The record of jobs run will be preserved in accounting records and logs. The default value is 300 seconds. The value should be reduced to a few seconds if possible. Use of accounting records for older jobs can increase the job throughput rate compared with retaining old jobs in the memory of the slurmctld daemon. The priority/basic is considerably faster than other options, but schedules jobs only on a First In First Out (FIFO) basis. PrologSlurmctld/EpilogSlurmctld: Neither of these is recommended for a high throughput environment. When they are enabled a separate slurmctld thread has to be created for every job start (or task for a job array). Current architecture requires acquisition of a job write lock in every thread, which is a costly operation that severely limits scheduler throughput."", ""However that triggering does not cause the scheduling logic to be started immediately, but only within the configured sched_interval. For example, if sched_min_interval=2000000 (microseconds) and 100 jobs are submitted within a 2 second time window, then the scheduling logic will be executed one time rather than 100 times if sched_min_interval was set to 0 (no delay). Besides controlling how frequently the scheduling logic is executed, the default_queue_depth configuration parameter controls how many jobs are considered to be started in each scheduler iteration. The default value of default_queue_depth is 100 (jobs), which should be fine in most cases. The sched/backfill plugin has relatively high overhead if used with large numbers of job. Configuring bf_max_job_test to a modest size (say 100 jobs or less) and bf_interval to 30 seconds or more will limit the overhead of backfill scheduling (NOTE: the default values are fine for both of these parameters). Other backfill options available for tuning backfill scheduling include bf_max_job_user, bf_resolution and bf_window. See the slurm.conf man page for details. A set of scheduling parameters currently used for running hundreds of jobs per second on a sustained basis on one cluster follows. Note that every environment is different and this set of parameters will not work well in every case, but it may serve as a good starting point. batch_sched_delay=20\nbf_continue\nbf_interval=300\nbf_min_age_reserve=10800\nbf_resolution=600\nbf_yield_interval=1000000\npartition_job_depth=500\nsched_max_job_start=200\nsched_min_interval=2000000\nSlurmctldParameters: Many slurmctld daemon parameters are available. The conmgr_threads option controls the size of the thread pool that is used to process communications. Threads are used as needed to handle I/O or to process incoming RPCs and generate replies. The trade off is that slurmctld will use more memory for each additional thread. Increasing thread counts will also cause increased kernel scheduler contention when there are more threads than available hardware CPUs, increasing the potential for thread starvation.""]",2026-01-15T09:24:20Z
7,33,148,job submit time,time,117,time,1,time,117,time,0.25,LLM parse failed; fallback decision.,"[""time"", ""slurm"", ""job"", ""slurmctld"", ""node"", ""slurmd"", ""slurm.conf"", ""daemon"", ""none""]","[""Current architecture requires acquisition of a job write lock in every thread, which is a costly operation that severely limits scheduler throughput. SchedulerParameters: Many scheduling parameters are available. Setting option batch_sched_delay will control how long the scheduling of batch jobs can be delayed. This effects only batch jobs. For example, if many jobs are submitted each second, the overhead of trying to schedule each one will adversely impact the rate at which jobs can be submitted. The default value is 3 seconds. Setting option defer will avoid attempting to schedule each job individually at job submit time, but defer it until a later time when scheduling multiple jobs simultaneously may be possible. This option may improve system responsiveness when large numbers of jobs (many hundreds) are submitted at the same time, but it will delay the initiation time of individual jobs. Setting the defer_batch option is similar to the defer option, as explained above. The difference is that defer_batch will allow interactive jobs to be started immediately, but jobs submitted with sbatch will be deferred to allow multiple jobs to accumulate and be scheduled at once. sched_min_interval is yet another configuration parameter to control how frequently the scheduling logic runs. It can still be triggered on each job submit, job termination, or other state change which could permit a new job to be started. However that triggering does not cause the scheduling logic to be started immediately, but only within the configured sched_interval."", ""The srun command normally terminates when the standard output and error I/O from the spawned tasks end. This does not necessarily happen at the same time that a job step is terminated. For example, a file system problem could render a spawned task non-killable at the same time that I/O to srun is pending. Alternately a network problem could prevent the I/O from being transmitted to srun. In any event, the srun command is notified when a job step is terminated, either upon reaching its time limit or being explicitly killed. If the srun has not already terminated, the message \""srun: Force Terminated job\"" is printed. If the job step's I/O does not terminate in a timely fashion thereafter, pending I/O is abandoned and the srun command exits. What does this mean: \""srun: First task exited 30s ago\"" followed by \""srun Job Failed\""? The srun command monitors when tasks exit. By default, 30 seconds after the first task exits, the job is killed. This typically indicates some type of job failure and continuing to execute a parallel job when one of the tasks has exited is not normally productive. This behavior can be changed using srun's --wait=<time> option to either change the timeout period or disable the timeout altogether. See srun's man page for details. Managing Jobs\nHow can I temporarily prevent a job from running (e.g. place it into a hold state)? The easiest way to do this is to change a job's earliest begin time (optionally set at job submit time using the --begin option). The example below places a job into hold state (preventing its initiation for 30 days) and later permitting it to start now. $ scontrol update JobId=1234 StartTime=now+30days\n$ scontrol update JobId=1234 StartTime=now\nCan I change my job's size after it has started running? Slurm supports the ability to decrease the size of jobs. Requesting fewer hardware resources, and changing partition, qos, reservation, licenses, etc. is only allowed for pending jobs.""]",2026-01-15T09:24:20Z
8,35,156,sbatch,type:command,,type:command,1,command,900,command,0.25,LLM parse failed; fallback decision.,"[""type:command"", ""command"", ""slurm"", ""job"", ""slurmctld"", ""node"", ""slurmd"", ""slurm.conf"", ""none""]","[""Current architecture requires acquisition of a job write lock in every thread, which is a costly operation that severely limits scheduler throughput. SchedulerParameters: Many scheduling parameters are available. Setting option batch_sched_delay will control how long the scheduling of batch jobs can be delayed. This effects only batch jobs. For example, if many jobs are submitted each second, the overhead of trying to schedule each one will adversely impact the rate at which jobs can be submitted. The default value is 3 seconds. Setting option defer will avoid attempting to schedule each job individually at job submit time, but defer it until a later time when scheduling multiple jobs simultaneously may be possible. This option may improve system responsiveness when large numbers of jobs (many hundreds) are submitted at the same time, but it will delay the initiation time of individual jobs. Setting the defer_batch option is similar to the defer option, as explained above. The difference is that defer_batch will allow interactive jobs to be started immediately, but jobs submitted with sbatch will be deferred to allow multiple jobs to accumulate and be scheduled at once. sched_min_interval is yet another configuration parameter to control how frequently the scheduling logic runs. It can still be triggered on each job submit, job termination, or other state change which could permit a new job to be started. However that triggering does not cause the scheduling logic to be started immediately, but only within the configured sched_interval."", ""This document describes Slurm cli_filter plugins and the API that defines them. It is intended as a resource to programmers wishing to write their own Slurm cli_filter plugins. The purpose of the cli_filter plugins is to provide programmatic hooks during the execution of the salloc, sbatch, and srun command line interface (CLI) programs. Three hooks are defined:\ncli_filter_p_setup_defaults — Called before any option processing is done, per job component, allowing a plugin to replace default option values. cli_filter_p_pre_submit — Called after option processing per job component but before any communication is made with the slurm controller. This location is ideal for policy enforcement because the plugin can read all the options supplied by the user (as well as the environment) - thus invalid job requests can be stopped before they ever reach the slurmctld.\ncli_filter_p_post_submit — Called after the jobid (and, in the case of srun, after the stepid) is generated, and typically before or in parallel with job execution. In combination with data collected in the cli_filter_p_pre_submit() hook, this is an ideal location for logging activity. cli_filter plugins vary from the job_submit plugin as it is entirely executed client-side, whereas job_submit is processed server-side (within the slurm controller). The benefit of the cli_filter is that it has access to all command line options in a simple and consistent interface as well as being safer to run disruptive operations (e.g., quota checks or other long running operations you might want to use for integrating policy decisions), which can be problematic if run from the controller. The disadvantage of the cli_filter is that it must not be relied upon for security purposes as an enterprising user can circumvent it simply by providing an alternate slurm.conf with the CliFilterPlugins option disabled. If you plan to use the cli_filter for managing policies, you should also configure a job_submit plugin to reinforce those policies. Slurm cli_filter plugins must conform to the Slurm Plugin API with the following specifications:\nconst char plugin_name[]=\""full text name\""\nA free-formatted ASCII text string that identifies the plugin.""]",2026-01-15T09:24:20Z
9,45,215,slurmctlddebug detailed logging,logging,,logging,1,logging,,logging,0.25,LLM parse failed; fallback decision.,"[""logging"", ""slurm"", ""job"", ""slurmctld"", ""node"", ""slurmd"", ""slurm.conf"", ""daemon"", ""none""]",[],2026-01-15T09:24:20Z
10,46,220,operating system,system,1285,system,1,system,1285,system,0.25,LLM parse failed; fallback decision.,"[""system"", ""slurm"", ""job"", ""slurmctld"", ""node"", ""slurmd"", ""slurm.conf"", ""daemon"", ""none""]","[""Increasing thread counts will also cause increased kernel scheduler contention when there are more threads than available hardware CPUs, increasing the potential for thread starvation. While processing incoming RPC requests, slurmctld usually has to obtain one or more of the global slurmctld locks. Each thread attempting to obtain a lock can cause increased contention with the scheduler threads. Lock contention will result in the job scheduler running slower or with non-neglible delays. Sites wishing for more RPC throughput can increase conmgr_threads from the defaults, while sites wishing to prioritize scheduler threads can decrease the thread count. Sites are advised to monitor for changes in sdiag's job start statistics when changing this parameter. conmgr_threads should at least be between 2-4 times the number of hardware CPU threads available to slurmctld daemon due to most RPC processing needing to wait on global locks. Increasing conmgr_threads too much could cause an Out of Memory event which will cause slurmctld to crash, potentially losing jobs and accounting. SchedulerType: If most jobs are short lived then use of the sched/builtin plugin is recommended. This manages a queue of jobs on a First-In-First-Out (FIFO) basis and eliminates logic used to sort the queue by priority. SlurmctldDebug: More detailed logging will decrease system throughput. Set to error or info for regular operations with high throughput workload. SlurmctldPort: It is desirable to configure the slurmctld daemon to accept incoming messages on more than one port in order to avoid having incoming messages discarded by the operating system due to exceeding the SOMAXCONN limit described above. Using between two and ten ports is suggested when large numbers of simultaneous requests are to be supported."", ""SlurmctldPort: It is desirable to configure the slurmctld daemon to accept incoming messages on more than one port in order to avoid having incoming messages discarded by the operating system due to exceeding the SOMAXCONN limit described above. Using between two and ten ports is suggested when large numbers of simultaneous requests are to be supported. SlurmdDebug: More detailed logging will decrease system throughput. Set to error or info for regular operations with high throughput workload. SlurmdLogFile: Writing to local storage is recommended. The ability to do RPC rate limiting on a per-user basis is a new feature with 23.02. It acts as a virtual bucket of tokens that users consume with Remote Procedure Calls. This allows users to submit a large number of requests in a short period of time, but not a sustained high rate of requests that would add stress to the scheduler. You can define the maximum number of tokens with rl_bucket_size, the rate at which new tokens are added with rl_refill_rate, the frequency with which tokens are refilled with rl_refill_period and the number of entities to track with rl_table_size. It is enabled with rl_enable. Other: Configure logging, accounting and other overhead to a minimum appropriate for your environment. SlurmDBD Configuration\nTurning accounting off provides a minimal improvement in performance. If using SlurmDBD increased speedup can be achieved by setting the CommitDelay option in the slurmdbd.conf to introduce a delay between the time slurmdbd receives a connection from slurmctld and when it commits the information to the database. This allows multiple requests to be accumulated and reduces the number of commit requests to the database. You might also consider setting the 'Purge*' options in your slurmdbd.conf to clear out old Data. A Typical configuration would look like this...\nPurgeEventAfter=12months\nPurgeJobAfter=12months\nPurgeResvAfter=2months\nPurgeStepAfter=2months\nPurgeSuspendAfter=1month\nPurgeTXNAfter=12months\nPurgeUsageAfter=12months""]",2026-01-15T09:24:20Z
