head_text,head_canonical_id,frequency,example_terms_json
slurm,50,1469,"[""v0.0.43 licenses Slurm"", ""slurm administrator information"", ""minimal improvement performance SlurmDBD"", ""v0.0.43 license slurm"", ""slurm configuration parameter"", ""knowledge Slurm"", ""slurm configuration"", ""SlurmDBD Configuration"", ""knowledge slurm"", ""ephemeral port available slurm communication"", ""Slurm administrator information"", ""ephemeral ports available Slurm communications"", ""Slurm configuration parameters"", ""integer slurm numeric error identifier format int"", ""Slurm Configuration""]"
job,24,416,"[""v0.0.43 job"", ""job slurmctld daemon record point time"", ""record job"", ""job fifo basi"", ""job accounting"", ""job scheduler"", ""list job"", ""number job"", ""MinJobAge"", ""job submit time"", ""string job"", ""job memory slurmctld daemon"", ""JobAcctGatherType"", ""job failure"", ""interactive job""]"
slurmctld,801,257,"[""job slurmctld daemon record point time"", ""ulimit value effect slurmctld daemon"", ""slurmctld daemon"", ""separate slurmctld thread"", ""trade slurmctld"", ""jobs slurmctld daemon records point time"", ""slurmctld memory visible squeue command"", ""incoming RPC requests slurmctld"", ""ulimit values effect slurmctld daemon"", ""incoming rpc request slurmctld"", ""global slurmctld lock"", ""job memory slurmctld daemon"", ""PrologSlurmctld EpilogSlurmctld"", ""jobs memory slurmctld daemon"", ""concurrency slurmctld""]"
node,285,242,"[""job node"", ""node features"", ""boolean node reboot"", ""jobs node"", ""String Node"", ""state node"", ""node feature"", ""Job resources node"", ""compute node"", ""job resource node"", ""slurmd compute node"", ""specific node"", ""string node"", ""list node"", ""Boolean Node reboot""]"
file,59,224,"[""config file"", ""config file slurmdspooldir conf"", ""local slurm config file"", ""change configuration file scontrol reconfig slurmd restart"", ""configuration file"", ""slurm config file run slurm conf"", ""conditionpathexists present unit file slurmd"", ""ConditionPathExists present unit file slurmd"", ""slurmd.service file"", ""additional config file"", ""taskplugin parameter slurm.conf file"", ""development file"", ""open file"", ""default slurmrestd.service file"", ""TaskPlugin parameter slurm.conf file""]"
slurmd,1910,208,"[""slurmd slurmctld daemon node registration time"", ""slurmd joule format int"", ""slurmd compute nodes"", ""integer tcp port number slurmd format int"", ""string slurmd version"", ""slurmd process user command"", ""SlurmdDebug detailed logging"", ""String Slurmd version"", ""slurmd daemon"", ""slurmd config slurmctld"", ""slurmd compute node"", ""slurmd startup"", ""slurmd joules format int"", ""slurmd process user commands"", ""Integer TCP port number slurmd format int""]"
slurm.conf,1180,197,"[""slurm.conf parameter"", ""Configuration settings slurm.conf"", ""slurm.conf options"", ""slurm.conf parameters"", ""adjacent slurm.conf"", ""configuration setting slurm.conf"", ""slurm.conf configurator.html"", ""enable_configless slurm.conf"", ""alternate slurm.conf clifilterplugin option"", ""node slurm.conf"", ""taskplugin parameter slurm.conf file"", ""alternate slurm.conf CliFilterPlugins option"", ""comment slurm.conf slurmctld node"", ""TaskPlugin parameter slurm.conf file"", ""slurm.conf option""]"
daemon,1447,188,"[""slurmrestd daemon"", ""slurmd slurmctld daemon node registration time"", ""job slurmctld daemon record point time"", ""ulimit value effect slurmctld daemon"", ""slurm command daemon version"", ""slurmctld daemon"", ""slurmctld daemon maintain gre information data structure"", ""datum structure slurmctld daemon"", ""slurmctld daemon maintains GRES information data structures"", ""ulimit values effect slurmctld daemon"", ""data structures slurmctld daemon"", ""slurmd daemon"", ""job memory slurmctld daemon"", ""jobs memory slurmctld daemon"", ""jobs slurmctld daemon records point time""]"
slurmdbd,919,163,"[""accounting slurmdbd slurmrestd"", ""operator slurmdbd"", ""slurmdbd configuration v0.0.43_openapi_resp"", ""slurmdbd slurm database"", ""attention path different endpoint slurm slurmdbd"", ""case slurmdbd alternate socket use munge daemon"", ""job accounting slurmdbd database daemon"", ""delay time slurmdbd"", ""log slurmctld slurmdbd"", ""logs slurmctld slurmdbd"", ""attention path different endpoints slurm slurmdbd"", ""minimal improvement performance slurmdbd"", ""slurmdbd configuration v0.0.43_openapi_slurmdbd_config_resp"", ""slurmdbd configuration"", ""integer number message slurmdbd""]"
plugin,106,158,"[""plugin attempt"", ""function change slurm function plugin"", ""lua plugin"", ""profile acct_gather_profile plugin"", ""slurm cli_filter plugin api"", ""slurm cli_filter plugin"", ""job_submit plugin"", ""functions changes Slurm functions plugin"", ""backfill plugin"", ""Profile acct_gather_profile plugin"", ""plugin different version slurm"", ""typeless mode slurm elasticsearch plugin version"", ""plugin different version Slurm"", ""slurm plugin api following specification"", ""Slurm Plugin API following specifications""]"
configuration,2,156,"[""configuration information"", ""system configuration"", ""slurmdbd configuration v0.0.43_openapi_resp"", ""slurm configuration parameter"", ""slurm configuration"", ""SlurmDBD Configuration"", ""system configuration parameter"", ""system configuration parameters"", ""System configuration"", ""Slurm configuration parameters"", ""Typical configuration"", ""slurmdbd configuration v0.0.43_openapi_slurmdbd_config_resp"", ""slurmdbd configuration"", ""Slurm Configuration"", ""default configuration directory""]"
user,98,132,"[""string user"", ""permission user"", ""special user permissions"", ""special user permission"", ""slurm user special permission"", ""String User ID"", ""Slurm user special permissions"", ""slurm oci slurm oci run defaultonce user"", ""String User"", ""user root"", ""user %u"", ""user namespace support"", ""string user id"", ""SlurmUser"", ""list user""]"
option,150,101,"[""slurmd conf server option"", ""CommitDelay option slurmdbd.conf"", ""option input slurm option datum structure"", ""purge option slurmdbd.conf"", ""command line option"", ""configuration option"", ""commitdelay option slurmdbd.conf"", ""alternate slurm.conf clifilterplugin option"", ""CLI option processing communication slurmctld"", ""struct slurm_opt_t src common slurm_opt.h option"", ""alternate slurm.conf CliFilterPlugins option"", ""options input slurm option data structure"", ""slurmd --conf server option"", ""cli option processing communication slurmctld"", ""slurm.conf option""]"
