canonical_id,canonical_term,term_type,synonyms_json,abbreviations_json,member_term_ids_json,freq_total,freq_docs,created_at,updated_at
2,configuration,,"[""Configuration"", ""Typical configuration""]",[],"[2, 245]",40,24,2026-01-15T09:05:57,2026-01-15T09:05:57
10,fair share factor,,[],[],[10],11,3,2026-01-15T09:05:57,2026-01-15T09:05:57
12,formula,,[],[],[12],6,2,2026-01-15T09:05:57,2026-01-15T09:05:57
15,share,,"[""shares""]",[],[15],23,4,2026-01-15T09:05:57,2026-01-15T09:05:57
22,usage ratio ancestor,,"[""usage ratio ancestors""]",[],[22],2,1,2026-01-15T09:05:57,2026-01-15T09:05:57
24,job,,"[""jobs"", ""multiple jobs""]",[],"[24, 157]",639,60,2026-01-15T09:05:57,2026-01-15T09:05:57
26,rparent,,"[""Rparent""]",[],[26],2,1,2026-01-15T09:05:57,2026-01-15T09:05:57
27,usage,,[],[],[27],21,9,2026-01-15T09:05:57,2026-01-15T09:05:57
35,case,,[],[],[35],18,13,2026-01-15T09:05:57,2026-01-15T09:05:57
37,slurm.conf parameter,,"[""slurm.conf parameters""]",[],[37],6,6,2026-01-15T09:05:57,2026-01-15T09:05:57
38,priorityflag,,"[""PriorityFlags""]",[],[38],4,3,2026-01-15T09:05:57,2026-01-15T09:05:57
39,prioritytype,,"[""PriorityType""]",[],[39],5,4,2026-01-15T09:05:57,2026-01-15T09:05:57
40,priority multifactor,,[],[],[40],3,3,2026-01-15T09:05:57,2026-01-15T09:05:57
41,document,,[],[],[41],12,11,2026-01-15T09:05:57,2026-01-15T09:05:57
42,slurm administrator information,,"[""Slurm administrator information""]",[],[42],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
45,tuning document,,[],[],[45],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
46,good start,,[],[],[46],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
47,knowledge slurm,,"[""knowledge Slurm""]",[],[47],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
48,prerequisite material,,[],[],[48],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
50,slurm,,"[""Slurm""]",[],[50],355,63,2026-01-15T09:05:57,2026-01-15T09:05:57
53,system configuration,,"[""System configuration""]",[],[53],4,4,2026-01-15T09:05:57,2026-01-15T09:05:57
54,system configuration parameter,,"[""system configuration parameters""]",[],[54],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
55,modification,,[],[],[55],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
56,change,,"[""Changes""]",[],[56],12,8,2026-01-15T09:05:57,2026-01-15T09:05:57
57,rc.d rc.local,,[],[],[57],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
58,sysctl.conf script,,[],[],[58],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
59,file,,"[""files""]",[],[59],45,24,2026-01-15T09:05:57,2026-01-15T09:05:57
60,echo,,[],[],[60],9,5,2026-01-15T09:05:57,2026-01-15T09:05:57
63,open file,,"[""open files""]",[],[63],3,3,2026-01-15T09:05:57,2026-01-15T09:05:57
64,limit,,[],[],[64],57,11,2026-01-15T09:05:57,2026-01-15T09:05:57
65,default,,[],[],[65],137,32,2026-01-15T09:05:57,2026-01-15T09:05:57
66,memory machine,,"[""memory machines""]",[],[66],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
67,server suffer overload,,"[""server suffers overload""]",[],[67],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
68,number,,[],[],[68],27,17,2026-01-15T09:05:57,2026-01-15T09:05:57
72,functionality,,[],[],[72],15,13,2026-01-15T09:05:57,2026-01-15T09:05:57
78,host,,[],[],[78],19,7,2026-01-15T09:05:57,2026-01-15T09:05:57
79,variable,,[],[],[79],7,5,2026-01-15T09:05:57,2026-01-15T09:05:57
83,backlog,,[],[],[83],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
84,userspace somaxconn default,,"[""userspace SOMAXCONN Defaults""]",[],[84],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
85,burst request,,"[""bursts request""]",[],[85],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
86,burst,,[],[],[86],4,3,2026-01-15T09:05:57,2026-01-15T09:05:57
87,request,,"[""requests""]",[],[87],45,19,2026-01-15T09:05:57,2026-01-15T09:05:57
88,somaxconn,,[],[],[88],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
90,ephemeral port available slurm communication,,"[""ephemeral ports available Slurm communications""]",[],[90],1,1,2026-01-15T09:05:57,2026-01-15T09:05:57
92,ifconfig command,,[],[],[92],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
93,site large cluster,,[],[],[93],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
95,throughput,,[],[],[95],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
98,user,,"[""--user"", ""User"", ""multiple users""]",[],"[98, 1220, 9570]",207,54,2026-01-15T09:05:57,2026-01-15T09:05:57
99,ulimit value effect slurmctld daemon,,"[""ulimit values effect slurmctld daemon""]",[],[99],2,2,2026-01-15T09:05:57,2026-01-15T09:05:57
100,slurm configuration,,"[""Slurm Configuration""]",[],[100],6,4,2026-01-15T09:05:57,2026-01-15T09:05:57
