name,type,csv_file,rows_exported
cleaned_documents,table,table__cleaned_documents.csv,4
contextual_chunk,table,table__contextual_chunk.csv,116
non_taxonomic_edges,table,table__non_taxonomic_edges.csv,104
non_taxonomic_edges_clean,table,table__non_taxonomic_edges_clean.csv,23
non_taxonomic_edges_llm,table,table__non_taxonomic_edges_llm.csv,0
non_taxonomic_edges_llm_dedup,table,table__non_taxonomic_edges_llm_dedup.csv,0
raw_documents,table,table__raw_documents.csv,4
sentence_lemmatized,table,table__sentence_lemmatized.csv,1218
sentence_segmented,table,table__sentence_segmented.csv,1218
skipgram_neighbors,table,table__skipgram_neighbors.csv,1440
taxonomy_is_a,table,table__taxonomy_is_a.csv,64
taxonomy_is_a_final,table,table__taxonomy_is_a_final.csv,64
taxonomy_is_a_final_llm,table,table__taxonomy_is_a_final_llm.csv,21
taxonomy_is_a_llm_validated,table,table__taxonomy_is_a_llm_validated.csv,6
term_candidates,table,table__term_candidates.csv,1547
term_enrichment,table,table__term_enrichment.csv,369
term_enrichment_exten,table,table__term_enrichment_exten.csv,353
term_occurrences,table,table__term_occurrences.csv,3202
