child,parent,method,evidence
condition slurm,slurm,seed,head_match
configure lsf daemon,daemon,seed,head_match
cpu resource slurm,slurm,seed,head_match
group lsf host,host,seed,head_match
group lsf host,lsf host,seed,head_match
ibm spectrum lsf,lsf,seed,head_match
interactive job lsf,lsf,seed,head_match
job abc_real lsf,lsf,seed,head_match
job queue,queue,seed,head_match
large slurm database,database,seed,head_match
lib slurm,slurm,seed,head_match
license available lsf,lsf,seed,head_match
license lsf,lsf,seed,head_match
license use lsf,lsf,seed,head_match
lsadmin badmin command,command,seed,head_match
lsf client host,host,seed,head_match
lsf client lim,lim,seed,head_match
lsf command,command,seed,head_match
lsf daemon,daemon,seed,head_match
lsf environment,environment,seed,head_match
lsf following command,command,seed,head_match
lsf host,host,seed,head_match
lsf job,job,seed,head_match
lsf management host,host,seed,head_match
lsf operating environment,environment,seed,head_match
lsf queue,queue,seed,head_match
lsf resource,resource,seed,head_match
lsf server host,host,seed,head_match
lsf system,system,seed,head_match
lsf system resource,resource,seed,head_match
lsf_envdir lsf,lsf,seed,head_match
management host lim,lim,seed,head_match
management host lsf,lsf,seed,head_match
mbatchd daemon,daemon,seed,head_match
node slurm,slurm,seed,head_match
pattern allocation job,job,seed,head_match
performance metric slurm,slurm,seed,head_match
problem lsf,lsf,seed,head_match
running job,job,seed,head_match
slurm daemon,daemon,seed,head_match
slurm database,database,seed,head_match
slurm plugin,plugin,seed,head_match
slurm'@'system,system,seed,head_match
slurmctld select plugin,plugin,seed,head_match
slurmd task plugin,plugin,seed,head_match
static resource,resource,seed,head_match
step lsf host,host,seed,head_match
step lsf host,lsf host,seed,head_match
unix system lsf,lsf,seed,head_match
work lsf,lsf,seed,head_match
lim,daemon,"embed_expand(k=5,min_cos=0.75)",seed=mbatchd daemon;sim=0.994
management host lim,daemon,"embed_expand(k=5,min_cos=0.75)",seed=mbatchd daemon;sim=0.994
lsf administration,daemon,"embed_expand(k=5,min_cos=0.75)",seed=mbatchd daemon;sim=0.993
command line,daemon,"embed_expand(k=5,min_cos=0.75)",seed=mbatchd daemon;sim=0.993
lsf command,daemon,"embed_expand(k=5,min_cos=0.75)",seed=lsf daemon;sim=0.998
lsf,daemon,"embed_expand(k=5,min_cos=0.75)",seed=lsf daemon;sim=0.996
lsf problem,daemon,"embed_expand(k=5,min_cos=0.75)",seed=lsf daemon;sim=0.995
lsf daemon,command,"embed_expand(k=5,min_cos=0.75)",seed=lsf command;sim=0.998
lsf,command,"embed_expand(k=5,min_cos=0.75)",seed=lsf command;sim=0.995
lsf administration,command,"embed_expand(k=5,min_cos=0.75)",seed=lsf command;sim=0.994
daemon,command,"embed_expand(k=5,min_cos=0.75)",seed=lsadmin badmin command;sim=0.988
host cluster,lim,"embed_expand(k=5,min_cos=0.75)",seed=management host lim;sim=0.995
mbatchd daemon,lim,"embed_expand(k=5,min_cos=0.75)",seed=management host lim;sim=0.994
lsf administration,lim,"embed_expand(k=5,min_cos=0.75)",seed=management host lim;sim=0.994
