child,parent,method,confidence,evidence
slurm plugin,plugin,seed,0.75,head_match
slurm daemon,daemon,seed,0.75,head_match
lsf job,job,seed,0.75,head_match
mbatchd daemon,daemon,seed,0.75,head_match
lsf host,host,seed,0.75,head_match
lsf server host,host,seed,0.75,head_match
lsf client host,host,seed,0.75,head_match
lsf daemon,daemon,seed,0.75,head_match
lsadmin badmin command,command,seed,0.75,head_match
lsf management host,host,seed,0.75,head_match
step lsf host,host,seed,0.75,head_match
lsf command,command,seed,0.75,head_match
lsf queue,queue,seed,0.75,head_match
running job,job,seed,0.75,head_match
job queue,queue,seed,0.75,head_match
configure lsf daemon,daemon,seed,0.75,head_match
group lsf host,host,seed,0.75,head_match
lsf following command,command,seed,0.75,head_match
slurmctld select plugin,plugin,seed,0.75,head_match
slurmd task plugin,plugin,seed,0.75,head_match
pattern allocation job,job,seed,0.75,head_match
