term_id,term_text,term_lemma,length_tokens,freq_total,freq_docs,idf,tf_idf,created_at,updated_at
1,Slurm,slurm,1,21,2,1.5108256237659907,31.727338099085806,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
2,Accounting records,accounting record,2,4,1,1.916290731874155,7.66516292749662,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
3,jobs jobs,job job,2,2,2,1.5108256237659907,3.0216512475319814,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
4,sacct command,sacct command,2,1,1,1.916290731874155,1.916290731874155,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
5,resource usage,resource usage,2,2,2,1.5108256237659907,3.0216512475319814,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
6,jobs,job,1,93,4,1.0,93.0,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
7,load imbalance tasks,load imbalance task,3,1,1,1.916290731874155,1.916290731874155,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
8,sstat command,sstat command,2,1,1,1.916290731874155,1.916290731874155,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
9,sreport,sreport,1,3,1,1.916290731874155,5.748872195622465,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
10,reports,report,1,2,1,1.916290731874155,3.83258146374831,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
11,time interval,time interval,2,1,1,1.916290731874155,1.916290731874155,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
12,distinct plugin types,distinct plugin type,3,1,1,1.916290731874155,1.916290731874155,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
13,resource accounting,resource accounting,2,1,1,1.916290731874155,1.916290731874155,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
14,Slurm configuration parameters,slurm configuration parameter,3,2,1,1.916290731874155,3.83258146374831,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
15,plugins,plugin,1,4,1,1.916290731874155,7.66516292749662,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
16,AccountingStorageType,accountingstoragetype,1,1,1,1.916290731874155,1.916290731874155,2026-01-26T12:31:15Z,2026-01-26T12:31:15Z
