canonical_id,canonical_term,is_hpc_domain_term,scheduler,category,ontology_role,dul_bucket,confidence,short_definition,aliases_json,llm_json,evidence_json,created_at,updated_at
1,slurm,1,slurm,scheduler,class,object,0.9,A popular open-source cluster scheduling system for managing and allocating computing resources.,"[""Open-source cluster scheduler""]","{""validated"": {""term"": ""slurm"", ""canonical"": ""slurm"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""scheduler"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.9, ""short_definition"": ""A popular open-source cluster scheduling system for managing and allocating computing resources."", ""aliases"": [""Open-source cluster scheduler""]}, ""raw"": {""term"": ""slurm"", ""canonical"": ""slurm"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""scheduler"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.9, ""short_definition"": ""A popular open-source cluster scheduling system for managing and allocating computing resources."", ""aliases"": [""Open-source cluster scheduler""]}, ""evidence"": [""Slurm can be configured to collect accounting information for every job and job step executed."", ""The best way to ensure security of the data is by authenticating communications to the SlurmDBD and we recommend MUNGE for that purpose. If you have one cluster managed by Slurm and execute the SlurmDBD on that one cluster, the normal MUNGE configuration will suffice."", ""Slurm uses the InnoDB storage engine in MySQL to make rollback possible.""]}","{""evidence"": [""Slurm can be configured to collect accounting information for every job and job step executed."", ""The best way to ensure security of the data is by authenticating communications to the SlurmDBD and we recommend MUNGE for that purpose. If you have one cluster managed by Slurm and execute the SlurmDBD on that one cluster, the normal MUNGE configuration will suffice."", ""Slurm uses the InnoDB storage engine in MySQL to make rollback possible.""]}",2026-01-26T12:57:36+00:00,2026-01-26T12:57:36+00:00
6,job,1,slurm,other_hpc,class,object,0.9,"An executable workload unit managed by a job scheduler, consisting of one or more tasks.","[""SLURM job""]","{""validated"": {""term"": ""job"", ""canonical"": ""job"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""other_hpc"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.9, ""short_definition"": ""An executable workload unit managed by a job scheduler, consisting of one or more tasks."", ""aliases"": [""SLURM job""]}, ""raw"": {""term"": ""job"", ""canonical"": ""job"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""job_or_task"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.9, ""short_definition"": ""An executable workload unit managed by a job scheduler, consisting of one or more tasks."", ""aliases"": [""SLURM job""]}, ""evidence"": [""The sacct command can report resource usage for running or terminated jobs including individual tasks, which can be useful to detect load imbalance between the tasks."", ""The sstat command can be used to status only currently running jobs."", ""The sreport can be used to generate reports based upon all jobs executed in a particular time interval.""]}","{""evidence"": [""The sacct command can report resource usage for running or terminated jobs including individual tasks, which can be useful to detect load imbalance between the tasks."", ""The sstat command can be used to status only currently running jobs."", ""The sreport can be used to generate reports based upon all jobs executed in a particular time interval.""]}",2026-01-26T12:57:36+00:00,2026-01-26T12:57:36+00:00
9,sreport,1,lsf,other_hpc,class,object,0.9,A class representing LSF's reporting tool that generates reports on job usage statistics.,"[""LSF reporting tool"", ""sreport utility""]","{""validated"": {""term"": ""sreport"", ""canonical"": ""sreport"", ""is_hpc_domain_term"": true, ""scheduler"": ""lsf"", ""category"": ""other_hpc"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.9, ""short_definition"": ""A class representing LSF's reporting tool that generates reports on job usage statistics."", ""aliases"": [""LSF reporting tool"", ""sreport utility""]}, ""raw"": {""term"": ""sreport"", ""canonical"": ""sreport"", ""is_hpc_domain_term"": true, ""scheduler"": ""lsf"", ""category"": ""reporting"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.9, ""short_definition"": ""A class representing LSF's reporting tool that generates reports on job usage statistics."", ""aliases"": [""LSF reporting tool"", ""sreport utility""]}, ""evidence"": [""The sreport can be used to generate reports based upon all jobs executed in a particular time interval."", ""These include clusters, accounts, user associations, QOSs, etc.\nsreport is used to generate various reports on usage collected over a given time period."", ""While sreport provides the ability to quickly generate reports with some of the most commonly requested information, sites frequently want additional control over how the information is displayed.""]}","{""evidence"": [""The sreport can be used to generate reports based upon all jobs executed in a particular time interval."", ""These include clusters, accounts, user associations, QOSs, etc.\nsreport is used to generate various reports on usage collected over a given time period."", ""While sreport provides the ability to quickly generate reports with some of the most commonly requested information, sites frequently want additional control over how the information is displayed.""]}",2026-01-26T12:57:36+00:00,2026-01-26T12:57:36+00:00
14,slurm configuration parameter,1,slurm,config_param,datatype_property,description,0.85,A Slurm configuration parameter that sets the storage type for job and job step information.,"[""Slurm config param"", ""slurm.conf param""]","{""validated"": {""term"": ""slurm configuration parameter"", ""canonical"": ""slurm configuration parameter"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""config_param"", ""ontology_role"": ""datatype_property"", ""dul_bucket"": ""description"", ""confidence"": 0.85, ""short_definition"": ""A Slurm configuration parameter that sets the storage type for job and job step information."", ""aliases"": [""Slurm config param"", ""slurm.conf param""]}, ""raw"": {""term"": ""slurm configuration parameter"", ""canonical"": ""slurm configuration parameter"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""config_param"", ""ontology_role"": ""datatype_property"", ""dul_bucket"": ""description"", ""confidence"": 0.85, ""short_definition"": ""A Slurm configuration parameter that sets the storage type for job and job step information."", ""aliases"": [""Slurm config param"", ""slurm.conf param""]}, ""evidence"": [""The Slurm configuration parameters (in slurm.conf) associated with these plugins include:\nAccountingStorageType controls how detailed job and job step information is recorded. You can store this information in a text file or into SlurmDBD."", ""Several Slurm configuration parameters must be set to support archiving information in SlurmDBD.""]}","{""evidence"": [""The Slurm configuration parameters (in slurm.conf) associated with these plugins include:\nAccountingStorageType controls how detailed job and job step information is recorded. You can store this information in a text file or into SlurmDBD."", ""Several Slurm configuration parameters must be set to support archiving information in SlurmDBD.""]}",2026-01-26T12:57:36+00:00,2026-01-26T12:57:36+00:00
15,plugin,1,slurm,other_hpc,class,object,0.85,A Slurm plugin that provides functionality for job accounting and storage.,"[""Slurm plugin""]","{""validated"": {""term"": ""plugin"", ""canonical"": ""plugin"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""other_hpc"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.85, ""short_definition"": ""A Slurm plugin that provides functionality for job accounting and storage."", ""aliases"": [""Slurm plugin""]}, ""raw"": {""term"": ""plugin"", ""canonical"": ""plugin"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""plugin"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.85, ""short_definition"": ""A Slurm plugin that provides functionality for job accounting and storage."", ""aliases"": [""Slurm plugin""]}, ""evidence"": [""The Slurm configuration parameters (in slurm.conf) associated with these plugins include:\nAccountingStorageType controls how detailed job and job step information is recorded. You can store this information in a text file or into SlurmDBD."", ""This can be used to record basic job information such as job name, user name, allocated nodes, start time, completion time, exit status, etc. If the preservation of only basic job information is required, this plugin should satisfy your needs with minimal overhead."", ""Just configure the appropriate plugin (e.g. JobCompType=jobcomp/filetxt) and then specify the pathname of the file (e.g. JobCompLoc=/var/log/slurm/job_completions).""]}","{""evidence"": [""The Slurm configuration parameters (in slurm.conf) associated with these plugins include:\nAccountingStorageType controls how detailed job and job step information is recorded. You can store this information in a text file or into SlurmDBD."", ""This can be used to record basic job information such as job name, user name, allocated nodes, start time, completion time, exit status, etc. If the preservation of only basic job information is required, this plugin should satisfy your needs with minimal overhead."", ""Just configure the appropriate plugin (e.g. JobCompType=jobcomp/filetxt) and then specify the pathname of the file (e.g. JobCompLoc=/var/log/slurm/job_completions).""]}",2026-01-26T12:57:36+00:00,2026-01-26T12:57:36+00:00
22,node,1,slurm,other_hpc,class,object,0.9,"A compute node in the context of a High Performance Computing (HPC) cluster, which can be allocated to a job or job step for processing.","[""compute node"", ""cluster node""]","{""validated"": {""term"": ""node"", ""canonical"": ""node"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""other_hpc"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.9, ""short_definition"": ""A compute node in the context of a High Performance Computing (HPC) cluster, which can be allocated to a job or job step for processing."", ""aliases"": [""compute node"", ""cluster node""]}, ""raw"": {""term"": ""node"", ""canonical"": ""node"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""compute_node"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.9, ""short_definition"": ""A compute node in the context of a High Performance Computing (HPC) cluster, which can be allocated to a job or job step for processing."", ""aliases"": [""compute node"", ""cluster node""]}, ""evidence"": [""This can be used to record basic job information such as job name, user name, allocated nodes, start time, completion time, exit status, etc. If the preservation of only basic job information is required, this plugin should satisfy your needs with minimal overhead."", ""Other considerations to be taken into account are that in some cases, like for energy, the consumption is calculated by node."", ""Step 1: Selection of Nodes\nStep 2: Allocation of CPUs from the selected Nodes\nStep 3: Distribution of Tasks to the selected Nodes\nStep 4: Optional Distribution and Binding of Tasks to CPUs within a Node\nStep 1: Selection of Nodes\nIn Step 1, Slurm selects the set of nodes from which CPU resources are to be allocated to a job or job step.""]}","{""evidence"": [""This can be used to record basic job information such as job name, user name, allocated nodes, start time, completion time, exit status, etc. If the preservation of only basic job information is required, this plugin should satisfy your needs with minimal overhead."", ""Other considerations to be taken into account are that in some cases, like for energy, the consumption is calculated by node."", ""Step 1: Selection of Nodes\nStep 2: Allocation of CPUs from the selected Nodes\nStep 3: Distribution of Tasks to the selected Nodes\nStep 4: Optional Distribution and Binding of Tasks to CPUs within a Node\nStep 1: Selection of Nodes\nIn Step 1, Slurm selects the set of nodes from which CPU resources are to be allocated to a job or job step.""]}",2026-01-26T12:57:36+00:00,2026-01-26T12:57:36+00:00
24,sacct,1,slurm,command,individual,information_object,0.85,The SLURM command used to retrieve job details from the database.,"[""sacct -j <jobid> -o <output_format>""]","{""validated"": {""term"": ""sacct"", ""canonical"": ""sacct"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""command"", ""ontology_role"": ""individual"", ""dul_bucket"": ""information_object"", ""confidence"": 0.85, ""short_definition"": ""The SLURM command used to retrieve job details from the database."", ""aliases"": [""sacct -j <jobid> -o <output_format>""]}, ""raw"": {""term"": ""sacct"", ""canonical"": ""sacct"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""command"", ""ontology_role"": ""individual"", ""dul_bucket"": ""information_object"", ""confidence"": 0.85, ""short_definition"": ""The SLURM command used to retrieve job details from the database."", ""aliases"": [""sacct -j <jobid> -o <output_format>""]}, ""evidence"": [""The use of sacct to view information about jobs is dependent upon AccountingStorageType being configured to collect and store that information."", ""The use of sacct or sstat to view information about resource usage within jobs is dependent upon both JobAcctGatherType and AccountingStorageType being configured to collect and store that information."", ""sacct is used to retrieve details, stored in the database, about running and completed jobs.""]}","{""evidence"": [""The use of sacct to view information about jobs is dependent upon AccountingStorageType being configured to collect and store that information."", ""The use of sacct or sstat to view information about resource usage within jobs is dependent upon both JobAcctGatherType and AccountingStorageType being configured to collect and store that information."", ""sacct is used to retrieve details, stored in the database, about running and completed jobs.""]}",2026-01-26T12:57:36+00:00,2026-01-26T12:57:36+00:00
36,service,1,slurm,other_hpc,class,object,0.85,"A system component or functionality that provides a specific function or capability, such as SlurmDBD (Slurm Database Daemon).","[""SlurmDBD"", ""Slurm service""]","{""validated"": {""term"": ""service"", ""canonical"": ""service"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""other_hpc"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.85, ""short_definition"": ""A system component or functionality that provides a specific function or capability, such as SlurmDBD (Slurm Database Daemon)."", ""aliases"": [""SlurmDBD"", ""Slurm service""]}, ""raw"": {""term"": ""service"", ""canonical"": ""service"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""service"", ""ontology_role"": ""class"", ""dul_bucket"": ""object"", ""confidence"": 0.85, ""short_definition"": ""A system component or functionality that provides a specific function or capability, such as SlurmDBD (Slurm Database Daemon)."", ""aliases"": [""SlurmDBD"", ""Slurm service""]}, ""evidence"": [""SlurmDBD (Slurm Database Daemon) provides such services."", ""If SlurmDBD is configured for use but not responding then slurmctld will utilize an internal cache until SlurmDBD is returned to service."", ""Job and step accounting records generated by slurmctld will be written to a cache as needed and transferred to SlurmDBD when returned to service. Note that if SlurmDBD is down long enough for the number of queued records to exceed the maximum queue size then messages will begin to be dropped.""]}","{""evidence"": [""SlurmDBD (Slurm Database Daemon) provides such services."", ""If SlurmDBD is configured for use but not responding then slurmctld will utilize an internal cache until SlurmDBD is returned to service."", ""Job and step accounting records generated by slurmctld will be written to a cache as needed and transferred to SlurmDBD when returned to service. Note that if SlurmDBD is down long enough for the number of queued records to exceed the maximum queue size then messages will begin to be dropped.""]}",2026-01-26T12:57:36+00:00,2026-01-26T12:57:36+00:00
37,slurmdbd,1,slurm,other_hpc,individual,information_object,0.9,"The SlurmDBD daemon, a component of the SLURM job scheduler system.","[""SlurmDBD daemon""]","{""validated"": {""term"": ""slurmdbd"", ""canonical"": ""slurmdbd"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""other_hpc"", ""ontology_role"": ""individual"", ""dul_bucket"": ""information_object"", ""confidence"": 0.9, ""short_definition"": ""The SlurmDBD daemon, a component of the SLURM job scheduler system."", ""aliases"": [""SlurmDBD daemon""]}, ""raw"": {""term"": ""slurmdbd"", ""canonical"": ""slurmdbd"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""daemon"", ""ontology_role"": ""individual"", ""dul_bucket"": ""information_object"", ""confidence"": 0.9, ""short_definition"": ""The SlurmDBD daemon, a component of the SLURM job scheduler system."", ""aliases"": [""SlurmDBD daemon""]}, ""evidence"": [""SlurmDBD is written in C, multi-threaded, secure and fast."", ""The configuration required to use SlurmDBD will be described below."", ""Note that SlurmDBD relies upon existing Slurm plugins for authentication and Slurm SQL for database use, but the other Slurm commands and daemons are not required on the host where SlurmDBD is installed. Install the slurm and slurm-slurmdbd RPMs on the server where SlurmDBD is to run.""]}","{""evidence"": [""SlurmDBD is written in C, multi-threaded, secure and fast."", ""The configuration required to use SlurmDBD will be described below."", ""Note that SlurmDBD relies upon existing Slurm plugins for authentication and Slurm SQL for database use, but the other Slurm commands and daemons are not required on the host where SlurmDBD is installed. Install the slurm and slurm-slurmdbd RPMs on the server where SlurmDBD is to run.""]}",2026-01-26T12:57:36+00:00,2026-01-26T12:57:36+00:00
39,host slurmdbd,1,slurm,other_hpc,individual,information_object,0.85,The Slurm daemon responsible for managing the database.,"[""SlurmDBD""]","{""validated"": {""term"": ""host slurmdbd"", ""canonical"": ""slurmdbd"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""other_hpc"", ""ontology_role"": ""individual"", ""dul_bucket"": ""information_object"", ""confidence"": 0.85, ""short_definition"": ""The Slurm daemon responsible for managing the database."", ""aliases"": [""SlurmDBD""]}, ""raw"": {""term"": ""host slurmdbd"", ""canonical"": ""slurmdbd"", ""is_hpc_domain_term"": true, ""scheduler"": ""slurm"", ""category"": ""daemon"", ""ontology_role"": ""individual"", ""dul_bucket"": ""information_object"", ""confidence"": 0.85, ""short_definition"": ""The Slurm daemon responsible for managing the database."", ""aliases"": [""SlurmDBD""]}, ""evidence"": [""Note that SlurmDBD relies upon existing Slurm plugins for authentication and Slurm SQL for database use, but the other Slurm commands and daemons are not required on the host where SlurmDBD is installed. Install the slurm and slurm-slurmdbd RPMs on the server where SlurmDBD is to run."", ""This can be the host on which slurmdbd executes, but for larger systems, we recommend keeping the database on a separate machine.""]}","{""evidence"": [""Note that SlurmDBD relies upon existing Slurm plugins for authentication and Slurm SQL for database use, but the other Slurm commands and daemons are not required on the host where SlurmDBD is installed. Install the slurm and slurm-slurmdbd RPMs on the server where SlurmDBD is to run."", ""This can be the host on which slurmdbd executes, but for larger systems, we recommend keeping the database on a separate machine.""]}",2026-01-26T12:57:36+00:00,2026-01-26T12:57:36+00:00
