term_id,doc_id,sent_idx,token_start,token_end,cleaned_version
1,doc_4387,1,0,0,1
2,doc_4387,2,0,1,1
3,doc_4387,3,4,5,1
4,doc_4387,4,0,1,1
5,doc_4387,4,3,4,1
6,doc_4387,4,7,7,1
7,doc_4387,4,13,15,1
8,doc_4387,5,0,1,1
6,doc_4387,5,5,5,1
9,doc_4387,7,0,0,1
10,doc_4387,7,2,2,1
6,doc_4387,7,4,4,1
11,doc_4387,7,6,8,1
12,doc_4387,8,0,2,1
13,doc_4387,8,4,5,1
14,doc_4387,9,0,2,1
15,doc_4387,9,5,5,1
16,doc_4387,9,8,8,1
17,doc_4387,10,0,0,1
18,doc_4387,10,5,5,1
19,doc_4387,10,7,8,1
20,doc_4387,12,0,0,1
21,doc_4387,12,2,4,1
22,doc_4387,13,7,7,1
15,doc_4387,13,20,20,1
23,doc_4387,13,22,24,1
24,doc_4387,15,0,1,1
25,doc_4387,15,10,10,1
26,doc_4387,16,0,3,1
25,doc_4387,16,5,5,1
24,doc_4387,17,0,1,1
25,doc_4387,17,14,14,1
15,doc_4387,19,1,2,1
20,doc_4387,19,4,4,1
27,doc_4387,19,6,7,1
28,doc_4387,19,9,10,1
29,doc_4387,20,1,3,1
30,doc_4387,20,5,6,1
31,doc_4387,20,15,15,1
32,doc_4387,21,1,1,1
33,doc_4387,21,19,21,1
34,doc_4387,22,12,14,1
35,doc_4387,22,16,18,1
32,doc_4387,22,20,20,1
36,doc_4387,23,5,5,1
37,doc_4387,24,0,0,1
38,doc_4387,25,0,0,1
37,doc_4387,25,3,3,1
25,doc_4387,26,1,1,1
37,doc_4387,27,1,1,1
39,doc_4387,27,15,16,1
40,doc_4387,28,2,3,1
41,doc_4387,28,10,12,1
42,doc_4387,28,20,22,1
43,doc_4387,29,0,0,1
44,doc_4387,29,2,3,1
45,doc_4387,29,10,10,1
46,doc_4387,29,15,16,1
47,doc_4387,29,19,21,1
37,doc_4387,30,0,0,1
48,doc_4387,30,4,4,1
49,doc_4387,30,6,8,1
36,doc_4387,30,10,10,1
50,doc_4387,31,0,1,1
51,doc_4387,31,8,8,1
52,doc_4387,32,12,14,1
37,doc_4387,32,16,16,1
48,doc_4387,33,5,5,1
53,doc_4387,33,7,7,1
37,doc_4387,33,10,10,1
36,doc_4387,33,12,12,1
54,doc_4387,33,16,16,1
55,doc_4387,33,18,18,1
56,doc_4387,34,0,0,1
57,doc_4387,36,0,0,1
