term_id,term,canonical,scheduler,ontology_role,category,dul_bucket,is_hpc_domain,definition,aliases_json,raw_json,freq_total
1,Slurm,slurm,slurm,individual,scheduler,information_object,1,Slurm is a popular open-source job scheduler for high-performance computing (HPC) clusters.,[],"{
  ""term"": ""Slurm"",
  ""canonical"": ""Slurm"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""scheduler"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""Slurm is a popular open-source job scheduler for high-performance computing (HPC) clusters."",
  ""aliases"": []
}",7
3,sacct,sacct,slurm,individual,command,information_object,1,"sacct is a Slurm command used to report resource usage for running or terminated jobs, including individual tasks, and generate reports based on all jobs executed in a particular time interval.","[""sacct command""]","{
  ""term"": ""sacct"",
  ""canonical"": ""sacct"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""sacct is a Slurm command used to report resource usage for running or terminated jobs, including individual tasks, and generate reports based on all jobs executed in a particular time interval."",
  ""aliases"": [""sacct command""]
}",4
4,sstat,sstat,slurm,individual,command,event,1,"sstat is a Slurm command used to status only currently running jobs, providing information about load imbalance between tasks.","[""sstat command""]","{
  ""term"": ""sstat"",
  ""canonical"": ""sstat"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""event"",
  ""definition"": ""sstat is a Slurm command used to status only currently running jobs, providing information about load imbalance between tasks."",
  ""aliases"": [""sstat command""]
}",2
5,sreport,sreport,slurm,individual,command,information_object,1,sreport is a Slurm command used to generate reports based on all jobs executed in a particular time interval.,"[""sreport command""]","{
  ""term"": ""sreport"",
  ""canonical"": ""sreport"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""sreport is a Slurm command used to generate reports based on all jobs executed in a particular time interval."",
  ""aliases"": [""sreport command""]
}",4
6,SlurmDBD,slurmdbd,slurm,datatype_property,config_param,description,1,SlurmDBD is a plugin type in Slurm for resource accounting that stores job and job step information in a database.,[],"{
  ""term"": ""SlurmDBD"",
  ""canonical"": ""SlurmDBD"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""SlurmDBD is a plugin type in Slurm for resource accounting that stores job and job step information in a database."",
  ""aliases"": []
}",11
7,text file,text file,slurm,unknown,log_or_state_path,information_object,1,A text file is a format for storing accounting information for jobs and job steps executed on Slurm.,[],"{
  ""term"": ""text file"",
  ""canonical"": ""text file"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""log_or_state_path"",
  ""ontology_role"": ""object"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""A text file is a format for storing accounting information for jobs and job steps executed on Slurm."",
  ""aliases"": []
}",2
8,database,database,slurm,datatype_property,config_param,description,1,"Database refers to the storage of accounting information for Slurm jobs, configurable through AccountingStorageType.",[],"{
  ""term"": ""database"",
  ""canonical"": ""Database"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""Database refers to the storage of accounting information for Slurm jobs, configurable through AccountingStorageType."",
  ""aliases"": []
}",5
13,slurm.conf,slurm.conf,slurm,individual,config_file,information_object,1,"slurm.conf is Slurm’s main configuration file defining cluster and scheduling settings, including accounting plugin parameters.",[],"{
  ""term"": ""slurm.conf"",
  ""canonical"": ""slurm.conf"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_file"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""slurm.conf is Slurm’s main configuration file defining cluster and scheduling settings, including accounting plugin parameters."",
  ""aliases"": []
}",14
14,AccountingStorageType,accountingstoragetype,slurm,datatype_property,config_param,description,1,AccountingStorageType configures the accounting storage backend used by Slurm.,[],"{
  ""term"": ""AccountingStorageType"",
  ""canonical"": ""AccountingStorageType"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""AccountingStorageType configures the accounting storage backend used by Slurm."",
  ""aliases"": []
}",4
15,JobAcctGatherType,jobacctgathertype,slurm,datatype_property,config_param,description,1,JobAcctGatherType is a Slurm configuration parameter that determines the mechanism used to collect accounting information for jobs.,[],"{
  ""term"": ""JobAcctGatherType"",
  ""canonical"": ""JobAcctGatherType"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""JobAcctGatherType is a Slurm configuration parameter that determines the mechanism used to collect accounting information for jobs."",
  ""aliases"": []
}",2
16,JobCompType,jobcomptype,slurm,datatype_property,config_param,description,1,JobCompType is a Slurm configuration parameter that controls how job completion information is recorded.,[],"{
  ""term"": ""JobCompType"",
  ""canonical"": ""JobCompType"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""JobCompType is a Slurm configuration parameter that controls how job completion information is recorded."",
  ""aliases"": []
}",3
23,MySQL,mysql,unknown,datatype_property,config_param,description,1,MySQL is a database management system used for storing job completion information in Slurm.,[],"{
  ""term"": ""MySQL"",
  ""canonical"": ""MySQL"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""unknown"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""MySQL is a database management system used for storing job completion information in Slurm."",
  ""aliases"": []
}",5
