run_id,ts_utc,doc_id,chunk_id,rowid,model_id,raw_output
1,2026-02-03T19:05:44Z,doc_4387,doc_4387_chunk_0001,1,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""Slurm"",
    ""accounting"",
    ""sacct"",
    ""sstat"",
    ""sreport"",
    ""SlurmDBD"",
    ""text file"",
    ""database"",
    ""job step"",
    ""resource usage"",
    ""load imbalance"",
    ""Slurm configuration parameters"",
    ""slurm.conf"",
    ""AccountingStorageType"",
    ""JobAcctGatherType"",
    ""JobCompType"",
    ""jobacct_gather/linux"",
    ""jobacct_gather/cgroup"",
    ""jobacct_gather/none""
  ]
}"
2,2026-02-03T19:05:49Z,doc_4387,doc_4387_chunk_0002,2,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""JobCompType"",
    ""job_completions"",
    ""text file"",
    ""MySQL"",
    ""MariaDB database"",
    ""sacct"",
    ""sreport"",
    ""sacctmgr"",
    ""JobAcctGatherType"",
    ""AccountingStorageType"",
    ""JobCompLoc"",
    ""logrotate"",
    ""slurmctld"",
    ""SIGUSR2"",
    ""SlurmDBD"",
    ""Slurm Database Daemon""
  ]
}"
3,2026-02-03T19:05:58Z,doc_4387,doc_4387_chunk_0003,3,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""SlurmDBD"",
    ""Slurm Database Daemon"",
    ""SlurmDBD (Slurm Database Daemon)"",
    ""C"",
    ""multi-threaded"",
    ""secure"",
    ""fast"",
    ""SlurmDBD configuration"",
    ""Slurm plugins"",
    ""authentication"",
    ""Slurm SQL"",
    ""slurmctld"",
    ""slurmdbd"",
    ""RPMs"",
    ""MySQL plugin"",
    ""sacctmgr"",
    ""sacctmgr list cluster"",
    ""sacctmgr add cluster"",
    ""snowflake"",
    ""slurmctld failure"",
    ""slurmctld talking to slurmdbd"",
    ""slurmctld internal cache"",
    ""slurmctld shutdown"",
    ""slurmctld startup"",
    ""SlurmDBD cache"",
   "
4,2026-02-03T19:06:03Z,doc_4387,doc_4387_chunk_0004,4,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""SlurmDBD"",
    ""multiple clusters"",
    ""user naming"",
    ""user IDs"",
    ""Accounting"",
    ""user name"",
    ""user ID numbers"",
    ""SlurmUser"",
    ""administrators"",
    ""limits"",
    ""authentication"",
    ""MUNGE"",
    ""Slurm managed clusters"",
    ""local domain socket"",
    ""slurmdbd.conf"",
    ""slurm.conf"",
    ""passwd file"",
    ""authentication module""
  ]
}"
5,2026-02-03T19:06:10Z,doc_4387,doc_4387_chunk_0005,5,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""MUNGE"",
    ""passwd file"",
    ""sacctmgr"",
    ""accounting tools"",
    ""LDAP server"",
    ""Storage Backup Host"",
    ""AccountingStorageBackupHost"",
    ""slurm.conf"",
    ""DbdBackupHost"",
    ""slurmdbd.conf"",
    ""slurmdbd"",
    ""primary instance"",
    ""backup host"",
    ""same database"",
    ""same munge key(s)"",
    ""same users"",
    ""UID/GIDs"",
    ""network page"",
    ""Slurm JobComp Configuration"",
    ""SlurmDBD"",
    ""JobCompHost"",
    ""JobCompLoc"",
    ""JobCompPass""
  ]
}"
6,2026-02-03T19:06:16Z,doc_4387,doc_4387_chunk_0006,6,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""JobCompPort"",
    ""database"",
    ""JobCompType"",
    ""jobcomp/mysql"",
    ""jobcomp/filetxt"",
    ""JobCompUser"",
    ""JobCompParams"",
    ""AccountingStorageType"",
    ""accounting_storage/slurmdbd"",
    ""associations"",
    ""cluster"",
    ""user"",
    ""account"",
    ""partition"",
    ""MySQL"",
    ""MariaDB"",
    ""InnoDB"",
    ""SlurmDBD"",
    ""Upgrade Guide"",
    ""development package""
  ]
}"
7,2026-02-03T19:06:24Z,doc_4387,doc_4387_chunk_0007,7,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""Slurm"",
    ""InnoDB"",
    ""MySQL"",
    ""MariaDB"",
    ""MySQL installation"",
    ""rollback"",
    ""slurm_configure"",
    ""mysql_config"",
    ""--with-mysql_conf"",
    ""innodb_buffer_pool_size"",
    ""available memory"",
    ""SQL server"",
    ""4 GiB"",
    ""innodb_log_file_size"",
    ""innodb_log_files_in_group"",
    ""unnecessary small writes"",
    ""innodb_redo_log_capacity"",
    ""MySQL 8.0.30+"",
    ""innodb_lock_wait_timeout"",
    ""900 seconds"",
    ""AccountingStoreFlags"",
    ""job_env"",
    ""job_script"",
    ""max_script_size""
"
8,2026-02-03T19:06:30Z,doc_4387,doc_4387_chunk_0008,8,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""innodb_buffer_pool_size"",
    ""16M"",
    ""AccountingStoreFlags"",
    ""max_script_size"",
    ""mysql"",
    ""innodb_log_file_size"",
    ""innodb_lock_wait_timeout"",
    ""max_allowed_packet"",
    ""mysqld"",
    ""innodb_default_row_format"",
    ""COMPACT"",
    ""DYNAMIC"",
    ""row format"",
    ""table"",
    ""InnoDB"",
    ""InnoDB error"",
    ""upgrade"",
    ""alter"",
    ""record"",
    ""index leaf page""
  ]
}"
9,2026-02-03T19:06:36Z,doc_4387,doc_4387_chunk_0009,9,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""SlurmDBD"",
    ""slurmdbd.conf"",
    ""innodb_default_row_format"",
    ""dynamic"",
    ""SHOW TABLE STATUS"",
    ""db_name"",
    ""collation"",
    ""case-insensitive"",
    ""case-sensitive"",
    ""information_schema"",
    ""schemata"",
    ""SELECT"",
    ""default_collation_name"",
    ""AccountingStorageEnforce"",
    ""associations"",
    ""limits"",
    ""qos"",
    ""nojobs"",
    ""AccountingStorage""
  ]
}"
10,2026-02-03T19:06:40Z,doc_4387,doc_4387_chunk_0010,10,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""qos"",
    ""Quality of Service"",
    ""nojobs"",
    ""nosteps"",
    ""limits"",
    ""TRES-minutes"",
    ""safe"",
    ""associations"",
    ""wckeys"",
    ""wckey""
  ]
}"
11,2026-02-03T19:06:46Z,doc_4387,doc_4387_chunk_0011,11,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""wckeys"",
    ""associations"",
    ""TrackWCKey"",
    ""cluster"",
    ""account"",
    ""user"",
    ""partition"",
    ""AccountingStorageEnforce"",
    ""Slurm"",
    ""AccountingStorageExternalHost"",
    ""host/ip"",
    ""port"",
    ""AccountingStoragePort"",
    ""AccountingStorageHost"",
    ""AccountingStoragePass"",
    ""database"",
    ""MUNGE authentication"",
    ""AccountingStoragePass"",
    ""munge daemon"",
    ""communications"",
    ""alternate MUNGE daemon""
  ]
}"
12,2026-02-03T19:06:52Z,doc_4387,doc_4387_chunk_0012,12,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""AccountingStoragePort"",
    ""SlurmDBD"",
    ""Slurmdbd"",
    ""AccountingStorageType"",
    ""accounting_storage/slurmdbd"",
    ""ClusterName"",
    ""TrackWCKey"",
    ""wckey"",
    ""Workload Characterization Key"",
    ""slurmdbd.conf"",
    ""slurmdbd.conf(5)"",
    ""AuthInfo"",
    ""MUNGE"",
    ""named socket"",
    ""SlurmDBD Configuration"",
    ""slurmdbd.conf(5)"",
    ""configuration parameters"",
    ""AuthInfo""
  ]
}"
13,2026-02-03T19:06:57Z,doc_4387,doc_4387_chunk_0013,13,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""AuthInfo"",
    ""MUNGE"",
    ""AuthType"",
    ""munge"",
    ""SlurmDBD"",
    ""SlurmDatabaseDaemon"",
    ""slurmdbd"",
    ""slurmdbd_port"",
    ""SLURMDBD_PORT"",
    ""AccountingStoragePort"",
    ""slurm.conf"",
    ""LogFile"",
    ""syslog"",
    ""Slurm plugins"",
    ""Slurm plugin paths"",
    ""Slurm plugin directories"",
    ""default value"",
    ""configure time"",
    ""prefix""
  ]
}"
14,2026-02-03T19:07:02Z,doc_4387,doc_4387_chunk_0014,14,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""SlurmUser"",
    ""slurmdbd"",
    ""slurmctld"",
    ""slurmDatabase"",
    ""StorageHost"",
    ""StorageLoc"",
    ""StoragePass"",
    ""StoragePort"",
    ""accounting storage mechanism"",
    ""slurm_acct_db"",
    ""default value"",
    ""configure time"",
    ""UID"",
    ""root"",
    ""AdminLevel"",
    ""Admin""
  ]
}"
15,2026-02-03T19:07:07Z,doc_4387,doc_4387_chunk_0015,15,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""accounting_storage"",
    ""MySQL"",
    ""MariaDB"",
    ""StorageLoc"",
    ""StorageUser"",
    ""Slurm"",
    ""GRANT"",
    ""StorageHost"",
    ""database"",
    ""privileges"",
    ""mysql user"",
    ""Slurm database tables"",
    ""mysql command"",
    ""root"",
    ""password usage"",
    ""continuation prompt"",
    ""future databases""
  ]
}"
16,2026-02-03T19:07:10Z,doc_4387,doc_4387_chunk_0016,16,mistralai/Mistral-7B-Instruct-v0.3,"{
  ""terms"": [
    ""MySQL"",
    ""snowflake"",
    ""slurm_acct_db"",
    ""user"",
    ""password"",
    ""localhost"",
    ""system0"",
    ""grant"",
    ""all"",
    ""on"",
    ""database"",
    ""storage host""
  ]
}"
