term_id,term,doc_id,chunk_id,freq_total
1,Slurm,doc_4387,doc_4387_chunk_0001,7
2,accounting,doc_4387,doc_4387_chunk_0001,1
3,sacct,doc_4387,doc_4387_chunk_0001,4
4,sstat,doc_4387,doc_4387_chunk_0001,2
5,sreport,doc_4387,doc_4387_chunk_0001,4
6,SlurmDBD,doc_4387,doc_4387_chunk_0001,11
7,text file,doc_4387,doc_4387_chunk_0001,2
8,database,doc_4387,doc_4387_chunk_0001,5
9,job step,doc_4387,doc_4387_chunk_0001,1
10,resource usage,doc_4387,doc_4387_chunk_0001,1
11,load imbalance,doc_4387,doc_4387_chunk_0001,1
12,Slurm configuration parameters,doc_4387,doc_4387_chunk_0001,1
13,slurm.conf,doc_4387,doc_4387_chunk_0001,14
14,AccountingStorageType,doc_4387,doc_4387_chunk_0001,4
15,JobAcctGatherType,doc_4387,doc_4387_chunk_0001,2
16,JobCompType,doc_4387,doc_4387_chunk_0001,3
17,jobacct_gather/linux,doc_4387,doc_4387_chunk_0001,1
18,jobacct_gather/cgroup,doc_4387,doc_4387_chunk_0001,1
19,jobacct_gather/none,doc_4387,doc_4387_chunk_0001,1
21,job_completions,doc_4387,doc_4387_chunk_0002,1
23,MySQL,doc_4387,doc_4387_chunk_0002,5
24,MariaDB database,doc_4387,doc_4387_chunk_0002,1
27,sacctmgr,doc_4387,doc_4387_chunk_0002,10
30,JobCompLoc,doc_4387,doc_4387_chunk_0002,2
31,logrotate,doc_4387,doc_4387_chunk_0002,1
32,slurmctld,doc_4387,doc_4387_chunk_0002,10
33,SIGUSR2,doc_4387,doc_4387_chunk_0002,1
35,Slurm Database Daemon,doc_4387,doc_4387_chunk_0002,2
38,SlurmDBD (Slurm Database Daemon),doc_4387,doc_4387_chunk_0003,1
39,multi-threaded,doc_4387,doc_4387_chunk_0003,1
40,secure,doc_4387,doc_4387_chunk_0003,1
41,fast,doc_4387,doc_4387_chunk_0003,1
42,SlurmDBD configuration,doc_4387,doc_4387_chunk_0003,1
43,Slurm plugins,doc_4387,doc_4387_chunk_0003,2
44,authentication,doc_4387,doc_4387_chunk_0003,2
45,Slurm SQL,doc_4387,doc_4387_chunk_0003,1
47,RPMs,doc_4387,doc_4387_chunk_0003,1
48,MySQL plugin,doc_4387,doc_4387_chunk_0003,1
50,sacctmgr list cluster,doc_4387,doc_4387_chunk_0003,1
51,sacctmgr add cluster,doc_4387,doc_4387_chunk_0003,2
52,snowflake,doc_4387,doc_4387_chunk_0003,4
53,slurmctld failure,doc_4387,doc_4387_chunk_0003,1
54,slurmctld talking to slurmdbd,doc_4387,doc_4387_chunk_0003,1
55,slurmctld internal cache,doc_4387,doc_4387_chunk_0003,1
56,slurmctld shutdown,doc_4387,doc_4387_chunk_0003,1
57,slurmctld startup,doc_4387,doc_4387_chunk_0003,1
58,SlurmDBD cache,doc_4387,doc_4387_chunk_0003,1
60,multiple clusters,doc_4387,doc_4387_chunk_0004,1
61,user naming,doc_4387,doc_4387_chunk_0004,1
62,user IDs,doc_4387,doc_4387_chunk_0004,1
63,Accounting,doc_4387,doc_4387_chunk_0004,2
64,user name,doc_4387,doc_4387_chunk_0004,1
65,user ID numbers,doc_4387,doc_4387_chunk_0004,1
