chunk_id,doc_id,text,sentence_ids_json,num_sentences,start_char,end_char,estimated_tokens
doc_4387_chunk_0001,doc_4387,"Slurm can be configured to collect accounting information for every job and job step executed. Accounting records can be written to a simple text file or a database. Information is available about both currently executing jobs and jobs which have already terminated. The sacct command can report resource usage for running or terminated jobs including individual tasks, which can be useful to detect load imbalance between the tasks. The sstat command can be used to status only currently running jobs. It also can give you valuable information about imbalance between tasks. The sreport can be used to generate reports based upon all jobs executed in a particular time interval. There are three distinct plugin types associated with resource accounting. The Slurm configuration parameters (in slurm.conf) associated with these plugins include:
AccountingStorageType controls how detailed job and job step information is recorded. You can store this information in a text file or into SlurmDBD. JobAcctGatherType is operating system dependent and controls what mechanism is used to collect accounting information. Supported values are jobacct_gather/linux, jobacct_gather/cgroup and jobacct_gather/none (no information collected). JobCompType controls how job completion information is recorded.","[""doc_4387_sent_00001"", ""doc_4387_sent_00002"", ""doc_4387_sent_00003"", ""doc_4387_sent_00004"", ""doc_4387_sent_00005"", ""doc_4387_sent_00006"", ""doc_4387_sent_00007"", ""doc_4387_sent_00008"", ""doc_4387_sent_00009"", ""doc_4387_sent_00010"", ""doc_4387_sent_00011"", ""doc_4387_sent_00012""]",12,0,1295,241
doc_4387_chunk_0002,doc_4387,"JobCompType controls how job completion information is recorded. This can be used to record basic job information such as job name, user name, allocated nodes, start time, completion time, exit status, etc. If the preservation of only basic job information is required, this plugin should satisfy your needs with minimal overhead. You can store this information in a text file, or MySQL or MariaDB database. The use of sacct to view information about jobs is dependent upon AccountingStorageType being configured to collect and store that information. The use of sreport is dependent upon some database being used to store that information. The use of sacct or sstat to view information about resource usage within jobs is dependent upon both JobAcctGatherType and AccountingStorageType being configured to collect and store that information. Storing the accounting information into text files is very simple. Just configure the appropriate plugin (e.g. JobCompType=jobcomp/filetxt) and then specify the pathname of the file (e.g. JobCompLoc=/var/log/slurm/job_completions). Use the logrotate or similar tool to prevent the log files from getting too large. Send a SIGUSR2 signal to the slurmctld daemon after moving the files, but before compressing them so that new log files will be created. Storing the data directly into a database from Slurm may seem attractive, but it requires the availability of user name and password data not only for the Slurm control daemon (slurmctld), but also for user commands which need to access the data (sacct, sreport, and sacctmgr). Making potentially sensitive information available to all users makes database security more difficult to provide. Sending the data through an intermediate daemon can provide better security and performance (through caching data). SlurmDBD (Slurm Database Daemon) provides such services.","[""doc_4387_sent_00012"", ""doc_4387_sent_00013"", ""doc_4387_sent_00014"", ""doc_4387_sent_00015"", ""doc_4387_sent_00016"", ""doc_4387_sent_00017"", ""doc_4387_sent_00018"", ""doc_4387_sent_00019"", ""doc_4387_sent_00020"", ""doc_4387_sent_00021"", ""doc_4387_sent_00022"", ""doc_4387_sent_00023""]",12,1231,3091,364
doc_4387_chunk_0003,doc_4387,"SlurmDBD (Slurm Database Daemon) provides such services. SlurmDBD is written in C, multi-threaded, secure and fast. The configuration required to use SlurmDBD will be described below. Storing information directly into a database would be similar. Note that SlurmDBD relies upon existing Slurm plugins for authentication and Slurm SQL for database use, but the other Slurm commands and daemons are not required on the host where SlurmDBD is installed. Install the slurm and slurm-slurmdbd RPMs on the server where SlurmDBD is to run. Note if you switch from using the MySQL plugin to use the SlurmDBD plugin you must make sure the cluster has been added to the database. The MySQL plugin doesn't require this, but also will not hurt things if you have it there when using the MySQL plugin. You can verify with
sacctmgr list cluster If the cluster isn't there, add it (where my cluster's name was snowflake):
sacctmgr add cluster snowflake
Failure to do so will result in the slurmctld failing to talk to the slurmdbd after the switch. If you plan to upgrade to a new version of Slurm don't switch plugins at the same time or you may get unexpected results. Do one then the other. If SlurmDBD is configured for use but not responding then slurmctld will utilize an internal cache until SlurmDBD is returned to service. The cached data is written by slurmctld to local storage upon shutdown and recovered at startup. If SlurmDBD is not available when slurmctld starts, a cache of valid bank accounts, user limits, etc. based upon their state when the daemons were last communicating will be used. Note that SlurmDBD must be responding when slurmctld is first started since no cache of this critical data will be available. Job and step accounting records generated by slurmctld will be written to a cache as needed and transferred to SlurmDBD when returned to service. Note that if SlurmDBD is down long enough for the number of queued records to exceed the maximum queue size then messages will begin to be dropped. Infrastructure
With the SlurmDBD, we are able to collect data from multiple clusters in a single location.","[""doc_4387_sent_00023"", ""doc_4387_sent_00024"", ""doc_4387_sent_00025"", ""doc_4387_sent_00026"", ""doc_4387_sent_00027"", ""doc_4387_sent_00028"", ""doc_4387_sent_00029"", ""doc_4387_sent_00030"", ""doc_4387_sent_00031"", ""doc_4387_sent_00032"", ""doc_4387_sent_00033"", ""doc_4387_sent_00034""]",12,3035,5155,465
doc_4387_chunk_0004,doc_4387,"Infrastructure
With the SlurmDBD, we are able to collect data from multiple clusters in a single location. This does impose some constraints on the user naming and IDs. Accounting is maintained by user name (not user ID), but a given user name should refer to the same person across all of the computers. Authentication relies upon user ID numbers, so those must be uniform across all computers communicating with each SlurmDBD, at least for users requiring authentication. In particular, the configured SlurmUser must have the same name and ID across all clusters. If you plan to have administrators of user accounts, limits, etc. they must also have consistent names and IDs across all clusters. If you plan to restrict access to accounting records (e.g. only permit a user to view records of his jobs), then all users should have consistent names and IDs. By default only lowercase usernames are supported, but you can configure Parameters=PreserveCaseUser in your slurmdbd.conf to allow usernames with uppercase characters. The best way to ensure security of the data is by authenticating communications to the SlurmDBD and we recommend MUNGE for that purpose. If you have one cluster managed by Slurm and execute the SlurmDBD on that one cluster, the normal MUNGE configuration will suffice. Otherwise MUNGE should then be installed on all nodes of all Slurm managed clusters, plus the machine where SlurmDBD executes. You then have a choice of either having a single MUNGE key for all of these computers or maintaining a unique key for each of the clusters plus a second key for communications between the clusters for better security. MUNGE enhancements are planned to support two keys within a single configuration file, but presently two different daemons must be started with different configurations to support two different keys (create two key files and start the daemons with the --key-file option to locate the proper key plus the --socket option to specify distinct local domain sockets for each). The pathname of local domain socket will be needed in the Slurm and SlurmDBD configuration files (slurm.conf and slurmdbd.conf respectively, more details are provided below). Whether you use any authentication module or not you will need to have a way for the SlurmDBD to get UIDs for users and/or admins. If using MUNGE, it is ideal for your users to have the same id on all your clusters. If this is the case you should have a combination of every cluster's /etc/passwd file on the database server to allow the DBD to resolve names for authentication. If using MUNGE and a user's name is not in the passwd file the action will fail. If not using MUNGE, you should add anyone you want to be an administrator or operator to the passwd file.","[""doc_4387_sent_00034"", ""doc_4387_sent_00035"", ""doc_4387_sent_00036"", ""doc_4387_sent_00037"", ""doc_4387_sent_00038"", ""doc_4387_sent_00039"", ""doc_4387_sent_00040"", ""doc_4387_sent_00041"", ""doc_4387_sent_00042"", ""doc_4387_sent_00043"", ""doc_4387_sent_00044"", ""doc_4387_sent_00045""]",12,5049,7809,596
doc_4387_chunk_0005,doc_4387,"If not using MUNGE, you should add anyone you want to be an administrator or operator to the passwd file. If they plan on running sacctmgr or any of the accounting tools they should have the same UID, or they will not authenticate correctly. An LDAP server could also serve as a way to gather this information. Storage Backup Host
A backup instance of slurmdbd can be configured by specifying AccountingStorageBackupHost in slurm.conf, as well as DbdBackupHost in slurmdbd.conf. The backup host should be on a different machine than the one hosting the primary instance of slurmdbd. Both instances of slurmdbd should have access to the same database, share the same munge key(s), and have the same users with the same UID/GIDs. The network page has a visual representation of how this might look. Slurm JobComp Configuration
Presently job completion is not supported with the SlurmDBD, but can be written directly to a database, script or flat file. If you are running with the accounting storage plugin, use of the job completion plugin is probably redundant. If you would like to configure this, some of the more important parameters include:
JobCompHost: Only needed if using a database. The name or address of the host where the database server executes. JobCompLoc: Only needed if using a flat file. Location of file to write the job completion data to. JobCompPass: Only needed if using a database. Password for the user connecting to the database. Since the password can not be securely maintained, storing the information directly in a database is not recommended.","[""doc_4387_sent_00045"", ""doc_4387_sent_00046"", ""doc_4387_sent_00047"", ""doc_4387_sent_00048"", ""doc_4387_sent_00049"", ""doc_4387_sent_00050"", ""doc_4387_sent_00051"", ""doc_4387_sent_00052"", ""doc_4387_sent_00053"", ""doc_4387_sent_00054"", ""doc_4387_sent_00055"", ""doc_4387_sent_00056""]",12,7704,9277,338
doc_4387_chunk_0006,doc_4387,"Since the password can not be securely maintained, storing the information directly in a database is not recommended. JobCompPort: Only needed if using a database. The network port that the database accepts communication on. JobCompType: Type of jobcomp plugin set to ""jobcomp/mysql"" or ""jobcomp/filetxt"". JobCompUser: Only needed if using a database. User name to connect to the database with. JobCompParams: Pass arbitrary text string to job completion plugin. Slurm Accounting Configuration Before Build You can configure SlurmDBD to communicate with a database by using AccountingStorageType=accounting_storage/slurmdbd. This allows the creation of user entities called ""associations"", which consist of the cluster, a user, account and optionally a partition. MySQL or MariaDB is the preferred database. Refer to the Upgrade Guide for information on in-place upgrades of Slurm and DB server packages. To enable this database support one only needs to have the development package for the database they wish to use on the system. Slurm uses the InnoDB storage engine in MySQL to make rollback possible.","[""doc_4387_sent_00056"", ""doc_4387_sent_00057"", ""doc_4387_sent_00058"", ""doc_4387_sent_00059"", ""doc_4387_sent_00060"", ""doc_4387_sent_00061"", ""doc_4387_sent_00062"", ""doc_4387_sent_00063"", ""doc_4387_sent_00064"", ""doc_4387_sent_00065"", ""doc_4387_sent_00066"", ""doc_4387_sent_00067""]",12,9159,10264,213
doc_4387_chunk_0007,doc_4387,"Slurm uses the InnoDB storage engine in MySQL to make rollback possible. This must be available on your MySQL installation or rollback will not work. The slurm configure script uses mysql_config to find out the information it needs about installed libraries and headers. You can specify where your mysql_config script is with the --with-mysql_conf=/path/to/mysql_config option when configuring your slurm build. On a successful configure, output is something like this:
checking for mysql_config... /usr/bin/mysql_config
MySQL test program built properly. Before running the slurmdbd for the first time there are several MySQL/MariaDB server settings that should be reviewed. innodb_buffer_pool_size: We recommend assigning between 5 and 50 percent of the available memory on the SQL server, and at least 4 GiB. Setting this value too small can cause problems when upgrading large Slurm databases or when purging old records. innodb_log_file_size: This should be set to 25 percent of innodb_buffer_pool_size divided by innodb_log_files_in_group to reduce unnecessary small writes to disk. Keep in mind that increasing this can cause recovery times when the SQL server shuts down unexpectedly. innodb_redo_log_capacity: Use this instead of innodb_log_file_size in MySQL 8.0.30+. This should be set to 25 percent of innodb_buffer_pool_size. innodb_lock_wait_timeout: Set this to 900 seconds to allow some potentially extended queries to complete successfully. We recommend at least 16M for this value, and is important to check when using older SQL server versions. If you are using AccountingStoreFlags=job_env,job_script, this must be greater than max_script_size.","[""doc_4387_sent_00067"", ""doc_4387_sent_00068"", ""doc_4387_sent_00069"", ""doc_4387_sent_00070"", ""doc_4387_sent_00071"", ""doc_4387_sent_00072"", ""doc_4387_sent_00073"", ""doc_4387_sent_00074"", ""doc_4387_sent_00075"", ""doc_4387_sent_00076"", ""doc_4387_sent_00077"", ""doc_4387_sent_00078""]",12,10192,11883,306
doc_4387_chunk_0008,doc_4387,"We recommend at least 16M for this value, and is important to check when using older SQL server versions. If you are using AccountingStoreFlags=job_env,job_script, this must be greater than max_script_size. See the following example:
mysql> SHOW VARIABLES LIKE 'innodb_buffer_pool_size';
| Variable_name | Value |
| innodb_buffer_pool_size | 4294967296 |
1 row in set (0.001 sec)
$cat my.cnf [mysqld]
innodb_buffer_pool_size=4096M
innodb_log_file_size=1024M
innodb_lock_wait_timeout=900
max_allowed_packet=16M
Also, in MySQL versions prior to 5.7 the default row format was set to COMPACT which could cause some issues during an upgrade when creating tables. In more recent versions it was changed to DYNAMIC. The row format of a table determines how its rows are physically stored in pages and directly affects the performance of queries and DML operations. In very specific situations using a format other than DYNAMIC can lead to rows not fitting into pages and MySQL can throw an error during the creation of the table because of that. Therefore it is recommended to read carefully about the row format before creating your database tables if you are not using DYNAMIC by default, and consider setting that if your database version supports it. If the following InnoDB error shows up during an upgrade, the table can then be altered (may take some time) to set the row format to DYNAMIC in order to allow the conversion to proceed: [Warning] InnoDB: Cannot add field ... in table ... because after adding it, the row size is Y which is greater than maximum allowed size (X) for a record on index leaf page. You can see what the default row format is by showing the innodb_default_row_format variable:
mysql> SHOW VARIABLES LIKE 'innodb_default_row_format';
| Variable_name","[""doc_4387_sent_00078"", ""doc_4387_sent_00079"", ""doc_4387_sent_00080"", ""doc_4387_sent_00081"", ""doc_4387_sent_00082"", ""doc_4387_sent_00083"", ""doc_4387_sent_00084"", ""doc_4387_sent_00085"", ""doc_4387_sent_00086"", ""doc_4387_sent_00087"", ""doc_4387_sent_00088"", ""doc_4387_sent_00089""]",12,11676,13452,361
doc_4387_chunk_0009,doc_4387,"LIKE 'innodb_default_row_format';
| Variable_name | Value |
| innodb_default_row_format | dynamic |
1 row in set (0.001 sec) You can also see how the tables are created by running the following command, where db_name is the name of your Slurm database (StorageLoc) set in your slurmdbd.conf:
mysql> SHOW TABLE STATUS IN db_name;
Slurm assumes that the default collation for the database and table columns is a case-insensitive one (also the default for MySQL databases). Using or changing the collation to a case-sensitive one is not supported and will cause slurmdbd to log an error message at start up if these are found. You can check the default collation for the database this way (a _ci suffix indicates a case-insensitive collation):
mysql> SELECT default_collation_name FROM information_schema.schemata WHERE schema_name='db_name';
You can identify the database tables and columns that do not have a case-insensitive collation this way:
mysql> SELECT table_name,column_name,collation_name FROM information_schema.columns WHERE table_schema='db_name' AND collation_name NOT LIKE '%_ci';
Slurm Accounting Configuration After Build
For simplicity's sake, we are going to proceed under the assumption that you are running with the SlurmDBD. You can communicate with a storage plugin directly, but that offers minimal security. Several Slurm configuration parameters must be set to support archiving information in SlurmDBD. SlurmDBD has a separate configuration file which is documented in a separate section. Note that you can write accounting information to SlurmDBD while job completion records are written to a text file or not maintained at all. If you don't set the configuration parameters that begin with ""AccountingStorage"" then accounting information will not be referenced or recorded. AccountingStorageEnforce: This option contains a comma separated list of options you may want to enforce. The valid options are any comma separated combination of
associations - This will prevent users from running jobs if their association is not in the database. This option will prevent users from accessing invalid accounts.
limits - This will enforce limits set on associations and qos'. By setting this option, the 'associations' option is automatically set. If a qos is used the limits will be enforced, but 'qos' described below is still needed if you want to enforce access to the qos.
nojobs - This will make it so no job information is stored in accounting.","[""doc_4387_sent_00089"", ""doc_4387_sent_00090"", ""doc_4387_sent_00091"", ""doc_4387_sent_00092"", ""doc_4387_sent_00093"", ""doc_4387_sent_00094"", ""doc_4387_sent_00095"", ""doc_4387_sent_00096"", ""doc_4387_sent_00097"", ""doc_4387_sent_00098"", ""doc_4387_sent_00099"", ""doc_4387_sent_00100""]",12,13403,15872,484
doc_4387_chunk_0010,doc_4387,"If a qos is used the limits will be enforced, but 'qos' described below is still needed if you want to enforce access to the qos.
nojobs - This will make it so no job information is stored in accounting. By setting this 'nosteps' is also set. nosteps - This will make it so no step information is stored in accounting. Both nojobs and nosteps could be helpful in an environment where you want to use limits but don't really care about utilization. qos - This will require all jobs to specify (either overtly or by default) a valid qos (Quality of Service). QOS values are defined for each association in the database. By setting this option, the 'associations' option is automatically set. If you want QOS limits to be enforced you need to use the 'limits' option. safe - This will ensure a job will only be launched when using an association or qos that has a TRES-minutes limit set if the job will be able to run to completion. Without this option set, jobs will be launched as long as their usage hasn't reached the TRES-minutes limit which can lead to jobs being launched but then killed when the limit is reached. With the 'safe' option set, a job won't be killed due to limits, even if the limits are changed after a job was started and the association or qos violates the updated limits. By setting this option, both the 'associations' option and the 'limits' option are set automatically. wckeys - This will prevent users from running jobs under a wckey that they don't have access to.","[""doc_4387_sent_00100"", ""doc_4387_sent_00101"", ""doc_4387_sent_00102"", ""doc_4387_sent_00103"", ""doc_4387_sent_00104"", ""doc_4387_sent_00105"", ""doc_4387_sent_00106"", ""doc_4387_sent_00107"", ""doc_4387_sent_00108"", ""doc_4387_sent_00109"", ""doc_4387_sent_00110"", ""doc_4387_sent_00111""]",12,15669,17162,351
