child_term_id,parent_term_id,pattern_count,from_head_heuristic,llm_label,llm_confidence,confidence,created_at,updated_at
1390,678,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1419,1379,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
948,55,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2022,378,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
176,905,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
908,903,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2014,1426,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
545,195,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1892,781,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1875,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
5,101,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1990,678,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2135,13,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1476,704,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1507,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
543,536,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2182,619,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
611,652,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1665,82,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2227,114,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
380,905,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1131,68,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1237,705,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
277,7,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1720,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
74,322,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
812,678,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1038,87,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2105,619,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
483,112,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
403,3,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1816,1846,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
824,652,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1057,1040,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1994,275,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1895,1712,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1676,374,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
883,82,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
218,186,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
9,49,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
105,840,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1042,75,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1554,781,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1819,261,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
871,849,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
751,704,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1439,1041,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2011,202,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
812,781,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1056,275,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1368,770,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1161,953,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2111,307,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1443,275,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1992,1128,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1036,55,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
359,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
549,196,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
171,3,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1382,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1870,366,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
873,275,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1910,829,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1992,81,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
204,692,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
377,336,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1602,1225,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
505,113,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1273,3,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
556,195,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1471,1379,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1296,1298,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
673,87,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1093,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1847,336,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
911,261,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1412,692,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
492,30,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
593,509,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1487,704,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1499,678,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
