enrich_id,canonical_term,example_term,scheduler,category,short_definition,is_hpc_domain,freq_total,doc_count,aliases_json,raw_json
1,# sign,# sign,both,other_hpc,"# sign is used to start a comment in a shell script, and in the context of the Burst Buffer plugin for SLURM and LSF, it marks the beginning of the directive for the plugin.",1,1,1,[],"{
  ""term"": ""# sign"",
  ""canonical"": ""# sign"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""# sign is used to start a comment in a shell script, and in the context of the Burst Buffer plugin for SLURM and LSF, it marks the beginning of the directive for the plugin."",
  ""aliases"": []
}"
2,#excluded directive,#EXCLUDED directive,slurm,other_hpc,"#EXCLUDED directive is a comment used in Slurm batch scripts to exclude certain directives (e.g., DW or BB) from interpretation by Cray infrastructure, aiding administrators in writing an interface for the lua plugin.",1,1,1,[],"{
  ""term"": ""#EXCLUDED directive"",
  ""canonical"": ""#excluded directive"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""#EXCLUDED directive is a comment used in Slurm batch scripts to exclude certain directives (e.g., DW or BB) from interpretation by Cray infrastructure, aiding administrators in writing an interface for the lua plugin."",
  ""aliases"": []
}"
3,#pbs,#PBS,both,other_hpc,"#PBS is a directive used in batch scripts to instruct SLURM to recognize and translate certain options, such as PBS environment variables.",1,1,1,"[""PBS directive""]","{
  ""term"": ""#PBS"",
  ""canonical"": ""#PBS"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""#PBS is a directive used in batch scripts to instruct SLURM to recognize and translate certain options, such as PBS environment variables."",
  ""aliases"": [""PBS directive""]
}"
4,#sbatch,#SBATCH,slurm,command,#SBATCH is a directive used at the beginning of a Slurm job script to submit and configure job parameters.,1,1,1,[],"{
  ""term"": ""#SBATCH"",
  ""canonical"": ""#SBATCH"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""short_definition"": ""#SBATCH is a directive used at the beginning of a Slurm job script to submit and configure job parameters."",
  ""aliases"": []
}"
5,$(home)/rpmbuild,$(HOME)/rpmbuild,generic,log_or_state_path,$(HOME)/rpmbuild is a directory where RPM files are installed during the build process for Slurm plugins.,1,1,1,[],"{
  ""term"": ""$(HOME)/rpmbuild"",
  ""canonical"": ""$(home)/rpmbuild"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""log_or_state_path"",
  ""short_definition"": ""$(HOME)/rpmbuild is a directory where RPM files are installed during the build process for Slurm plugins."",
  ""aliases"": []
}"
6,$hostsfile,$HOSTSFILE,slurm,config_file,$HOSTSFILE is a configuration file containing a list of hostnames or IP addresses used by the srun command in SLURM for job submission.,1,1,1,[],"{
  ""term"": ""$HOSTSFILE"",
  ""canonical"": ""$hostsfile"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_file"",
  ""short_definition"": ""$HOSTSFILE is a configuration file containing a list of hostnames or IP addresses used by the srun command in SLURM for job submission."",
  ""aliases"": []
}"
7,$jobid,$JobID,generic,log_or_state_path,"$JobID is a unique identifier for a job in the scheduler's state or log files, used to locate job-specific directories and resources.",1,1,1,[],"{
  ""term"": ""$JobID"",
  ""canonical"": ""$jobid"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""log_or_state_path"",
  ""short_definition"": ""$JobID is a unique identifier for a job in the scheduler's state or log files, used to locate job-specific directories and resources."",
  ""aliases"": []
}"
8,$slurm_ntasks,$SLURM_NTASKS,slurm,resource,$SLURM_NTASKS is an environment variable in SLURM that represents the number of tasks for a job.,1,1,1,[],"{
  ""term"": ""$SLURM_NTASKS"",
  ""canonical"": ""$slurm_ntasks"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""resource"",
  ""short_definition"": ""$SLURM_NTASKS is an environment variable in SLURM that represents the number of tasks for a job."",
  ""aliases"": []
}"
9,slurm,'slurm',slurm,scheduler,SLURM (Simple Linux Utility for Resource Management) is a popular open-source job scheduler for HPC systems.,1,1,1,"[""Slurm""]","{
  ""term"": ""'slurm'"",
  ""canonical"": ""slurm"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""scheduler"",
  ""short_definition"": ""SLURM (Simple Linux Utility for Resource Management) is a popular open-source job scheduler for HPC systems."",
  ""aliases"": [""Slurm""]
}"
10,system0,'system0',slurm,log_or_state_path,'system0' is a hostname or system identifier used in SLURM's MySQL database configuration.,1,1,1,[],"{
  ""term"": ""'system0'"",
  ""canonical"": ""system0"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""log_or_state_path"",
  ""short_definition"": ""'system0' is a hostname or system identifier used in SLURM's MySQL database configuration."",
  ""aliases"": []
}"
11,--acct-freq,--acct-freq,slurm,config_param,--acct-freq is a command-line option or configuration parameter used to set the interval for gathering job statistics in SLURM.,1,1,1,[],"{
  ""term"": ""--acct-freq"",
  ""canonical"": ""--acct-freq"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""--acct-freq is a command-line option or configuration parameter used to set the interval for gathering job statistics in SLURM."",
  ""aliases"": []
}"
