edge_id,child_term,parent_term,child_canonical,parent_canonical,doc_id,chunk_id,reason,raw_json
1,with_usage,query parameter,with_usage,query parameter,doc_05b9,doc_05b9_chunk_0008,with_usage is a specific type of query parameter.,"{
  ""is_a_edges"": [
    {
      ""child"": ""result of delete cluster request"",
      ""parent"": ""response"",
      ""reason"": ""The text describes the result of a delete cluster request as a response.""
    },
    {
      ""child"": ""v0.0.43_openapi_clusters_removed_resp"",
      ""parent"": ""response"",
      ""reason"": ""The text specifies the response type as v0.0.43_openapi_clusters_removed_resp.""
    },
    {
      ""child"": ""query parameter"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""Query parameters are explicitly mentioned as a configuration option.""
    },
    {
      ""child"": ""with_usage"",
      ""parent"": ""query parameter"",
      ""reason"": ""with_usage is a specific type of query parameter.""
    }
  ]
}"
2,slurmdbv0043getassociation,get,slurmdbv0043getassociation,get,doc_05b9,doc_05b9_chunk_0009,slurmdbv0043getassociation is a specific type of get operation.,"{
  ""is_a_edges"": [
    {
      ""child"": ""slurmdbv0043getassociation"",
      ""parent"": ""get"",
      ""reason"": ""slurmdbv0043getassociation is a specific type of get operation.""
    },
    {
      ""child"": ""v0.0.43_openapi_accounts_resp"",
      ""parent"": ""responses"",
      ""reason"": ""v0.0.43_openapi_accounts_resp is a specific type of response.""
    },
    {
      ""child"": ""list"",
      ""parent"": ""responses"",
      ""reason"": ""list is a more general type of response.""
    },
    {
      ""child"": ""default_qos"",
      ""parent"": ""query parameters"",
      ""reason"": ""default_qos is a specific type of query parameter.""
    }
  ]
}"
3,v0.0.43_openapi_accounts_resp,responses,v0.0.43_openapi_accounts_resp,responses,doc_05b9,doc_05b9_chunk_0009,v0.0.43_openapi_accounts_resp is a specific type of response.,"{
  ""is_a_edges"": [
    {
      ""child"": ""slurmdbv0043getassociation"",
      ""parent"": ""get"",
      ""reason"": ""slurmdbv0043getassociation is a specific type of get operation.""
    },
    {
      ""child"": ""v0.0.43_openapi_accounts_resp"",
      ""parent"": ""responses"",
      ""reason"": ""v0.0.43_openapi_accounts_resp is a specific type of response.""
    },
    {
      ""child"": ""list"",
      ""parent"": ""responses"",
      ""reason"": ""list is a more general type of response.""
    },
    {
      ""child"": ""default_qos"",
      ""parent"": ""query parameters"",
      ""reason"": ""default_qos is a specific type of query parameter.""
    }
  ]
}"
4,list,responses,list,responses,doc_05b9,doc_05b9_chunk_0009,list is a more general type of response.,"{
  ""is_a_edges"": [
    {
      ""child"": ""slurmdbv0043getassociation"",
      ""parent"": ""get"",
      ""reason"": ""slurmdbv0043getassociation is a specific type of get operation.""
    },
    {
      ""child"": ""v0.0.43_openapi_accounts_resp"",
      ""parent"": ""responses"",
      ""reason"": ""v0.0.43_openapi_accounts_resp is a specific type of response.""
    },
    {
      ""child"": ""list"",
      ""parent"": ""responses"",
      ""reason"": ""list is a more general type of response.""
    },
    {
      ""child"": ""default_qos"",
      ""parent"": ""query parameters"",
      ""reason"": ""default_qos is a specific type of query parameter.""
    }
  ]
}"
5,default_qos,query parameters,default_qos,query parameters,doc_05b9,doc_05b9_chunk_0009,default_qos is a specific type of query parameter.,"{
  ""is_a_edges"": [
    {
      ""child"": ""slurmdbv0043getassociation"",
      ""parent"": ""get"",
      ""reason"": ""slurmdbv0043getassociation is a specific type of get operation.""
    },
    {
      ""child"": ""v0.0.43_openapi_accounts_resp"",
      ""parent"": ""responses"",
      ""reason"": ""v0.0.43_openapi_accounts_resp is a specific type of response.""
    },
    {
      ""child"": ""list"",
      ""parent"": ""responses"",
      ""reason"": ""list is a more general type of response.""
    },
    {
      ""child"": ""default_qos"",
      ""parent"": ""query parameters"",
      ""reason"": ""default_qos is a specific type of query parameter.""
    }
  ]
}"
6,application/json,content-type,application/json,content-type,doc_05b9,doc_05b9_chunk_0010,"The term 'application/json' is a specific type of content-type, as it refers to the format of the data being transmitted.","{
  ""is_a_edges"": [
    {
      ""child"": ""list of associations v0.0.43_openapi_assocs_resp"",
      ""parent"": ""list"",
      ""reason"": ""The term 'list of associations v0.0.43_openapi_assocs_resp' is a specific type of list, as it refers to a collection of associations with a specific version and format.""
    },
    {
      ""child"": ""application/json"",
      ""parent"": ""content-type"",
      ""reason"": ""The term 'application/json' is a specific type of content-type, as it refers to the format of the data being transmitted.""
    },
    {
      ""child"": ""csv"",
      ""parent"": ""format"",
      ""reason"": ""The term 'csv' is a specific type of format, as it refers to a comma-separated values format.""
    }
  ]
}"
7,cli_filter.lua,lua plugin,cli_filter.lua,lua plugin,doc_05be,doc_05be_chunk_0002,cli_filter.lua is a specific instance of the lua plugin.,"{
  ""is_a_edges"": [
    {
      ""child"": ""cli_filter plugins"",
      ""parent"": ""Slurm plugins"",
      ""reason"": ""cli_filter plugins are explicitly mentioned as a type of Slurm plugins.""
    },
    {
      ""child"": ""cli_filter.lua"",
      ""parent"": ""lua plugin"",
      ""reason"": ""cli_filter.lua is a specific instance of the lua plugin.""
    },
    {
      ""child"": ""cli_filter.major"",
      ""parent"": ""plugin_type"",
      ""reason"": ""cli_filter.major is a specific type of plugin_type.""
    },
    {
      ""child"": ""cli_filter.minor"",
      ""parent"": ""plugin_type"",
      ""reason"": ""cli_filter.minor is a specific type of plugin_type.""
    },
    {
      ""child"": ""default script directory"",
      ""parent"": ""script directory"",
      ""reason"": ""default script directory is a specific instance of script directory.""
    }
  ]
}"
8,cli_filter.major,plugin_type,cli_filter.major,plugin_type,doc_05be,doc_05be_chunk_0002,cli_filter.major is a specific type of plugin_type.,"{
  ""is_a_edges"": [
    {
      ""child"": ""cli_filter plugins"",
      ""parent"": ""Slurm plugins"",
      ""reason"": ""cli_filter plugins are explicitly mentioned as a type of Slurm plugins.""
    },
    {
      ""child"": ""cli_filter.lua"",
      ""parent"": ""lua plugin"",
      ""reason"": ""cli_filter.lua is a specific instance of the lua plugin.""
    },
    {
      ""child"": ""cli_filter.major"",
      ""parent"": ""plugin_type"",
      ""reason"": ""cli_filter.major is a specific type of plugin_type.""
    },
    {
      ""child"": ""cli_filter.minor"",
      ""parent"": ""plugin_type"",
      ""reason"": ""cli_filter.minor is a specific type of plugin_type.""
    },
    {
      ""child"": ""default script directory"",
      ""parent"": ""script directory"",
      ""reason"": ""default script directory is a specific instance of script directory.""
    }
  ]
}"
9,cli_filter.minor,plugin_type,cli_filter.minor,plugin_type,doc_05be,doc_05be_chunk_0002,cli_filter.minor is a specific type of plugin_type.,"{
  ""is_a_edges"": [
    {
      ""child"": ""cli_filter plugins"",
      ""parent"": ""Slurm plugins"",
      ""reason"": ""cli_filter plugins are explicitly mentioned as a type of Slurm plugins.""
    },
    {
      ""child"": ""cli_filter.lua"",
      ""parent"": ""lua plugin"",
      ""reason"": ""cli_filter.lua is a specific instance of the lua plugin.""
    },
    {
      ""child"": ""cli_filter.major"",
      ""parent"": ""plugin_type"",
      ""reason"": ""cli_filter.major is a specific type of plugin_type.""
    },
    {
      ""child"": ""cli_filter.minor"",
      ""parent"": ""plugin_type"",
      ""reason"": ""cli_filter.minor is a specific type of plugin_type.""
    },
    {
      ""child"": ""default script directory"",
      ""parent"": ""script directory"",
      ""reason"": ""default script directory is a specific instance of script directory.""
    }
  ]
}"
10,rootless,root,rootless,root,doc_0ac6,doc_0ac6_chunk_0004,"rootless is a specific form of root, referring to a containerized root.","{
  ""is_a_edges"": [
    {
      ""child"": ""runc --rootless=true"",
      ""parent"": ""runc"",
      ""reason"": ""runc --rootless=true is a specific command-line invocation of runc.""
    },
    {
      ""child"": ""crun --rootless=true"",
      ""parent"": ""crun"",
      ""reason"": ""crun --rootless=true is a specific command-line invocation of crun.""
    },
    {
      ""child"": ""nvidia-container-runtime --rootless=true"",
      ""parent"": ""nvidia-container-runtime"",
      ""reason"": ""nvidia-container-runtime --rootless=true is a specific command-line invocation of nvidia-container-runtime.""
    },
    {
      ""child"": ""rootless"",
      ""parent"": ""root"",
      ""reason"": ""rootless is a specific form of root, referring to a containerized root.""
    }
  ]
}"
11,slurmrestd group,group,slurmrestd group,group,doc_0e42,doc_0e42_chunk_0002,slurmrestd group is created for running the slurmrestd daemon.,"{
  ""is_a_edges"": [
    {
      ""child"": ""slurmrestd group"",
      ""parent"": ""group"",
      ""reason"": ""slurmrestd group is created for running the slurmrestd daemon.""
    },
    {
      ""child"": ""slurmrestd user"",
      ""parent"": ""user"",
      ""reason"": ""slurmrestd user is created for running the slurmrestd daemon.""
    },
    {
      ""child"": ""slurmrestd daemon"",
      ""parent"": ""daemon"",
      ""reason"": ""slurmrestd daemon is explicitly mentioned as a specific daemon component.""
    },
    {
      ""child"": ""slurmrestd_listen"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""slurmrestd_listen is a specific configuration option for slurmrestd.""
    },
    {
      ""child"": ""socket"",
      ""parent"": ""resource"",
      ""reason"": ""socket is a resource that is configured for slurmrestd.""
    }
  ]
}"
12,slurmrestd user,user,slurmrestd user,user,doc_0e42,doc_0e42_chunk_0002,slurmrestd user is created for running the slurmrestd daemon.,"{
  ""is_a_edges"": [
    {
      ""child"": ""slurmrestd group"",
      ""parent"": ""group"",
      ""reason"": ""slurmrestd group is created for running the slurmrestd daemon.""
    },
    {
      ""child"": ""slurmrestd user"",
      ""parent"": ""user"",
      ""reason"": ""slurmrestd user is created for running the slurmrestd daemon.""
    },
    {
      ""child"": ""slurmrestd daemon"",
      ""parent"": ""daemon"",
      ""reason"": ""slurmrestd daemon is explicitly mentioned as a specific daemon component.""
    },
    {
      ""child"": ""slurmrestd_listen"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""slurmrestd_listen is a specific configuration option for slurmrestd.""
    },
    {
      ""child"": ""socket"",
      ""parent"": ""resource"",
      ""reason"": ""socket is a resource that is configured for slurmrestd.""
    }
  ]
}"
13,active bitmap,job queue,active bitmap,job queue,doc_1988,doc_1988_chunk_0004,"The active bitmap is maintained within the gang scheduler logic, which is a part of the job queue.","{
  ""is_a_edges"": [
    {
      ""child"": ""active bitmap"",
      ""parent"": ""job queue"",
      ""reason"": ""The active bitmap is maintained within the gang scheduler logic, which is a part of the job queue.""
    },
    {
      ""child"": ""timeslicer thread"",
      ""parent"": ""daemon"",
      ""reason"": ""The timeslicer thread is spawned by the gang scheduler on startup, which is a daemon.""
    }
  ]
}"
14,squeue --start,squeue,squeue --start,squeue,doc_2770,doc_2770_chunk_0003,squeue --start is a specific command of squeue.,"{
  ""is_a_edges"": [
    {
      ""child"": ""squeue --start"",
      ""parent"": ""squeue"",
      ""reason"": ""squeue --start is a specific command of squeue.""
    },
    {
      ""child"": ""job-partition pairs"",
      ""parent"": ""job"",
      ""reason"": ""job-partition pairs are a specific type of job configuration.""
    },
    {
      ""child"": ""MaxTime"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""MaxTime is a specific job configuration parameter.""
    }
  ]
}"
15,default value,time,default value,time,doc_2770,doc_2770_chunk_0007,"The default value is a specific instance of time, as it represents a duration.","{
  ""is_a_edges"": [
    {
      ""child"": ""default value"",
      ""parent"": ""time"",
      ""reason"": ""The default value is a specific instance of time, as it represents a duration.""
    }
  ]
}"
16,job qos,qos,job qos,qos,doc_289e,doc_289e_chunk_0002,"Job qos is a specific type of qos, as it is associated with jobs and has preemption characteristics.","{
  ""is_a_edges"": [
    {
      ""child"": ""job qos"",
      ""parent"": ""qos"",
      ""reason"": ""Job qos is a specific type of qos, as it is associated with jobs and has preemption characteristics.""
    },
    {
      ""child"": ""partition qos"",
      ""parent"": ""qos"",
      ""reason"": ""Partition qos is a specific type of qos, as it can be attached to partitions and have limits.""
    },
    {
      ""child"": ""floating partition"",
      ""parent"": ""partition"",
      ""reason"": ""Floating partition is a specific type of partition, as it can access a limited amount of resources with no restrictions on which nodes it uses.""
    },
    {
      ""child"": ""overpartqos"",
      ""parent"": ""qos option"",
      ""reason"": ""Overpartqos is a specific qos option, as it reverses the order of precedence for partition qos and job qos.""
    }
  ]
}"
17,partition qos,qos,partition qos,qos,doc_289e,doc_289e_chunk_0002,"Partition qos is a specific type of qos, as it can be attached to partitions and have limits.","{
  ""is_a_edges"": [
    {
      ""child"": ""job qos"",
      ""parent"": ""qos"",
      ""reason"": ""Job qos is a specific type of qos, as it is associated with jobs and has preemption characteristics.""
    },
    {
      ""child"": ""partition qos"",
      ""parent"": ""qos"",
      ""reason"": ""Partition qos is a specific type of qos, as it can be attached to partitions and have limits.""
    },
    {
      ""child"": ""floating partition"",
      ""parent"": ""partition"",
      ""reason"": ""Floating partition is a specific type of partition, as it can access a limited amount of resources with no restrictions on which nodes it uses.""
    },
    {
      ""child"": ""overpartqos"",
      ""parent"": ""qos option"",
      ""reason"": ""Overpartqos is a specific qos option, as it reverses the order of precedence for partition qos and job qos.""
    }
  ]
}"
18,relative resource limits,resource limits,relative resource limits,resource limits,doc_289e,doc_289e_chunk_0003,"Relative resource limits are a specific type of resource limits, as they are defined as percentages of the total resources available.","{
  ""is_a_edges"": [
    {
      ""child"": ""relative resource limits"",
      ""parent"": ""resource limits"",
      ""reason"": ""Relative resource limits are a specific type of resource limits, as they are defined as percentages of the total resources available.""
    },
    {
      ""child"": ""partition QOS"",
      ""parent"": ""QOS"",
      ""reason"": ""Partition QOS is a specific type of QOS, as it is configured for a partition and uses GrpTRES to set resource limits.""
    },
    {
      ""child"": ""reconfiguration"",
      ""parent"": ""restart"",
      ""reason"": ""Reconfiguration is a specific type of restart, as it refers to modifying the configuration of a system, not just restarting it.""
    }
  ]
}"
19,reconfiguration,restart,reconfiguration,restart,doc_289e,doc_289e_chunk_0003,"Reconfiguration is a specific type of restart, as it refers to modifying the configuration of a system, not just restarting it.","{
  ""is_a_edges"": [
    {
      ""child"": ""relative resource limits"",
      ""parent"": ""resource limits"",
      ""reason"": ""Relative resource limits are a specific type of resource limits, as they are defined as percentages of the total resources available.""
    },
    {
      ""child"": ""partition QOS"",
      ""parent"": ""QOS"",
      ""reason"": ""Partition QOS is a specific type of QOS, as it is configured for a partition and uses GrpTRES to set resource limits.""
    },
    {
      ""child"": ""reconfiguration"",
      ""parent"": ""restart"",
      ""reason"": ""Reconfiguration is a specific type of restart, as it refers to modifying the configuration of a system, not just restarting it.""
    }
  ]
}"
20,command,git,command,git,doc_2ec1,doc_2ec1_chunk_0003,A command can be a part of a git operation.,"{
  ""is_a_edges"": [
    {
      ""child"": ""command"",
      ""parent"": ""git"",
      ""reason"": ""A command can be a part of a git operation.""
    }
  ]
}"
21,granted job allocation,job allocation,granted job allocation,job allocation,doc_3740,doc_3740_chunk_0002,Granted job allocation is a specific instance of job allocation.,"{
  ""is_a_edges"": [
    {
      ""child"": ""granted job allocation"",
      ""parent"": ""job allocation"",
      ""reason"": ""Granted job allocation is a specific instance of job allocation.""
    },
    {
      ""child"": ""specialized cores"",
      ""parent"": ""cores"",
      ""reason"": ""Specialized cores are a specific type of cores.""
    },
    {
      ""child"": ""cpus_allowed"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""cpus_allowed is a specific configuration parameter.""
    },
    {
      ""child"": ""cpus_allowed_list"",
      ""parent"": ""cpus_allowed"",
      ""reason"": ""cpus_allowed_list is a specific form of cpus_allowed.""
    },
    {
      ""child"": ""srun"",
      ""parent"": ""job"",
      ""reason"": ""srun is a specific job type.""
    }
  ]
}"
22,cpus_allowed_list,cpus_allowed,cpus_allowed_list,cpus_allowed,doc_3740,doc_3740_chunk_0002,cpus_allowed_list is a specific form of cpus_allowed.,"{
  ""is_a_edges"": [
    {
      ""child"": ""granted job allocation"",
      ""parent"": ""job allocation"",
      ""reason"": ""Granted job allocation is a specific instance of job allocation.""
    },
    {
      ""child"": ""specialized cores"",
      ""parent"": ""cores"",
      ""reason"": ""Specialized cores are a specific type of cores.""
    },
    {
      ""child"": ""cpus_allowed"",
      ""parent"": ""configuration parameter"",
      ""reason"": ""cpus_allowed is a specific configuration parameter.""
    },
    {
      ""child"": ""cpus_allowed_list"",
      ""parent"": ""cpus_allowed"",
      ""reason"": ""cpus_allowed_list is a specific form of cpus_allowed.""
    },
    {
      ""child"": ""srun"",
      ""parent"": ""job"",
      ""reason"": ""srun is a specific job type.""
    }
  ]
}"
