edge_id,doc_id,chunk_id,child_term,parent_term,justification
1,doc_0605,doc_0605_chunk_0001,Job Completion Plugins,plugins,"Job Completion Plugins are described as an orthogonal way to provide historical job accounting data, indicating they are a type of plugin."
2,doc_0605,doc_0605_chunk_0001,JobCompType=jobcomp/elasticsearch,JobCompType,"The JobCompType option is specifically set to jobcomp/elasticsearch, indicating that jobcomp/elasticsearch is a specific type of JobCompType."
3,doc_0605,doc_0605_chunk_0001,Elasticsearch instance,instance,"An Elasticsearch instance is mentioned as something that should be running and reachable, implying it is a specific type of instance."
4,doc_16b3,doc_16b3_chunk_0003,job step,job,"The text mentions that the GRES information of a job step is similar to that of a job, implying that a job step is a specific type of job."
5,doc_1988,doc_1988_chunk_0003,GANG option,option,The text mentions that GANG is an option that can be specified in slurm.conf to enable job preemption.
6,doc_1988,doc_1988_chunk_0004,OverSubscribe=FORCE:2,oversubscribe,"The text describes OverSubscribe=FORCE:2 as a way to limit job timeslicing on the same resources, which is a specific form of oversubscription."
7,doc_1988,doc_1988_chunk_0004,partition job queue,job queue,The text describes the partition job queue as a specific type of job queue within the gang scheduler logic.
8,doc_2770,doc_2770_chunk_0003,backfill scheduler,scheduler,The text describes the backfill scheduler as a specific type of scheduler that considers various factors for job scheduling.
9,doc_2770,doc_2770_chunk_0003,pending job,job,"Pending jobs are described as jobs considered by the backfill scheduler, indicating that every pending job is a type of job."
10,doc_2770,doc_2770_chunk_0003,job-partition pairs,job,"Job-partition pairs are described as entries in the list built by the scheduling logic, indicating that every job-partition pair is a type of job."
11,doc_289e,doc_289e_chunk_0001,Partition QOS,QOS,The text states that Partition QOS is a specific type of QOS defined in the Slurm database.
12,doc_289e,doc_289e_chunk_0002,Partition QOS,QOS,The text states that a Partition QOS is a specific type of QOS that can be attached to a partition.
13,doc_289e,doc_289e_chunk_0002,job QOS,QOS,The text describes job QOS as another type of QOS that can be assigned to jobs.
14,doc_289e,doc_289e_chunk_0003,Partition QOS,QOS,The text explicitly states that Partition QOS is a specific type of QOS.
15,doc_289e,doc_289e_chunk_0004,relative QOS,QOS,"The text describes relative QOS as a specific type of QOS with unique conditions, making it a subtype of QOS."
16,doc_289e,doc_289e_chunk_0004,partition QOS,QOS,"The text explicitly states that partition QOS is a type of QOS, specifically mentioning it can be assigned to partitions."
17,doc_289e,doc_289e_chunk_0006,QOS limits,limits,The text describes QOS limits as a specific type of limits that can be set as percentages.
18,doc_289e,doc_289e_chunk_0006,Partition QOS,QOS,The text explicitly states that Partition QOS is a specific type of QOS.
