edge_id,doc_id,chunk_id,subj_term,rel_text,obj_term,justification
1,doc_0117,doc_0117_chunk_0002,slurm.conf,configures,PriorityFlags,The text mentions that the slurm.conf parameters are used to enable the depth-oblivious flavor of the fair-share factor.
2,doc_0117,doc_0117_chunk_0002,slurm.conf,configures,PriorityType,The text specifies that the PriorityType value needs to be set to 'priority/multifactor'.
3,doc_05b9,doc_05b9_chunk_0027,federation_siblings_viable,is_a_type_of,String,The text mentions 'federation_siblings_viable' as a String type.
4,doc_05b9,doc_05b9_chunk_0027,Viable sibling job names,is_a_type_of,String,The text mentions 'Viable sibling job names' as a String type.
5,doc_05b9,doc_05b9_chunk_0031,schedule_cycle_depth,mean_of,schedule_cycle_mean_depth,"schedule_cycle_depth is defined as the mean time in microseconds of backfilling scheduling cycles since last reset, and schedule_cycle_mean_depth is the mean of the number of jobs processed in a scheduling cycle."
6,doc_05b9,doc_05b9_chunk_0031,bf_depth_mean,mean_of,bf_depth_mean_try,"bf_depth_mean is defined as the mean number of eligible to run jobs processed during all backfilling scheduling cycles since last reset, and bf_depth_mean_try is the subset of Depth Mean that the backfill scheduler attempted to schedule."
7,doc_05b9,doc_05b9_chunk_0035,Integer PriorityTier,controls_order_of_evaluation,scheduler,The text mentions that Integer PriorityTier controls the order in which the scheduler evaluates jobs from different partitions.
8,doc_05b9,doc_05b9_chunk_0035,DenyQOS,applies_to,jobs_in_partition,The text describes DenyQOS as a comma-separated list of Qos which may not execute jobs in the partition.
9,doc_05b9,doc_05b9_chunk_0035,assigned,applies_to,QOS,The text mentions that assigned is an optional field for QOS which will apply to all jobs in this partition.
10,doc_0ac6,doc_0ac6_chunk_0006,RunTimeCreate,excludes_env_vars,^(SLURM_CONF|SLURM_CONF_SERVER),The RunTimeCreate line in the oci.conf example excludes environment variables matching SLURM_CONF and SLURM_CONF_SERVER.
11,doc_0ac6,doc_0ac6_chunk_0006,RunTimeDelete,excludes_env_vars,^(SLURM_CONF|SLURM_CONF_SERVER),The RunTimeDelete line in the oci.conf example also excludes environment variables matching SLURM_CONF and SLURM_CONF_SERVER.
12,doc_0ac6,doc_0ac6_chunk_0006,RunTimeEnvExclude,excludes_env_vars,^(SLURM_CONF|SLURM_CONF_SERVER),The RunTimeEnvExclude line in the oci.conf example excludes environment variables matching SLURM_CONF and SLURM_CONF_SERVER.
13,doc_0ac6,doc_0ac6_chunk_0013,podman,requires_configuration,containers.conf,The setup procedure involves configuring Podman using containers.conf file.
14,doc_0ac6,doc_0ac6_chunk_0013,rootless Podman,configured_by,containers.conf,The configuration locations and loading order for containers.conf are provided for setting up rootless Podman.
15,doc_0ac6,doc_0ac6_chunk_0013,scrun,called_by,Podman,Podman is configured to call scrun instead of the default OCI runtime.
16,doc_0ac6,doc_0ac6_chunk_0013,containers.conf,contains_configuration_for,Podman,"Containers.conf file contains settings for Podman including cgroupns, cgroups, etc."
17,doc_0e42,doc_0e42_chunk_0001,Slurm,provides_api_through,slurmrestd daemon,The text states that Slurm provides a REST API through the slurmrestd daemon.
18,doc_0e42,doc_0e42_chunk_0001,slurmrestd daemon,uses_authn_mechanism,JSON Web Tokens,The text mentions that slurmrestd uses JSON Web Tokens for authentication.
19,doc_0e42,doc_0e42_chunk_0006,other slurm commands,attempt_to_use,JWT authentication,The text mentions that other slurm commands will attempt to use JWT authentication if SLURM_JWT is set.
20,doc_0e42,doc_0e42_chunk_0006,unset,fixes,SLURM_JWT,The text suggests fixing the issue by clearing the SLURM_JWT variable using the unset command.
21,doc_1988,doc_1988_chunk_0006,sbatch,submits_jobs_to,allocation,"The text mentions that sbatch is used to submit jobs, and these jobs are submitted to an allocation that can be suspended."
22,doc_1988,doc_1988_chunk_0006,gang_scheduler,suspends_allocation,allocation,"The text states that the gang scheduler suspends the allocation, causing srun to retry launching the job step."
23,doc_1988,doc_1988_chunk_0006,timeslicer_algorithm,keeps_resources_busy,jobs,"The text explains that the timeslicer algorithm keeps the resources busy by timeslicing jobs, such as jobs 9 and 11."
24,doc_2329,doc_2329_chunk_0004,libraries,installed_under,/usr/lib64,The text mentions that libraries might end up being installed under standard locations like /usr/lib64.
