edge_id,head_lemma,relation_label,tail_lemma,head_term,tail_term,relation_type,doc_id,chunk_id,confidence,evidence_json,raw_json
1,api call,reports_on,v0.0.43_openapi_assocs_removed_resp,API call,v0.0.43_openapi_assocs_removed_resp,api_relation,doc_05b9,doc_05b9_chunk_0007,0.9,"{""head_lemma"": ""api call"", ""tail_lemma"": ""v0.0.43_openapi_assocs_removed_resp"", ""relation"": ""reports_on"", ""relation_type"": ""api_relation"", ""reason"": ""The API call produces the 'removed_associations' data, which corresponds to the 'v0.0.43_openapi_assocs_removed_resp' response."", ""confidence"": 0.9, ""raw_item"": {""head"": ""api call"", ""tail"": ""v0.0.43_openapi_assocs_removed_resp"", ""relation"": ""reports_on"", ""relation_type"": ""api_relation"", ""confidence"": 0.9, ""reason"": ""The API call produces the 'removed_associations' data, which corresponds to the 'v0.0.43_openapi_assocs_removed_resp' response.""}}","{
  ""relations"": [
    {
      ""head"": ""api call"",
      ""tail"": ""v0.0.43_openapi_assocs_removed_resp"",
      ""relation"": ""reports_on"",
      ""relation_type"": ""api_relation"",
      ""confidence"": 0.9,
      ""reason"": ""The API call produces the 'removed_associations' data, which corresponds to the 'v0.0.43_openapi_assocs_removed_resp' response.""
    }
  ]
}"
2,slurmdbv0043getassociation,queries,v0.0.43_openapi_accounts_resp,slurmdbV0043GetAssociation,v0.0.43_openapi_accounts_resp,api_relation,doc_05b9,doc_05b9_chunk_0009,0.9,"{""head_lemma"": ""slurmdbv0043getassociation"", ""tail_lemma"": ""v0.0.43_openapi_accounts_resp"", ""relation"": ""queries"", ""relation_type"": ""api_relation"", ""reason"": ""slurmdbV0043GetAssociation queries the v0.0.43_openapi_accounts_resp configuration file."", ""confidence"": 0.9, ""raw_item"": {""head"": ""slurmdbv0043getassociation"", ""tail"": ""v0.0.43_openapi_accounts_resp"", ""relation"": ""queries"", ""relation_type"": ""api_relation"", ""confidence"": 0.9, ""reason"": ""slurmdbV0043GetAssociation queries the v0.0.43_openapi_accounts_resp configuration file.""}}","{
  ""relations"": [
    {
      ""head"": ""slurmdbv0043getassociation"",
      ""tail"": ""v0.0.43_openapi_accounts_resp"",
      ""relation"": ""queries"",
      ""relation_type"": ""api_relation"",
      ""confidence"": 0.9,
      ""reason"": ""slurmdbV0043GetAssociation queries the v0.0.43_openapi_accounts_resp configuration file.""
    }
  ]
}"
3,slurmdb,reports_on,v0.0.43_openapi_assocs_resp,slurmdb,v0.0.43_openapi_assocs_resp,api_relation,doc_05b9,doc_05b9_chunk_0010,0.9,"{""head_lemma"": ""slurmdb"", ""tail_lemma"": ""v0.0.43_openapi_assocs_resp"", ""relation"": ""reports_on"", ""relation_type"": ""api_relation"", ""reason"": ""slurmdb provides the data for the v0.0.43_openapi_assocs_resp API call."", ""confidence"": 0.9, ""raw_item"": {""head"": ""slurmdb"", ""tail"": ""v0.0.43_openapi_assocs_resp"", ""relation"": ""reports_on"", ""relation_type"": ""api_relation"", ""confidence"": 0.9, ""reason"": ""slurmdb provides the data for the v0.0.43_openapi_assocs_resp API call.""}}","{
  ""relations"": [
    {
      ""head"": ""slurmdb"",
      ""tail"": ""v0.0.43_openapi_assocs_resp"",
      ""relation"": ""reports_on"",
      ""relation_type"": ""api_relation"",
      ""confidence"": 0.9,
      ""reason"": ""slurmdb provides the data for the v0.0.43_openapi_assocs_resp API call.""
    }
  ]
}"
4,slurmdbv0043getjobs,reads_config,slurmdb,slurmdbV0043GetJobs,slurmdb,file_usage,doc_05b9,doc_05b9_chunk_0014,0.9,"{""head_lemma"": ""slurmdbv0043getjobs"", ""tail_lemma"": ""slurmdb"", ""relation"": ""reads_config"", ""relation_type"": ""file_usage"", ""reason"": ""slurmdbV0043GetJobs reads its configuration from the slurmdb file."", ""confidence"": 0.9, ""raw_item"": {""head"": ""slurmdbV0043GetJobs"", ""tail"": ""slurmdb"", ""relation"": ""reads_config"", ""relation_type"": ""file_usage"", ""confidence"": 0.9, ""reason"": ""slurmdbV0043GetJobs reads its configuration from the slurmdb file.""}}","{
  ""relations"": [
    {
      ""head"": ""slurmdbV0043GetJobs"",
      ""tail"": ""slurmdb"",
      ""relation"": ""reads_config"",
      ""relation_type"": ""file_usage"",
      ""confidence"": 0.9,
      ""reason"": ""slurmdbV0043GetJobs reads its configuration from the slurmdb file.""
    }
  ]
}"
5,openapi,uses_config,slurmdb,openapi,slurmdb,file_usage,doc_05b9,doc_05b9_chunk_0017,0.9,"{""head_lemma"": ""openapi"", ""tail_lemma"": ""slurmdb"", ""relation"": ""uses_config"", ""relation_type"": ""file_usage"", ""reason"": ""The OpenAPI documentation references slurmdb, indicating it is used as a configuration file."", ""confidence"": 0.9, ""raw_item"": {""head"": ""openapi"", ""tail"": ""slurmdb"", ""relation"": ""uses_config"", ""relation_type"": ""file_usage"", ""confidence"": 0.9, ""reason"": ""The OpenAPI documentation references slurmdb, indicating it is used as a configuration file.""}}","{
  ""relations"": [
    {
      ""head"": ""openapi"",
      ""tail"": ""slurmdb"",
      ""relation"": ""uses_config"",
      ""relation_type"": ""file_usage"",
      ""confidence"": 0.9,
      ""reason"": ""The OpenAPI documentation references slurmdb, indicating it is used as a configuration file.""
    }
  ]
}"
6,signal responses,reports_on,kill_jobs_resp,signal responses,kill_jobs_resp,state_transition,doc_05b9,doc_05b9_chunk_0029,0.9,"{""head_lemma"": ""signal responses"", ""tail_lemma"": ""kill_jobs_resp"", ""relation"": ""reports_on"", ""relation_type"": ""state_transition"", ""reason"": ""The signal responses are part of the response structure for the kill_jobs_resp API call."", ""confidence"": 0.9, ""raw_item"": {""head"": ""signal responses"", ""tail"": ""kill_jobs_resp"", ""relation"": ""reports_on"", ""relation_type"": ""state_transition"", ""confidence"": 0.9, ""reason"": ""The signal responses are part of the response structure for the kill_jobs_resp API call.""}}","{
  ""relations"": [
    {
      ""head"": ""signal responses"",
      ""tail"": ""kill_jobs_resp"",
      ""relation"": ""reports_on"",
      ""relation_type"": ""state_transition"",
      ""confidence"": 0.9,
      ""reason"": ""The signal responses are part of the response structure for the kill_jobs_resp API call.""
    }
  ]
}"
7,salloc,sets_default_partition,interactive,salloc,interactive,command_resource,doc_05be,doc_05be_chunk_0005,0.9,"{""head_lemma"": ""salloc"", ""tail_lemma"": ""interactive"", ""relation"": ""sets_default_partition"", ""relation_type"": ""command_resource"", ""reason"": ""salloc sets the default partition to 'interactive' for cluster1."", ""confidence"": 0.9, ""raw_item"": {""head"": ""salloc"", ""tail"": ""interactive"", ""relation"": ""sets_default_partition"", ""relation_type"": ""command_resource"", ""confidence"": 0.9, ""reason"": ""salloc sets the default partition to 'interactive' for cluster1.""}}","{
  ""relations"": [
    {
      ""head"": ""salloc"",
      ""tail"": ""interactive"",
      ""relation"": ""sets_default_partition"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""salloc sets the default partition to 'interactive' for cluster1.""
    },
    {
      ""head"": ""sbatch"",
      ""tail"": ""high"",
      ""relation"": ""sets_default_partition"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""sbatch sets the default partition to 'high' for any cluster.""
    },
    {
      ""head"": ""srun"",
      ""tail"": ""short"",
      ""relation"": ""sets_default_partition"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""srun sets the default partition to 'short' for any cluster.""
    }
  ]
}"
8,sbatch,sets_default_partition,high,sbatch,high,command_resource,doc_05be,doc_05be_chunk_0005,0.9,"{""head_lemma"": ""sbatch"", ""tail_lemma"": ""high"", ""relation"": ""sets_default_partition"", ""relation_type"": ""command_resource"", ""reason"": ""sbatch sets the default partition to 'high' for any cluster."", ""confidence"": 0.9, ""raw_item"": {""head"": ""sbatch"", ""tail"": ""high"", ""relation"": ""sets_default_partition"", ""relation_type"": ""command_resource"", ""confidence"": 0.9, ""reason"": ""sbatch sets the default partition to 'high' for any cluster.""}}","{
  ""relations"": [
    {
      ""head"": ""salloc"",
      ""tail"": ""interactive"",
      ""relation"": ""sets_default_partition"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""salloc sets the default partition to 'interactive' for cluster1.""
    },
    {
      ""head"": ""sbatch"",
      ""tail"": ""high"",
      ""relation"": ""sets_default_partition"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""sbatch sets the default partition to 'high' for any cluster.""
    },
    {
      ""head"": ""srun"",
      ""tail"": ""short"",
      ""relation"": ""sets_default_partition"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""srun sets the default partition to 'short' for any cluster.""
    }
  ]
}"
9,srun,sets_default_partition,short,srun,short,command_resource,doc_05be,doc_05be_chunk_0005,0.9,"{""head_lemma"": ""srun"", ""tail_lemma"": ""short"", ""relation"": ""sets_default_partition"", ""relation_type"": ""command_resource"", ""reason"": ""srun sets the default partition to 'short' for any cluster."", ""confidence"": 0.9, ""raw_item"": {""head"": ""srun"", ""tail"": ""short"", ""relation"": ""sets_default_partition"", ""relation_type"": ""command_resource"", ""confidence"": 0.9, ""reason"": ""srun sets the default partition to 'short' for any cluster.""}}","{
  ""relations"": [
    {
      ""head"": ""salloc"",
      ""tail"": ""interactive"",
      ""relation"": ""sets_default_partition"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""salloc sets the default partition to 'interactive' for cluster1.""
    },
    {
      ""head"": ""sbatch"",
      ""tail"": ""high"",
      ""relation"": ""sets_default_partition"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""sbatch sets the default partition to 'high' for any cluster.""
    },
    {
      ""head"": ""srun"",
      ""tail"": ""short"",
      ""relation"": ""sets_default_partition"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""srun sets the default partition to 'short' for any cluster.""
    }
  ]
}"
10,oci.conf,excludes_config_param,slurm_conf,oci.conf,SLURM_CONF,config_dependency,doc_0ac6,doc_0ac6_chunk_0006,0.9,"{""head_lemma"": ""oci.conf"", ""tail_lemma"": ""slurm_conf"", ""relation"": ""excludes_config_param"", ""relation_type"": ""config_dependency"", ""reason"": ""The EnvExclude directive in oci.conf excludes SLURM_CONF and SLURM_CONF_SERVER from the environment."", ""confidence"": 0.9, ""raw_item"": {""head"": ""oci.conf"", ""tail"": ""slurm_conf"", ""relation"": ""excludes_config_param"", ""relation_type"": ""config_dependency"", ""confidence"": 0.9, ""reason"": ""The EnvExclude directive in oci.conf excludes SLURM_CONF and SLURM_CONF_SERVER from the environment.""}}","{
  ""relations"": [
    {
      ""head"": ""oci.conf"",
      ""tail"": ""slurm_conf"",
      ""relation"": ""excludes_config_param"",
      ""relation_type"": ""config_dependency"",
      ""confidence"": 0.9,
      ""reason"": ""The EnvExclude directive in oci.conf excludes SLURM_CONF and SLURM_CONF_SERVER from the environment.""
    },
    {
      ""head"": ""oci.conf"",
      ""tail"": ""slurm_conf_server"",
      ""relation"": ""excludes_config_param"",
      ""relation_type"": ""config_dependency"",
      ""confidence"": 0.9,
      ""reason"": ""The RunTimeEnvExclude directive in oci.conf excludes SLURM_CONF and SLURM_CONF_SERVER from the environment.""
    }
  ]
}"
11,oci.conf,excludes_config_param,slurm_conf_server,oci.conf,SLURM_CONF_SERVER,config_dependency,doc_0ac6,doc_0ac6_chunk_0006,0.9,"{""head_lemma"": ""oci.conf"", ""tail_lemma"": ""slurm_conf_server"", ""relation"": ""excludes_config_param"", ""relation_type"": ""config_dependency"", ""reason"": ""The RunTimeEnvExclude directive in oci.conf excludes SLURM_CONF and SLURM_CONF_SERVER from the environment."", ""confidence"": 0.9, ""raw_item"": {""head"": ""oci.conf"", ""tail"": ""slurm_conf_server"", ""relation"": ""excludes_config_param"", ""relation_type"": ""config_dependency"", ""confidence"": 0.9, ""reason"": ""The RunTimeEnvExclude directive in oci.conf excludes SLURM_CONF and SLURM_CONF_SERVER from the environment.""}}","{
  ""relations"": [
    {
      ""head"": ""oci.conf"",
      ""tail"": ""slurm_conf"",
      ""relation"": ""excludes_config_param"",
      ""relation_type"": ""config_dependency"",
      ""confidence"": 0.9,
      ""reason"": ""The EnvExclude directive in oci.conf excludes SLURM_CONF and SLURM_CONF_SERVER from the environment.""
    },
    {
      ""head"": ""oci.conf"",
      ""tail"": ""slurm_conf_server"",
      ""relation"": ""excludes_config_param"",
      ""relation_type"": ""config_dependency"",
      ""confidence"": 0.9,
      ""reason"": ""The RunTimeEnvExclude directive in oci.conf excludes SLURM_CONF and SLURM_CONF_SERVER from the environment.""
    }
  ]
}"
12,slurm,provides,rest api,Slurm,REST API,api_relation,doc_0e42,doc_0e42_chunk_0001,0.95,"{""head_lemma"": ""slurm"", ""tail_lemma"": ""rest api"", ""relation"": ""provides"", ""relation_type"": ""api_relation"", ""reason"": ""Slurm provides a REST API through the slurmrestd daemon."", ""confidence"": 0.95, ""raw_item"": {""head"": ""slurm"", ""tail"": ""rest api"", ""relation"": ""provides"", ""relation_type"": ""api_relation"", ""confidence"": 0.95, ""reason"": ""Slurm provides a REST API through the slurmrestd daemon.""}}","{
  ""relations"": [
    {
      ""head"": ""slurm"",
      ""tail"": ""rest api"",
      ""relation"": ""provides"",
      ""relation_type"": ""api_relation"",
      ""confidence"": 0.95,
      ""reason"": ""Slurm provides a REST API through the slurmrestd daemon.""
    }
  ]
}"
13,other slurm commands,depends_on,slurm_jwt,other slurm commands,SLURM_JWT,config_dependency,doc_0e42,doc_0e42_chunk_0006,0.9,"{""head_lemma"": ""other slurm commands"", ""tail_lemma"": ""slurm_jwt"", ""relation"": ""depends_on"", ""relation_type"": ""config_dependency"", ""reason"": ""Other SLURM commands attempt to use JWT authentication when SLURM_JWT is set, causing failures."", ""confidence"": 0.9, ""raw_item"": {""head"": ""other slurm commands"", ""tail"": ""slurm_jwt"", ""relation"": ""depends_on"", ""relation_type"": ""config_dependency"", ""confidence"": 0.9, ""reason"": ""Other SLURM commands attempt to use JWT authentication when SLURM_JWT is set, causing failures.""}}","{
  ""relations"": [
    {
      ""head"": ""other slurm commands"",
      ""tail"": ""slurm_jwt"",
      ""relation"": ""depends_on"",
      ""relation_type"": ""config_dependency"",
      ""confidence"": 0.9,
      ""reason"": ""Other SLURM commands attempt to use JWT authentication when SLURM_JWT is set, causing failures.""
    },
    {
      ""head"": ""unset"",
      ""tail"": ""SLURM_JWT"",
      ""relation"": ""clears"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""Clearing the SLURM_JWT variable fixes the issue with other SLURM commands.""
    }
  ]
}"
14,unset,clears,slurm_jwt,unset,SLURM_JWT,command_resource,doc_0e42,doc_0e42_chunk_0006,0.9,"{""head_lemma"": ""unset"", ""tail_lemma"": ""slurm_jwt"", ""relation"": ""clears"", ""relation_type"": ""command_resource"", ""reason"": ""Clearing the SLURM_JWT variable fixes the issue with other SLURM commands."", ""confidence"": 0.9, ""raw_item"": {""head"": ""unset"", ""tail"": ""SLURM_JWT"", ""relation"": ""clears"", ""relation_type"": ""command_resource"", ""confidence"": 0.9, ""reason"": ""Clearing the SLURM_JWT variable fixes the issue with other SLURM commands.""}}","{
  ""relations"": [
    {
      ""head"": ""other slurm commands"",
      ""tail"": ""slurm_jwt"",
      ""relation"": ""depends_on"",
      ""relation_type"": ""config_dependency"",
      ""confidence"": 0.9,
      ""reason"": ""Other SLURM commands attempt to use JWT authentication when SLURM_JWT is set, causing failures.""
    },
    {
      ""head"": ""unset"",
      ""tail"": ""SLURM_JWT"",
      ""relation"": ""clears"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""Clearing the SLURM_JWT variable fixes the issue with other SLURM commands.""
    }
  ]
}"
