edge_id,child_lemma,parent_lemma,child_term,parent_term,doc_id,chunk_id,confidence,evidence_json,raw_json
1,v0.0.43_openapi_accounts_resp,responses,v0.0.43_openapi_accounts_resp,responses,doc_05b9,doc_05b9_chunk_0009,0.9,"{""child_lemma"": ""v0.0.43_openapi_accounts_resp"", ""parent_lemma"": ""responses"", ""reason"": ""v0.0.43_openapi_accounts_resp is a specific type of responses related to account information."", ""confidence"": 0.9, ""raw_item"": {""child"": ""v0.0.43_openapi_accounts_resp"", ""parent"": ""responses"", ""confidence"": 0.9, ""reason"": ""v0.0.43_openapi_accounts_resp is a specific type of responses related to account information.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""v0.0.43_openapi_accounts_resp"",
      ""parent"": ""responses"",
      ""confidence"": 0.9,
      ""reason"": ""v0.0.43_openapi_accounts_resp is a specific type of responses related to account information.""
    }
  ]
}"
2,v0.0.43_openapi_assocs_resp,list of associations,v0.0.43_openapi_assocs_resp,List of associations,doc_05b9,doc_05b9_chunk_0010,0.9,"{""child_lemma"": ""v0.0.43_openapi_assocs_resp"", ""parent_lemma"": ""list of associations"", ""reason"": ""v0.0.43_openapi_assocs_resp is the response format for the List of associations API call."", ""confidence"": 0.9, ""raw_item"": {""child"": ""v0.0.43_openapi_assocs_resp"", ""parent"": ""list of associations"", ""confidence"": 0.9, ""reason"": ""v0.0.43_openapi_assocs_resp is the response format for the List of associations API call.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""v0.0.43_openapi_assocs_resp"",
      ""parent"": ""list of associations"",
      ""confidence"": 0.9,
      ""reason"": ""v0.0.43_openapi_assocs_resp is the response format for the List of associations API call.""
    }
  ]
}"
3,v0_0_43_rollup_stats_monthly_duration,duration,v0_0_43_rollup_stats_monthly_duration,duration,doc_05b9,doc_05b9_chunk_0036,0.9,"{""child_lemma"": ""v0_0_43_rollup_stats_monthly_duration"", ""parent_lemma"": ""duration"", ""reason"": ""v0_0_43_rollup_stats_monthly_duration is a specific configuration parameter for the duration in Slurm."", ""confidence"": 0.9, ""raw_item"": {""child"": ""v0_0_43_rollup_stats_monthly_duration"", ""parent"": ""duration"", ""confidence"": 0.9, ""reason"": ""v0_0_43_rollup_stats_monthly_duration is a specific configuration parameter for the duration in Slurm.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""v0_0_43_rollup_stats_monthly_duration"",
      ""parent"": ""duration"",
      ""confidence"": 0.9,
      ""reason"": ""v0_0_43_rollup_stats_monthly_duration is a specific configuration parameter for the duration in Slurm.""
    },
    {
      ""child"": ""v0_0_43_step_tasks"",
      ""parent"": ""count"",
      ""confidence"": 0.9,
      ""reason"": ""v0_0_43_step_tasks is a specific resource representing the total number of tasks in Slurm.""
    },
    {
      ""child"": ""v0_0_43_step_time"",
      ""parent"": ""elapsed"",
      ""confidence"": 0.9,
      ""reason"": ""v0_0_43_step_time is a specific log or state path representing the elapsed time in seconds in Slurm.""
    }
  ]
}"
4,v0_0_43_step_tasks,count,v0_0_43_step_tasks,count,doc_05b9,doc_05b9_chunk_0036,0.9,"{""child_lemma"": ""v0_0_43_step_tasks"", ""parent_lemma"": ""count"", ""reason"": ""v0_0_43_step_tasks is a specific resource representing the total number of tasks in Slurm."", ""confidence"": 0.9, ""raw_item"": {""child"": ""v0_0_43_step_tasks"", ""parent"": ""count"", ""confidence"": 0.9, ""reason"": ""v0_0_43_step_tasks is a specific resource representing the total number of tasks in Slurm.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""v0_0_43_rollup_stats_monthly_duration"",
      ""parent"": ""duration"",
      ""confidence"": 0.9,
      ""reason"": ""v0_0_43_rollup_stats_monthly_duration is a specific configuration parameter for the duration in Slurm.""
    },
    {
      ""child"": ""v0_0_43_step_tasks"",
      ""parent"": ""count"",
      ""confidence"": 0.9,
      ""reason"": ""v0_0_43_step_tasks is a specific resource representing the total number of tasks in Slurm.""
    },
    {
      ""child"": ""v0_0_43_step_time"",
      ""parent"": ""elapsed"",
      ""confidence"": 0.9,
      ""reason"": ""v0_0_43_step_time is a specific log or state path representing the elapsed time in seconds in Slurm.""
    }
  ]
}"
5,jobcomp/elasticsearch,job completion plugins,jobcomp/elasticsearch,Job Completion Plugins,doc_0605,doc_0605_chunk_0001,0.9,"{""child_lemma"": ""jobcomp/elasticsearch"", ""parent_lemma"": ""job completion plugins"", ""reason"": ""jobcomp/elasticsearch is a specific type of job completion plugin."", ""confidence"": 0.9, ""raw_item"": {""child"": ""jobcomp/elasticsearch"", ""parent"": ""job completion plugins"", ""confidence"": 0.9, ""reason"": ""jobcomp/elasticsearch is a specific type of job completion plugin.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""jobcomp/elasticsearch"",
      ""parent"": ""job completion plugins"",
      ""confidence"": 0.9,
      ""reason"": ""jobcomp/elasticsearch is a specific type of job completion plugin.""
    },
    {
      ""child"": ""slurmdbd"",
      ""parent"": ""accountingstoragetype"",
      ""confidence"": 0.9,
      ""reason"": ""slurmdbd is a specific AccountingStorageType plugin.""
    }
  ]
}"
6,slurmdbd,accountingstoragetype,slurmdbd,AccountingStorageType,doc_0605,doc_0605_chunk_0001,0.9,"{""child_lemma"": ""slurmdbd"", ""parent_lemma"": ""accountingstoragetype"", ""reason"": ""slurmdbd is a specific AccountingStorageType plugin."", ""confidence"": 0.9, ""raw_item"": {""child"": ""slurmdbd"", ""parent"": ""accountingstoragetype"", ""confidence"": 0.9, ""reason"": ""slurmdbd is a specific AccountingStorageType plugin.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""jobcomp/elasticsearch"",
      ""parent"": ""job completion plugins"",
      ""confidence"": 0.9,
      ""reason"": ""jobcomp/elasticsearch is a specific type of job completion plugin.""
    },
    {
      ""child"": ""slurmdbd"",
      ""parent"": ""accountingstoragetype"",
      ""confidence"": 0.9,
      ""reason"": ""slurmdbd is a specific AccountingStorageType plugin.""
    }
  ]
}"
7,slurm-users,slurm community,slurm-users,Slurm community,doc_2247,doc_2247_chunk_0001,0.9,"{""child_lemma"": ""slurm-users"", ""parent_lemma"": ""slurm community"", ""reason"": ""slurm-users is a specific group within the Slurm community."", ""confidence"": 0.9, ""raw_item"": {""child"": ""slurm-users"", ""parent"": ""slurm community"", ""confidence"": 0.9, ""reason"": ""slurm-users is a specific group within the Slurm community.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""slurm-users"",
      ""parent"": ""slurm community"",
      ""confidence"": 0.9,
      ""reason"": ""slurm-users is a specific group within the Slurm community.""
    }
  ]
}"
8,account manager,operator,account manager,Operator,doc_236f,doc_236f_chunk_0001,0.9,"{""child_lemma"": ""account manager"", ""parent_lemma"": ""operator"", ""reason"": ""An account manager is a specialized type of operator with additional privileges to manage accounts."", ""confidence"": 0.9, ""raw_item"": {""child"": ""account manager"", ""parent"": ""operator"", ""confidence"": 0.9, ""reason"": ""An account manager is a specialized type of operator with additional privileges to manage accounts.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""account manager"",
      ""parent"": ""operator"",
      ""confidence"": 0.9,
      ""reason"": ""An account manager is a specialized type of operator with additional privileges to manage accounts.""
    },
    {
      ""child"": ""admin"",
      ""parent"": ""operator"",
      ""confidence"": 0.9,
      ""reason"": ""An admin is a specialized type of operator with higher privileges.""
    },
    {
      ""child"": ""coordinator"",
      ""parent"": ""operator"",
      ""confidence"": 0.9,
      ""reason"": ""A coordinator is a specialized type of operator with privileges to manage users and sub-accounts within an account.""
    }
  ]
}"
9,admin,operator,Admin,Operator,doc_236f,doc_236f_chunk_0001,0.9,"{""child_lemma"": ""admin"", ""parent_lemma"": ""operator"", ""reason"": ""An admin is a specialized type of operator with higher privileges."", ""confidence"": 0.9, ""raw_item"": {""child"": ""admin"", ""parent"": ""operator"", ""confidence"": 0.9, ""reason"": ""An admin is a specialized type of operator with higher privileges.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""account manager"",
      ""parent"": ""operator"",
      ""confidence"": 0.9,
      ""reason"": ""An account manager is a specialized type of operator with additional privileges to manage accounts.""
    },
    {
      ""child"": ""admin"",
      ""parent"": ""operator"",
      ""confidence"": 0.9,
      ""reason"": ""An admin is a specialized type of operator with higher privileges.""
    },
    {
      ""child"": ""coordinator"",
      ""parent"": ""operator"",
      ""confidence"": 0.9,
      ""reason"": ""A coordinator is a specialized type of operator with privileges to manage users and sub-accounts within an account.""
    }
  ]
}"
10,coordinator,operator,Coordinator,Operator,doc_236f,doc_236f_chunk_0001,0.9,"{""child_lemma"": ""coordinator"", ""parent_lemma"": ""operator"", ""reason"": ""A coordinator is a specialized type of operator with privileges to manage users and sub-accounts within an account."", ""confidence"": 0.9, ""raw_item"": {""child"": ""coordinator"", ""parent"": ""operator"", ""confidence"": 0.9, ""reason"": ""A coordinator is a specialized type of operator with privileges to manage users and sub-accounts within an account.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""account manager"",
      ""parent"": ""operator"",
      ""confidence"": 0.9,
      ""reason"": ""An account manager is a specialized type of operator with additional privileges to manage accounts.""
    },
    {
      ""child"": ""admin"",
      ""parent"": ""operator"",
      ""confidence"": 0.9,
      ""reason"": ""An admin is a specialized type of operator with higher privileges.""
    },
    {
      ""child"": ""coordinator"",
      ""parent"": ""operator"",
      ""confidence"": 0.9,
      ""reason"": ""A coordinator is a specialized type of operator with privileges to manage users and sub-accounts within an account.""
    }
  ]
}"
