term,example_doc_id,example_chunk_id,freq_total,doc_count
# sign,doc_6722,doc_6722_chunk_0011,1,1
#EXCLUDED directive,doc_5d35,doc_5d35_chunk_0004,1,1
#PBS,doc_5755,doc_5755_chunk_0035,1,1
#SBATCH,doc_5d35,doc_5d35_chunk_0003,1,1
$(HOME)/rpmbuild,doc_ce7f,doc_ce7f_chunk_0003,1,1
$HOSTSFILE,doc_5755,doc_5755_chunk_0014,1,1
$JobID,doc_4600,doc_4600_chunk_0002,1,1
$SLURM_NTASKS,doc_5755,doc_5755_chunk_0014,1,1
'slurm',doc_4387,doc_4387_chunk_0017,1,1
'system0',doc_4387,doc_4387_chunk_0017,1,1
--acct-freq,doc_4387,doc_4387_chunk_0024,1,1
--acctg-freq,doc_e541,doc_e541_chunk_0006,3,1
--array,doc_4d9f,doc_4d9f_chunk_0001,3,1
--bbf,doc_6722,doc_6722_chunk_0013,1,1
--bbf options,doc_6722,doc_6722_chunk_0008,1,1
--cluster option,doc_8b12,doc_8b12_chunk_0002,1,1
--cluster-constraint,doc_7940,doc_7940_chunk_0002,3,1
--clusters,doc_7940,doc_7940_chunk_0003,4,2
--conf-server,doc_193a,doc_193a_chunk_0002,1,1
--constraint,doc_8ca0,doc_8ca0_chunk_0007,1,1
--container,doc_0ac6,doc_0ac6_chunk_0008,1,1
--context,doc_2660,doc_2660_chunk_0001,1,1
--core-spec,doc_3740,doc_3740_chunk_0001,2,1
--cores-per-socket,doc_10c5,doc_10c5_chunk_0002,1,1
--cpu-bind,doc_10c5,doc_10c5_chunk_0001,5,2
--cpus-per-GPU,doc_b2f9,doc_b2f9_chunk_0003,1,1
--cpus-per-gpu,doc_385e,doc_385e_chunk_0002,1,1
--cpus-per-task,doc_5d35,doc_5d35_chunk_0002,1,1
--distribution,doc_10c5,doc_10c5_chunk_0002,4,3
--duplicate/-D,doc_7940,doc_7940_chunk_0007,1,1
--enable-debug,doc_5755,doc_5755_chunk_0029,2,2
--enable-developer,doc_5755,doc_5755_chunk_0029,1,1
--enable-multiple-slurmd,doc_3bdd,doc_3bdd_chunk_0008,2,2
--exclude,doc_b00c,doc_b00c_chunk_0005,1,1
--exclusive,doc_385e,doc_385e_chunk_0004,3,2
--exclusive=mcs,doc_c8a9,doc_c8a9_chunk_0007,1,1
--exclusive=user,doc_c8a9,doc_c8a9_chunk_0007,1,1
--export,doc_0ac6,doc_0ac6_chunk_0008,2,2
--federation,doc_7940,doc_7940_chunk_0006,2,1
--gpu*,doc_b2f9,doc_b2f9_chunk_0003,1,1
--gpu* options,doc_b2f9,doc_b2f9_chunk_0002,1,1
--gpu-bind,doc_385e,doc_385e_chunk_0002,2,2
--gpu-freq,doc_385e,doc_385e_chunk_0002,2,2
--gpus,doc_b2f9,doc_b2f9_chunk_0002,1,1
--gpus-per-node,doc_385e,doc_385e_chunk_0002,3,2
--gpus-per-socket,doc_385e,doc_385e_chunk_0003,2,2
--gpus-per-task,doc_385e,doc_385e_chunk_0003,2,2
--gres,doc_b2f9,doc_b2f9_chunk_0002,2,1
--jobid,doc_5755,doc_5755_chunk_0010,1,1
--json,doc_8f5e,doc_8f5e_chunk_0005,2,1
--local,doc_7940,doc_7940_chunk_0006,1,1
--mail-type,doc_5d35,doc_5d35_chunk_0005,1,1
--mcs-label,doc_50f7,doc_50f7_chunk_0003,2,1
--mem,doc_10c5,doc_10c5_chunk_0004,6,5
--mem-bind,doc_96c0,doc_96c0_chunk_0002,2,2
--mem-per-GPU,doc_b2f9,doc_b2f9_chunk_0003,1,1
--mem-per-cpu,doc_1988,doc_1988_chunk_0002,6,6
--mem-per-gpu,doc_385e,doc_385e_chunk_0003,1,1
--mpi,doc_2329,doc_2329_chunk_0005,1,1
--mpi=list,doc_2329,doc_2329_chunk_0011,1,1
--net,doc_0ac6,doc_0ac6_chunk_0009,1,1
--no-allocate,doc_5d35,doc_5d35_chunk_0010,1,1
--nodelist,doc_b00c,doc_b00c_chunk_0005,1,1
--nodes,doc_b00c,doc_b00c_chunk_0005,3,2
--ntasks,doc_5d35,doc_5d35_chunk_0002,3,2
--ntasks-per-core,doc_10c5,doc_10c5_chunk_0005,1,1
--ntasks-per-node,doc_10c5,doc_10c5_chunk_0005,1,1
--ntasks-per-socket,doc_10c5,doc_10c5_chunk_0005,1,1
"--ntasks-per-{node,socket,core}",doc_10c5,doc_10c5_chunk_0004,1,1
--overcommit,doc_385e,doc_385e_chunk_0003,4,3
--oversubscribe,doc_50f7,doc_50f7_chunk_0001,2,2
--prefix,doc_2329,doc_2329_chunk_0009,2,2
--profile,doc_e541,doc_e541_chunk_0004,1,1
--pty,doc_5755,doc_5755_chunk_0017,1,1
--qos=,doc_289e,doc_289e_chunk_0001,1,1
--root,doc_0ac6,doc_0ac6_chunk_0005,1,1
--security-opt,doc_0ac6,doc_0ac6_chunk_0009,1,1
--sibling,doc_7940,doc_7940_chunk_0006,2,1
--sockets-per-node,doc_10c5,doc_10c5_chunk_0002,1,1
--start,doc_2770,doc_2770_chunk_0003,1,1
--switches,doc_b00c,doc_b00c_chunk_0002,2,1
--threads-per-core,doc_10c5,doc_10c5_chunk_0002,1,1
--threads-per-core=T,doc_10c5,doc_10c5_chunk_0002,1,1
--tres,doc_cc8b,doc_cc8b_chunk_0005,1,1
--tres-per-task,doc_85cb,doc_85cb_chunk_0002,1,1
--unbuffered,doc_5755,doc_5755_chunk_0002,1,1
--wait-for-children,doc_ed59,doc_ed59_chunk_0001,1,1
--wckey=,doc_9964,doc_9964_chunk_0001,1,1
--wckeys,doc_9964,doc_9964_chunk_0002,1,1
--wckeys=,doc_9964,doc_9964_chunk_0001,1,1
--with-mysql_conf,doc_4387,doc_4387_chunk_0007,1,1
--with-pmix,doc_2329,doc_2329_chunk_0005,1,1
--with-slurm,doc_2329,doc_2329_chunk_0009,2,1
--without pam,doc_5755,doc_5755_chunk_0045,1,1
--yaml,doc_8f5e,doc_8f5e_chunk_0005,2,1
-D option,doc_5755,doc_5755_chunk_0055,1,1
-Werror,doc_e8f0,doc_e8f0_chunk_0008,2,1
-f $config_file,doc_193a,doc_193a_chunk_0003,1,1
-fno-gcse,doc_e8f0,doc_e8f0_chunk_0008,2,1
-fno-strict-aliasing,doc_e8f0,doc_e8f0_chunk_0009,1,1
-pthread,doc_e8f0,doc_e8f0_chunk_0008,2,1
.components.schemas,doc_7425,doc_7425_chunk_0027,1,1
.deps,doc_e8f0,doc_e8f0_chunk_0007,3,1
.libs,doc_e8f0,doc_e8f0_chunk_0007,3,1
.patch,doc_5755,doc_5755_chunk_0030,1,1
.rpmmacros,doc_5755,doc_5755_chunk_0045,2,2
.tvdrc file,doc_5755,doc_5755_chunk_0062,1,1
/BasePath,doc_4600,doc_4600_chunk_0002,1,1
/bin/hostname,doc_48b2,doc_48b2_chunk_0008,1,1
/conf-cache/,doc_193a,doc_193a_chunk_0002,1,1
/dev/nvidia1,doc_b2f9,doc_b2f9_chunk_0008,1,1
