term,example_doc_id,example_chunk_id,freq_total,doc_count
#+#,doc_5d35,doc_5d35_chunk_0005,1,1
#BB,doc_6722,doc_6722_chunk_0010,1,1
#BB_EXAMPLE,doc_6722,doc_6722_chunk_0011,1,1
#BB_LUA,doc_6722,doc_6722_chunk_0011,1,1
#DW,doc_6722,doc_6722_chunk_0010,1,1
#PBS,doc_5755,doc_5755_chunk_0035,1,1
#SBATCH,doc_48b2,doc_48b2_chunk_0007,3,2
#SBATCH directives,doc_6722,doc_6722_chunk_0008,1,1
$(HOME)/rpmbuild,doc_ce7f,doc_ce7f_chunk_0003,1,1
$BasePath,doc_4600,doc_4600_chunk_0002,1,1
$HOSTSFILE,doc_5755,doc_5755_chunk_0014,1,1
$JobID,doc_4600,doc_4600_chunk_0002,1,1
$SLURM_JOB_ID,doc_e541,doc_e541_chunk_0005,1,1
$XDG_CONFIG_HOME/containers/containers.conf,doc_0ac6,doc_0ac6_chunk_0013,1,1
$XDG_CONFIG_HOME/containers/storage.conf,doc_0ac6,doc_0ac6_chunk_0014,1,1
%,doc_4d9f,doc_4d9f_chunk_0001,1,1
% AArray Master Job Id,doc_6722,doc_6722_chunk_0014,1,1
%20b,doc_96c0,doc_96c0_chunk_0003,1,1
%30N,doc_96c0,doc_96c0_chunk_0003,1,1
%A,doc_4d9f,doc_4d9f_chunk_0003,1,1
%F,doc_4d9f,doc_4d9f_chunk_0004,1,1
%J,doc_5755,doc_5755_chunk_0062,1,1
%K,doc_4d9f,doc_4d9f_chunk_0004,1,1
%R,doc_5755,doc_5755_chunk_0063,1,1
%U,doc_0ac6,doc_0ac6_chunk_0005,1,1
%V,doc_7940,doc_7940_chunk_0007,1,1
%X,doc_10c5,doc_10c5_chunk_0008,2,2
%Y,doc_10c5,doc_10c5_chunk_0008,1,1
%aArray Task Id,doc_6722,doc_6722_chunk_0014,1,1
%dWorkdir,doc_6722,doc_6722_chunk_0014,1,1
%f,doc_96c0,doc_96c0_chunk_0003,1,1
%jJob Id,doc_6722,doc_6722_chunk_0014,1,1
%n,doc_193a,doc_193a_chunk_0002,1,1
%n.%u.%j.%s.%t,doc_0ac6,doc_0ac6_chunk_0004,1,1
%uUser Name,doc_6722,doc_6722_chunk_0014,1,1
&,doc_385e,doc_385e_chunk_0005,1,1
*.*,doc_4387,doc_4387_chunk_0015,1,1
",",doc_5d35,doc_5d35_chunk_0001,1,1
-,doc_732b,doc_732b_chunk_0003,1,1
--M,doc_7940,doc_7940_chunk_0006,1,1
--acct-freq,doc_4387,doc_4387_chunk_0024,1,1
--acctg-freq,doc_e541,doc_e541_chunk_0003,4,1
--array,doc_4d9f,doc_4d9f_chunk_0001,3,1
--bb,doc_6722,doc_6722_chunk_0008,3,1
--bbf,doc_6722,doc_6722_chunk_0008,2,1
--bcast,doc_5d35,doc_5d35_chunk_0006,1,1
--cluster,doc_5d35,doc_5d35_chunk_0003,2,2
--cluster-constraint,doc_7940,doc_7940_chunk_0002,2,1
--cluster-constraint=,doc_7940,doc_7940_chunk_0004,1,1
--clusters,doc_7940,doc_7940_chunk_0003,2,1
--clusters=,doc_7940,doc_7940_chunk_0004,2,2
--conf,doc_e2ce,doc_e2ce_chunk_0001,2,1
--conf-server,doc_193a,doc_193a_chunk_0002,1,1
--constraint,doc_5d35,doc_5d35_chunk_0003,6,4
--container,doc_0ac6,doc_0ac6_chunk_0007,2,1
--context,doc_2660,doc_2660_chunk_0001,1,1
--contiguous,doc_d9be,doc_d9be_chunk_0002,2,1
--core-spec,doc_3740,doc_3740_chunk_0001,2,1
--cores-per-socket,doc_10c5,doc_10c5_chunk_0002,2,2
--cpu-bind,doc_10c5,doc_10c5_chunk_0001,10,3
--cpu-bind=core,doc_10c5,doc_10c5_chunk_0004,1,1
--cpu-bind=no,doc_10c5,doc_10c5_chunk_0003,1,1
--cpu-bind=socket,doc_10c5,doc_10c5_chunk_0004,1,1
--cpu-bind=verbose,doc_10c5,doc_10c5_chunk_0003,1,1
--cpus-per-GPU,doc_b2f9,doc_b2f9_chunk_0003,1,1
--cpus-per-gpu,doc_385e,doc_385e_chunk_0002,1,1
--cpus-per-task,doc_5d35,doc_5d35_chunk_0001,6,2
--dependency,doc_6722,doc_6722_chunk_0016,1,1
--details,doc_d9be,doc_d9be_chunk_0006,1,1
--distribution,doc_10c5,doc_10c5_chunk_0003,8,3
--duplicate/-D,doc_7940,doc_7940_chunk_0007,1,1
--enable-debug,doc_5755,doc_5755_chunk_0029,2,2
--enable-debug flags,doc_5755,doc_5755_chunk_0029,1,1
--enable-developer,doc_5755,doc_5755_chunk_0029,1,1
--enable-multiple-slurmd,doc_3bdd,doc_3bdd_chunk_0007,4,3
--exclusive,doc_2329,doc_2329_chunk_0006,7,5
--exclusive=mcs,doc_50f7,doc_50f7_chunk_0003,2,2
--exclusive=user,doc_c8a9,doc_c8a9_chunk_0007,1,1
--export,doc_5755,doc_5755_chunk_0013,1,1
--extra-node-info,doc_10c5,doc_10c5_chunk_0002,3,2
--federation,doc_7940,doc_7940_chunk_0005,3,1
--format,doc_cc8b,doc_cc8b_chunk_0005,1,1
--gpu*,doc_b2f9,doc_b2f9_chunk_0003,1,1
--gpu-bind,doc_385e,doc_385e_chunk_0002,2,2
--gpu-freq,doc_385e,doc_385e_chunk_0002,2,2
--gpus,doc_5d35,doc_5d35_chunk_0012,3,2
--gpus-per-node,doc_385e,doc_385e_chunk_0002,3,2
--gpus-per-socket,doc_385e,doc_385e_chunk_0003,2,2
--gpus-per-task,doc_385e,doc_385e_chunk_0003,2,2
--gres,doc_96c0,doc_96c0_chunk_0003,6,3
--help,doc_ce7f,doc_ce7f_chunk_0005,1,1
--het-group,doc_5d35,doc_5d35_chunk_0008,2,1
--hint,doc_10c5,doc_10c5_chunk_0005,2,2
--job,doc_4d9f,doc_4d9f_chunk_0004,1,1
--jobid,doc_5755,doc_5755_chunk_0010,2,2
--json,doc_8f5e,doc_8f5e_chunk_0005,2,1
--licenses,doc_85cb,doc_85cb_chunk_0001,1,1
--local,doc_7940,doc_7940_chunk_0006,1,1
--mail-type,doc_5d35,doc_5d35_chunk_0005,1,1
--mcs-label,doc_50f7,doc_50f7_chunk_0003,1,1
--mem,doc_10c5,doc_10c5_chunk_0002,7,6
--mem-bind,doc_96c0,doc_96c0_chunk_0002,2,2
--mem-per-GPU,doc_b2f9,doc_b2f9_chunk_0003,1,1
--mem-per-cpu,doc_10c5,doc_10c5_chunk_0002,8,7
--mem-per-gpu,doc_385e,doc_385e_chunk_0003,1,1
--mpi,doc_2329,doc_2329_chunk_0004,2,1
--mpi=list,doc_2329,doc_2329_chunk_0011,1,1
--mpi=pmix,doc_2329,doc_2329_chunk_0005,1,1
--multi-prog,doc_5d35,doc_5d35_chunk_0011,1,1
--no-allocate,doc_5d35,doc_5d35_chunk_0010,1,1
--nodelist,doc_b00c,doc_b00c_chunk_0006,1,1
--nodes,doc_5d35,doc_5d35_chunk_0003,8,2
--ntasks,doc_5d35,doc_5d35_chunk_0001,8,2
--ntasks-per-core,doc_10c5,doc_10c5_chunk_0005,2,2
--ntasks-per-node,doc_10c5,doc_10c5_chunk_0005,3,2
--ntasks-per-socket,doc_10c5,doc_10c5_chunk_0005,2,2
--open-mode,doc_5d35,doc_5d35_chunk_0011,1,1
--overcommit,doc_5755,doc_5755_chunk_0002,1,1
--overlap,doc_5755,doc_5755_chunk_0017,1,1
--oversubscribe,doc_50f7,doc_50f7_chunk_0001,4,2
--partition,doc_05b9,doc_05b9_chunk_0027,1,1
--prefix,doc_2329,doc_2329_chunk_0009,2,2
--profile,doc_e541,doc_e541_chunk_0004,1,1
--pty,doc_5755,doc_5755_chunk_0017,1,1
--qos=,doc_289e,doc_289e_chunk_0001,1,1
--r,doc_d9be,doc_d9be_chunk_0005,1,1
--reboot,doc_96c0,doc_96c0_chunk_0004,1,1
--relative,doc_d9be,doc_d9be_chunk_0005,1,1
