term_id,doc_id,chunk_id,term,reason
1,doc_4387,doc_4387_chunk_0001,Slurm,
2,doc_4387,doc_4387_chunk_0001,sacct,
3,doc_4387,doc_4387_chunk_0001,sstat,
4,doc_4387,doc_4387_chunk_0001,sreport,
5,doc_4387,doc_4387_chunk_0001,SlurmDBD,
6,doc_4387,doc_4387_chunk_0001,slurm.conf,
7,doc_4387,doc_4387_chunk_0001,AccountingStorageType,
8,doc_4387,doc_4387_chunk_0001,JobAcctGatherType,
9,doc_4387,doc_4387_chunk_0001,JobCompType,
10,doc_4387,doc_4387_chunk_0001,jobacct_gather/linux,
11,doc_4387,doc_4387_chunk_0002,JobCompType,
12,doc_4387,doc_4387_chunk_0002,sacct,
13,doc_4387,doc_4387_chunk_0002,sreport,
14,doc_4387,doc_4387_chunk_0002,sacctmgr,
15,doc_4387,doc_4387_chunk_0002,slurmctld,
16,doc_4387,doc_4387_chunk_0002,slurmDBD,
17,doc_4387,doc_4387_chunk_0002,SlurmDBD (Slurm Database Daemon),
18,doc_4387,doc_4387_chunk_0002,JobAcctGatherType,
19,doc_4387,doc_4387_chunk_0002,AccountingStorageType,
20,doc_4387,doc_4387_chunk_0002,JobCompLoc,
21,doc_4387,doc_4387_chunk_0003,SlurmDBD,
22,doc_4387,doc_4387_chunk_0003,Slurm,
23,doc_4387,doc_4387_chunk_0003,SlurmDBD daemon,
24,doc_4387,doc_4387_chunk_0003,C,
25,doc_4387,doc_4387_chunk_0003,multi-threaded,
26,doc_4387,doc_4387_chunk_0003,secure,
27,doc_4387,doc_4387_chunk_0003,fast,
28,doc_4387,doc_4387_chunk_0003,configuration,
29,doc_4387,doc_4387_chunk_0003,SlurmDBD plugin,
30,doc_4387,doc_4387_chunk_0003,MySQL plugin,
31,doc_4387,doc_4387_chunk_0003,sacctmgr,
32,doc_4387,doc_4387_chunk_0003,list cluster,
33,doc_4387,doc_4387_chunk_0004,SlurmDBD,
34,doc_4387,doc_4387_chunk_0004,user name,
35,doc_4387,doc_4387_chunk_0004,user ID,
36,doc_4387,doc_4387_chunk_0004,accounting,
37,doc_4387,doc_4387_chunk_0004,authentication,
38,doc_4387,doc_4387_chunk_0004,Slurmdbd.conf,
39,doc_4387,doc_4387_chunk_0004,MUNGE,
40,doc_4387,doc_4387_chunk_0004,slurm.conf,
41,doc_4387,doc_4387_chunk_0004,--key-file,
42,doc_4387,doc_4387_chunk_0004,--socket,
43,doc_4387,doc_4387_chunk_0004,local domain socket,
44,doc_4387,doc_4387_chunk_0005,MUNGE,
45,doc_4387,doc_4387_chunk_0005,passwd file,
46,doc_4387,doc_4387_chunk_0005,sacctmgr,
47,doc_4387,doc_4387_chunk_0005,LDAP server,
48,doc_4387,doc_4387_chunk_0005,slurmdbd,
49,doc_4387,doc_4387_chunk_0005,AccountingStorageBackupHost,
50,doc_4387,doc_4387_chunk_0005,DbdBackupHost,
51,doc_4387,doc_4387_chunk_0005,slurm.conf,
52,doc_4387,doc_4387_chunk_0005,slurmdbd.conf,
53,doc_4387,doc_4387_chunk_0005,backup host,
54,doc_4387,doc_4387_chunk_0005,primary instance,
55,doc_4387,doc_4387_chunk_0006,Slurm,
56,doc_4387,doc_4387_chunk_0006,jobcomp/mysql,
57,doc_4387,doc_4387_chunk_0006,jobcomp/filetxt,
58,doc_4387,doc_4387_chunk_0006,JobCompPort,
59,doc_4387,doc_4387_chunk_0006,JobCompType,
60,doc_4387,doc_4387_chunk_0006,JobCompUser,
61,doc_4387,doc_4387_chunk_0006,JobCompParams,
62,doc_4387,doc_4387_chunk_0006,SlurmDBD,
63,doc_4387,doc_4387_chunk_0006,accounting_storage/slurmdbd,
64,doc_4387,doc_4387_chunk_0006,AccountingStorageType,
65,doc_4387,doc_4387_chunk_0006,associations,
66,doc_4387,doc_4387_chunk_0007,Slurm,
67,doc_4387,doc_4387_chunk_0007,InnoDB,
68,doc_4387,doc_4387_chunk_0007,MySQL,
69,doc_4387,doc_4387_chunk_0007,mysql_config,
70,doc_4387,doc_4387_chunk_0007,--with-mysql_conf,
71,doc_4387,doc_4387_chunk_0007,slurm configure,
72,doc_4387,doc_4387_chunk_0007,slurmdbd,
73,doc_4387,doc_4387_chunk_0007,innodb_buffer_pool_size,
74,doc_4387,doc_4387_chunk_0007,available memory,
75,doc_4387,doc_4387_chunk_0007,at least 4 GiB,
76,doc_4387,doc_4387_chunk_0008,SLURM,
77,doc_4387,doc_4387_chunk_0008,MySQL,
78,doc_4387,doc_4387_chunk_0008,innodb_buffer_pool_size,
79,doc_4387,doc_4387_chunk_0008,4096M,
80,doc_4387,doc_4387_chunk_0008,1024M,
81,doc_4387,doc_4387_chunk_0008,max_allowed_packet,
82,doc_4387,doc_4387_chunk_0008,16M,
83,doc_4387,doc_4387_chunk_0008,innodb_log_file_size,
84,doc_4387,doc_4387_chunk_0009,Slurm,
85,doc_4387,doc_4387_chunk_0009,slurmdbd,
86,doc_4387,doc_4387_chunk_0009,slurmdbd.conf,
87,doc_4387,doc_4387_chunk_0009,db_name,
88,doc_4387,doc_4387_chunk_0009,MySQL,
89,doc_4387,doc_4387_chunk_0009,SHOW TABLE STATUS,
90,doc_4387,doc_4387_chunk_0009,innodb_default_row_format,
91,doc_4387,doc_4387_chunk_0009,dynamic,
92,doc_4387,doc_4387_chunk_0009,case-insensitive,
93,doc_4387,doc_4387_chunk_0009,collation,
94,doc_4387,doc_4387_chunk_0009,information_schema,
95,doc_4387,doc_4387_chunk_0010,SLURM,
96,doc_4387,doc_4387_chunk_0010,qos,
97,doc_4387,doc_4387_chunk_0010,Quality of Service,
98,doc_4387,doc_4387_chunk_0010,nojobs,
99,doc_4387,doc_4387_chunk_0010,nosteps,
100,doc_4387,doc_4387_chunk_0010,associations,
101,doc_4387,doc_4387_chunk_0010,limits,
102,doc_4387,doc_4387_chunk_0010,TRES-minutes,
103,doc_4387,doc_4387_chunk_0010,safe,
104,doc_4387,doc_4387_chunk_0010,wckeys,
105,doc_4387,doc_4387_chunk_0011,wckeys,
106,doc_4387,doc_4387_chunk_0011,Slurm,
107,doc_4387,doc_4387_chunk_0011,associations,
108,doc_4387,doc_4387_chunk_0011,TrackWCKey,
109,doc_4387,doc_4387_chunk_0011,cluster,
110,doc_4387,doc_4387_chunk_0011,account,
111,doc_4387,doc_4387_chunk_0011,user,
112,doc_4387,doc_4387_chunk_0011,partition,
113,doc_4387,doc_4387_chunk_0011,AccountingStorageEnforce,
114,doc_4387,doc_4387_chunk_0011,SlurmDBD,
115,doc_4387,doc_4387_chunk_0011,AccountingStorageExternalHost,
116,doc_4387,doc_4387_chunk_0011,host/ip,
117,doc_4387,doc_4387_chunk_0011,port,
118,doc_4387,doc_4387_chunk_0012,Slurm,
119,doc_4387,doc_4387_chunk_0012,SlurmDBD,
120,doc_4387,doc_4387_chunk_0012,Slurm-managed,
121,doc_4387,doc_4387_chunk_0012,AccountingStoragePort,
122,doc_4387,doc_4387_chunk_0012,AccountingStorageType,
123,doc_4387,doc_4387_chunk_0012,ClusterName,
124,doc_4387,doc_4387_chunk_0012,TrackWCKey,
125,doc_4387,doc_4387_chunk_0012,wckey,
126,doc_4387,doc_4387_chunk_0012,slurmdbd.conf,
127,doc_4387,doc_4387_chunk_0012,slurmdbd.conf(5),
128,doc_4387,doc_4387_chunk_0013,Slurm,
129,doc_4387,doc_4387_chunk_0013,SlurmDBD,
130,doc_4387,doc_4387_chunk_0013,MUNGE,
131,doc_4387,doc_4387_chunk_0013,AuthInfo,
132,doc_4387,doc_4387_chunk_0013,AuthType,
133,doc_4387,doc_4387_chunk_0013,localhost,
134,doc_4387,doc_4387_chunk_0013,lx0001,
135,doc_4387,doc_4387_chunk_0013,SLURMDBD_PORT,
136,doc_4387,doc_4387_chunk_0013,AccountingStoragePort,
137,doc_4387,doc_4387_chunk_0014,Slurm,
138,doc_4387,doc_4387_chunk_0014,slurmdbd,
139,doc_4387,doc_4387_chunk_0014,slurmctld,
140,doc_4387,doc_4387_chunk_0014,SlurmUser,
141,doc_4387,doc_4387_chunk_0014,root,
142,doc_4387,doc_4387_chunk_0014,configure,
143,doc_4387,doc_4387_chunk_0014,SlurmDatabaseDaemon,
144,doc_4387,doc_4387_chunk_0014,UID,
145,doc_4387,doc_4387_chunk_0014,security,
146,doc_4387,doc_4387_chunk_0014,AdminLevel,
147,doc_4387,doc_4387_chunk_0014,slurm_acct_db,
148,doc_4387,doc_4387_chunk_0014,StorageHost,
149,doc_4387,doc_4387_chunk_0014,database,
150,doc_4387,doc_4387_chunk_0015,Slurm,
151,doc_4387,doc_4387_chunk_0015,accounting_storage,
152,doc_4387,doc_4387_chunk_0015,MySQL,
153,doc_4387,doc_4387_chunk_0015,MariaDB,
154,doc_4387,doc_4387_chunk_0015,StorageLoc,
155,doc_4387,doc_4387_chunk_0015,StorageUser,
156,doc_4387,doc_4387_chunk_0015,GRANT,
157,doc_4387,doc_4387_chunk_0015,ALL,
158,doc_4387,doc_4387_chunk_0015,ON,
159,doc_4387,doc_4387_chunk_0015,.*,
160,doc_4387,doc_4387_chunk_0015,'StorageUser',
161,doc_4387,doc_4387_chunk_0015,'StorageHost',
162,doc_4387,doc_4387_chunk_0015,root,
163,doc_4387,doc_4387_chunk_0015,sbatch,
164,doc_4387,doc_4387_chunk_0016,MySQL,
165,doc_4387,doc_4387_chunk_0016,snowflake,
166,doc_4387,doc_4387_chunk_0016,5.0.51a-3ubuntu5.1,
167,doc_4387,doc_4387_chunk_0016,localhost,
168,doc_4387,doc_4387_chunk_0016,slurm,
169,doc_4387,doc_4387_chunk_0016,password,
170,doc_4387,doc_4387_chunk_0016,slurm_acct_db,
171,doc_4387,doc_4387_chunk_0016,system0,
172,doc_4387,doc_4387_chunk_0016,grant,
173,doc_4387,doc_4387_chunk_0016,all,
174,doc_4387,doc_4387_chunk_0016,on,
175,doc_4387,doc_4387_chunk_0017,Slurm,
176,doc_4387,doc_4387_chunk_0017,slurm_acct_db,
177,doc_4387,doc_4387_chunk_0017,system0,
178,doc_4387,doc_4387_chunk_0017,some_pass,
179,doc_4387,doc_4387_chunk_0017,mysql,
180,doc_4387,doc_4387_chunk_0017,InnoDB,
181,doc_4387,doc_4387_chunk_0017,create database,
182,doc_4387,doc_4387_chunk_0017,/usr/sbin/slurmdbd,
183,doc_4387,doc_4387_chunk_0017,/etc/init.d/slurmdbd,
184,doc_4387,doc_4387_chunk_0017,ps aux,
185,doc_4387,doc_4387_chunk_0018,SlurmDBD,
186,doc_4387,doc_4387_chunk_0018,-v,
187,doc_4387,doc_4387_chunk_0018,-D,
188,doc_4387,doc_4387_chunk_0018,SlurmDBD Archive,
189,doc_4387,doc_4387_chunk_0018,Purge,
190,doc_4387,doc_4387_chunk_0018,sacctmgr,
191,doc_4387,doc_4387_chunk_0018,slurmdbd.conf,
192,doc_4387,doc_4387_chunk_0018,Archive\$,
193,doc_4387,doc_4387_chunk_0018,Purge\$,
194,doc_4387,doc_4387_chunk_0018,PurgeJobsAfter,
195,doc_4387,doc_4387_chunk_0019,Slurm,
196,doc_4387,doc_4387_chunk_0019,mysqldump,
197,doc_4387,doc_4387_chunk_0019,<slurm_user>,
198,doc_4387,doc_4387_chunk_0019,<db_name>,
199,doc_4387,doc_4387_chunk_0019,<cluster>,
200,doc_4387,doc_4387_chunk_0019,slurm.sql,
201,doc_4387,doc_4387_chunk_0019,sacct,
202,doc_4387,doc_4387_chunk_0019,sacctmgr,
203,doc_4387,doc_4387_chunk_0019,sreport,
204,doc_4387,doc_4387_chunk_0019,SlurmDBD,
205,doc_4387,doc_4387_chunk_0019,running jobs,
206,doc_4387,doc_4387_chunk_0019,completed jobs,
207,doc_4387,doc_4387_chunk_0020,sreport,
208,doc_4387,doc_4387_chunk_0020,Grafana,
209,doc_4387,doc_4387_chunk_0020,InfluxDB,
210,doc_4387,doc_4387_chunk_0020,Prometheus,
211,doc_4387,doc_4387_chunk_0020,sacctmgr,
212,doc_4387,doc_4387_chunk_0020,Slurm,
213,doc_4387,doc_4387_chunk_0020,cluster,
214,doc_4387,doc_4387_chunk_0020,account,
215,doc_4387,doc_4387_chunk_0020,user names,
