id,doc_id,sentence_id,sentence_text,subj_text,subj_canonical_id,subj_canonical_term,rel_text,obj_text,obj_canonical_id,obj_canonical_term,method,created_at
1,doc_4387,doc_4387_sent_00002,Accounting records can be written to a simple text file or a database.,Accounting records,178,accounting record,write to,a simple text file,105,file,openie_spacy,2025-12-17T22:13:48Z
2,doc_4387,doc_4387_sent_00004,"The sacct command can report resource usage for running or terminated jobs including individual tasks, which can be useful to detect load imbalance between the tasks.",The sacct command,3966,sacct command,report,resource usage,3967,resource usage,openie_spacy,2025-12-17T22:13:48Z
3,doc_4387,doc_4387_sent_00028,"Note if you switch from using the MySQL plugin to use the SlurmDBD plugin you must make sure the cluster has been added to the database. The MySQL plugin doesn't require this, but also will not hurt things if you have it there when using the MySQL plugin. You can verify with
sacctmgr list cluster",the cluster,272,cluster,add to,the database,349,database,openie_spacy,2025-12-17T22:13:48Z
4,doc_4387,doc_4387_sent_00030,If SlurmDBD is configured for use but not responding then slurmctld will utilize an internal cache until SlurmDBD is returned to service.,slurmctld,201,slurmctld,utilize,an internal cache,4001,cache,openie_spacy,2025-12-17T22:13:48Z
5,doc_4387,doc_4387_sent_00030,If SlurmDBD is configured for use but not responding then slurmctld will utilize an internal cache until SlurmDBD is returned to service.,SlurmDBD,182,slurmdbd,return to,service,759,service,openie_spacy,2025-12-17T22:13:48Z
6,doc_4387,doc_4387_sent_00033,Job and step accounting records generated by slurmctld will be written to a cache as needed and transferred to SlurmDBD when returned to service. Note that if SlurmDBD is down long enough for the number of queued records to exceed the maximum queue size then messages will begin to be dropped.,Job,50,job,write to,a cache,4001,cache,openie_spacy,2025-12-17T22:13:48Z
7,doc_4387,doc_4387_sent_00033,Job and step accounting records generated by slurmctld will be written to a cache as needed and transferred to SlurmDBD when returned to service. Note that if SlurmDBD is down long enough for the number of queued records to exceed the maximum queue size then messages will begin to be dropped.,the number,123,number,exceed,the maximum queue size,278,size,openie_spacy,2025-12-17T22:13:48Z
8,doc_4387,doc_4387_sent_00042,"The pathname of local domain socket will be needed in the Slurm and SlurmDBD configuration files (slurm.conf and slurmdbd.conf respectively, more details are provided below).",The pathname,3982,pathname,need in,the Slurm,82,slurm,openie_spacy,2025-12-17T22:13:48Z
9,doc_4387,doc_4387_sent_00042,"The pathname of local domain socket will be needed in the Slurm and SlurmDBD configuration files (slurm.conf and slurmdbd.conf respectively, more details are provided below).",The pathname,3982,pathname,need in,slurm.conf,1593,slurm.conf,openie_spacy,2025-12-17T22:13:48Z
10,doc_4387,doc_4387_sent_00049,"Both instances of slurmdbd should have access to the same database, share the same munge key(s), and have the same users with the same UID/GIDs.",Both instances,526,instance,have,access,1241,access,openie_spacy,2025-12-17T22:13:48Z
11,doc_4387,doc_4387_sent_00051,"Slurm JobComp Configuration
Presently job completion is not supported with the SlurmDBD, but can be written directly to a database, script or flat file.",job completion,3058,job completion,support with,the SlurmDBD,182,slurmdbd,openie_spacy,2025-12-17T22:13:48Z
12,doc_4387,doc_4387_sent_00057,JobCompPort: Only needed if using a database. The network port that the database accepts communication on.,the database,349,database,accept,communication,150,communication,openie_spacy,2025-12-17T22:13:48Z
13,doc_4387,doc_4387_sent_00061,JobCompParams: Pass arbitrary text string to job completion plugin.,JobCompParams,3074,jobcompparam,pass,arbitrary text string,681,string,openie_spacy,2025-12-17T22:13:48Z
14,doc_4387,doc_4387_sent_00067,Slurm uses the InnoDB storage engine in MySQL to make rollback possible.,Slurm,82,slurm,use in,MySQL,3066,mysql,openie_spacy,2025-12-17T22:13:48Z
15,doc_4387,doc_4387_sent_00092,Using or changing the collation to a case-sensitive one is not supported and will cause slurmdbd to log an error message at start up if these are found.,slurmdbd,182,slurmdbd,log,an error message,3156,error message,openie_spacy,2025-12-17T22:13:48Z
16,doc_4387,doc_4387_sent_00096,"SlurmDBD has a separate configuration file which is documented in a separate section. Note that you can write accounting information to SlurmDBD while job completion records are written to a text file or not maintained at all. If you don't set the configuration parameters that begin with ""AccountingStorage"" then accounting information will not be referenced or recorded.",SlurmDBD,182,slurmdbd,have,a separate configuration file,105,file,openie_spacy,2025-12-17T22:13:48Z
17,doc_4387,doc_4387_sent_00097,"AccountingStorageEnforce: This option contains a comma separated list of options you may want to enforce. The valid options are any comma separated combination of
associations - This will prevent users from running jobs if their association is not in the database.",This option,215,option,contain,a comma separated list,373,list,openie_spacy,2025-12-17T22:13:48Z
18,doc_4387,doc_4387_sent_00100,"If a qos is used the limits will be enforced, but 'qos' described below is still needed if you want to enforce access to the qos.
nojobs - This will make it so no job information is stored in accounting.",no job information,348,information,store in,accounting,305,accounting,openie_spacy,2025-12-17T22:13:48Z
19,doc_4387,doc_4387_sent_00103,so no step information is stored in accounting.,no step information,348,information,store in,accounting,305,accounting,openie_spacy,2025-12-17T22:13:48Z
20,doc_4387,doc_4387_sent_00110,"Without this option set, jobs will be launched as long as their usage hasn't reached the TRES-minutes limit which can lead to jobs being launched but then killed when the limit is reached. With the 'safe' option set, a job won't be killed due to limits, even if the limits are changed after a job was started and the association or qos violates the updated limits. By setting this option, both the 'associations' option and the 'limits' option are set automatically.",their usage,53,usage,reach,the TRES-minutes limit,111,limit,openie_spacy,2025-12-17T22:13:48Z
21,doc_4387,doc_4387_sent_00117,"[,...]) to register with. If no port is given, the AccountingStoragePort will be used. This allows clusters registered with the external slurmdbd to communicate with each other using the --cluster/-M client command options. The cluster will add itself to the external slurmdbd if it doesn't exist. If a non-external cluster already exists on the external slurmdbd, the slurmctld will ignore registering to the external slurmdbd.",The cluster,272,cluster,add to,the external slurmdbd,4137,external slurmdbd,openie_spacy,2025-12-17T22:13:48Z
22,doc_4387,doc_4387_sent_00117,"[,...]) to register with. If no port is given, the AccountingStoragePort will be used. This allows clusters registered with the external slurmdbd to communicate with each other using the --cluster/-M client command options. The cluster will add itself to the external slurmdbd if it doesn't exist. If a non-external cluster already exists on the external slurmdbd, the slurmctld will ignore registering to the external slurmdbd.",a non-external cluster,272,cluster,exist on,the external slurmdbd,4137,external slurmdbd,openie_spacy,2025-12-17T22:13:48Z
23,doc_4387,doc_4387_sent_00120,In the case of SlurmDBD (Database Daemon) with MUNGE authentication this can be configured to use a MUNGE daemon specifically configured to provide authentication between clusters while the default MUNGE daemon provides authentication within a cluster.,the default MUNGE daemon,1268,daemon,provide,authentication,1807,authentication,openie_spacy,2025-12-17T22:13:48Z
24,doc_4387,doc_4387_sent_00123,AccountingStoragePort: The network port that SlurmDBD accepts communication on.,SlurmDBD,182,slurmdbd,accept,communication,150,communication,openie_spacy,2025-12-17T22:13:48Z
25,doc_4387,doc_4387_sent_00130,"SlurmDBD Configuration
SlurmDBD requires its own configuration file called ""slurmdbd.conf"".","SlurmDBD Configuration
SlurmDBD",182,slurmdbd,require,its own configuration file,105,file,openie_spacy,2025-12-17T22:13:48Z
26,doc_4387,doc_4387_sent_00138,"The port number that the Slurm Database Daemon (slurmdbd) listens to for work. The default value is SLURMDBD_PORT as established at system build time. If none is explicitly specified, it will be set to 6819.",the Slurm Database Daemon,3989,slurm database daemon,listen for,work,3710,work,openie_spacy,2025-12-17T22:13:48Z
27,doc_4387,doc_4387_sent_00145,"The name of the user that the slurmdbd daemon executes as. This user must exist on the machine executing the Slurm Database Daemon and have the same UID as the hosts on which slurmctld execute. For security purposes, a user other than ""root"" is recommended. The default value is ""root"".",This user,166,user,exist on,the machine,1832,machine,openie_spacy,2025-12-17T22:13:48Z
28,doc_4387,doc_4387_sent_00157,"The value ""accounting_storage/mysql"" indicates that accounting records should be written to a MySQL or MariaDB database specified by the StorageLoc parameter. This value must be specified.",accounting records,178,accounting record,write to,a MySQL or MariaDB database,349,database,openie_spacy,2025-12-17T22:13:48Z
29,doc_4387,doc_4387_sent_00159,"MySQL Configuration
While Slurm will create the database tables automatically you will need to make sure the StorageUser is given permissions in the MySQL or MariaDB database to do so. As the mysql user grant privileges to that user using a command such as:
GRANT ALL ON StorageLoc.*",Slurm,82,slurm,create,the database tables,4095,database table,openie_spacy,2025-12-17T22:13:48Z
30,doc_4387,doc_4387_sent_00165,"If you want Slurm to create the database itself, and any future databases, you can change your grant line to be *.*",Slurm,82,slurm,create,the database,349,database,openie_spacy,2025-12-17T22:13:48Z
31,doc_4387,doc_4387_sent_00171,"mysql> create user 'slurm'@'localhost' identified by 'password';
Query OK, 0 rows affected (0.00 sec)
mysql> grant all on slurm_acct_db.*",mysql,3066,mysql,create,user,166,user,openie_spacy,2025-12-17T22:13:48Z
32,doc_4387,doc_4387_sent_00183,"| | | | | |
Then create the database:
mysql> create database slurm_acct_db;
This will grant user 'slurm' access to do what it needs to do on the local host or the storage host system.",mysql,3066,mysql,create,database slurm_acct_db,4198,database slurm_acct_db,openie_spacy,2025-12-17T22:13:48Z
33,doc_4387,doc_4387_sent_00190,"SlurmDBD Archive and Purge
As time goes on, the slurm database can grow large enough that it is hard to manage. To maintain the database at a reasonable size, slurmdbd supports archiving and purging data based on its age. Purged data will be deleted from the database, but you can choose to archive the data as it is being purged. Archived data will be placed in flat files that can later be loaded into a slurmdbd by sacctmgr.",slurmdbd,182,slurmdbd,support,archiving and purging data based on its age,4207,age,openie_spacy,2025-12-17T22:13:48Z
34,doc_4387,doc_4387_sent_00190,"SlurmDBD Archive and Purge
As time goes on, the slurm database can grow large enough that it is hard to manage. To maintain the database at a reasonable size, slurmdbd supports archiving and purging data based on its age. Purged data will be deleted from the database, but you can choose to archive the data as it is being purged. Archived data will be placed in flat files that can later be loaded into a slurmdbd by sacctmgr.",Archived data,353,data,place in,flat files,105,file,openie_spacy,2025-12-17T22:13:48Z
35,doc_4387,doc_4387_sent_00198,Ideally they would have separate instances of MySQL/MariaDB that they use to store their data. The Slurm controller (slurmctld) should never communicate with the archive slurmdbd.,The Slurm controller,1223,slurm controller,communicate with,the archive slurmdbd,4229,archive slurmdbd,openie_spacy,2025-12-17T22:13:48Z
36,doc_4387,doc_4387_sent_00200,"In order to make sure the unique identifiers match, mysqldump should be used to export the Association, QOS and TRES information.",mysqldump,4233,mysqldump,use in,order,152,order,openie_spacy,2025-12-17T22:13:48Z
37,doc_4387,doc_4387_sent_00210,"While sreport provides the ability to quickly generate reports with some of the most commonly requested information, sites frequently want additional control over how the information is displayed.",sreport,3696,sreport,provide,the ability,325,ability,openie_spacy,2025-12-17T22:13:48Z
