id,child_canonical_id,child_canonical_term,parent_canonical_id,parent_canonical_term,score,method
1,1,slurm,520,time period,-10.414331436157227,hit_wordnet
2,1,slurm,683,process,-11.805997848510742,hit_wordnet
3,1,slurm,517,entity,-12.277599334716797,hit_wordnet
4,1,slurm,781,group,-12.505484580993652,hit_wordnet
5,1,slurm,513,tool,-13.631339073181152,hit_wordnet
6,2,accounting information,15,valuable information,-9.082118034362793,hit_wordnet
7,2,accounting information,1256,other information,-10.525958061218262,hit_wordnet
8,2,accounting information,117,accounting,-11.375441551208496,hit_wordnet
9,2,accounting information,464,detailed information,-11.584327697753906,hit_wordnet
10,2,accounting information,1921,data,-11.704856872558594,hit_wordnet
11,3,job,390,work,-9.419742584228516,hit_wordnet
12,3,job,1436,working,-9.698469161987305,hit_wordnet
13,3,job,13,task,-10.28116226196289,hit_wordnet
14,3,job,11,individual task,-10.333876609802246,hit_wordnet
15,3,job,520,time period,-10.694639205932617,hit_wordnet
16,4,job step,520,time period,-8.684762954711914,hit_wordnet
17,4,job step,11,individual task,-9.894306182861328,hit_wordnet
18,4,job step,13,task,-10.503985404968262,hit_wordnet
19,4,job step,682,running,-10.837629318237305,hit_wordnet
20,4,job step,363,run,-11.432950973510742,hit_wordnet
21,5,accounting record,109,record,-9.226277351379395,hit_wordnet
22,5,accounting record,2,accounting information,-10.912975311279297,hit_wordnet
23,5,accounting record,520,time period,-12.131908416748047,hit_wordnet
24,5,accounting record,628,user record,-12.24821662902832,hit_wordnet
25,5,accounting record,15,valuable information,-12.614370346069336,hit_wordnet
26,6,simple text file,27,text file,-4.248348236083984,hit_wordnet
27,6,simple text file,1395,binary file,-8.477619171142578,hit_wordnet
28,6,simple text file,52,file,-10.284109115600586,hit_wordnet
29,6,simple text file,1326,executable file,-12.222983360290527,hit_wordnet
30,6,simple text file,2135,readable format,-12.313645362854004,hit_wordnet
31,7,database,517,entity,-8.507389068603516,hit_wordnet
32,7,database,520,time period,-9.157958984375,hit_wordnet
33,7,database,781,group,-10.571743965148926,hit_wordnet
34,7,database,326,list,-10.709622383117676,hit_wordnet
35,7,database,8,information,-11.233370780944824,hit_wordnet
