term_id,term,neighbor_id,neighbor,similarity
1,Slurm,501,Slurm controller,1.0000
1,Slurm,384,Slurm components,1.0000
1,Slurm,608,Slurm partition,0.9928
1,Slurm,2191,default distribution method,0.9850
1,Slurm,2074,default allocation method,0.9832
1,Slurm,2174,default allocation,0.9830
1,Slurm,2076,available CPUs,0.9817
1,Slurm,74,Slurm plugins,0.9813
1,Slurm,2127,Slurm abstract CPU ids,0.9811
1,Slurm,2102,task plugin,0.9807
2,accounting information,1883,same configuration information,0.9970
2,accounting information,1256,other information,0.9968
2,accounting information,464,detailed information,0.9964
2,accounting information,318,archiving information,0.9961
2,accounting information,528,relevant information,0.9959
2,accounting information,1187,historical information,0.9956
2,accounting information,1351,more time,0.9945
2,accounting information,1229,detailed queue information,0.9940
2,accounting information,1040,process information manager,0.9933
2,accounting information,1167,more help,0.9932
3,job,2207,multi-thread job,1.0000
3,job,762,hung jobs,1.0000
3,job,1277,jobs subdirectory,1.0000
3,job,2015,Monitoring jobs,1.0000
3,job,1301,specified jobs,1.0000
3,job,754,re-runnable job,1.0000
3,job,878,suspended jobs,1.0000
3,job,750,chunk job,0.9912
3,job,1580,Submit jobs,0.9909
3,job,680,other jobs,0.9892
4,job step,1475,job ID number,0.9847
4,job step,694,single task processes,0.9846
4,job step,2121,CPU management information,0.9816
4,job step,2088,same node,0.9805
4,job step,2016,CPU Management User,0.9788
4,job step,807,Interactive task,0.9783
4,job step,26,job step information,0.9769
4,job step,2097,Different tasks,0.9769
4,job step,827,host CPU architecture,0.9760
4,job step,216,partition,0.9757
5,Accounting records,109,records,0.9991
5,Accounting records,636,Accounting Interpretation,0.9990
5,Accounting records,117,Accounting,0.9990
5,Accounting records,354,accounting data,0.9985
5,Accounting records,591,accounting privileges,0.9975
5,Accounting records,579,other associations,0.9974
5,Accounting records,554,accounting reports,0.9973
5,Accounting records,191,accounting storage plugin,0.9969
5,Accounting records,62,password data,0.9968
5,Accounting records,539,accounting associations,0.9966
6,simple text file,319,separate configuration file,0.9994
6,simple text file,393,slurm.conf file,0.9993
6,simple text file,997,Keyword definition file,0.9992
6,simple text file,1842,specific files,0.9992
6,simple text file,27,text file,0.9992
6,simple text file,991,Global configuration files,0.9991
6,simple text file,1492,file permission mode -rw-------,0.9990
6,simple text file,1344,wrapper files,0.9989
6,simple text file,730,several configuration files,0.9989
6,simple text file,1793,incorrect file permissions,0.9989
7,database,217,preferred database,1.0000
7,database,182,same database,0.9946
7,database,77,database use,0.9930
7,database,376,database login name,0.9928
7,database,606,accounting database,0.9922
7,database,503,certain database entries,0.9895
7,database,592,database object,0.9891
7,database,67,database security,0.9860
7,database,46,MariaDB database,0.9853
7,database,495,production database,0.9851
8,Information,15,valuable information,1.0000
8,Information,2123,limited information,1.0000
8,Information,504,archived information,1.0000
8,Information,1100,Exchange initialization information,1.0000
8,Information,507,TRES information,1.0000
8,Information,522,more information,0.9953
8,Information,1187,historical information,0.9916
8,Information,1878,new information,0.9897
8,Information,1256,other information,0.9869
8,Information,2134,same information,0.9868
9,sacct command,1245,basic commands,0.9993
9,sacct command,1293,bstop command,0.9991
9,sacct command,1971,egosh command,0.9991
9,sacct command,1263,lsgrun command,0.9991
9,sacct command,1633,lshosts command,0.9991
9,sacct command,1299,bresume command,0.9990
9,sacct command,1576,FLEXlm command lmstat,0.9990
9,sacct command,930,automount command,0.9990
9,sacct command,1085,source command,0.9989
9,sacct command,1789,command request,0.9989
10,resource usage,1548,resource map,0.9991
10,resource usage,999,specific resources,0.9990
10,resource usage,895,resource consumers,0.9990
10,resource usage,868,Static resources,0.9989
10,resource usage,845,resource availability,0.9989
