head_text,head_canonical_id,frequency,example_terms_json
file,105,62,"[""open file"", ""configuration file"", ""service file"", ""default slurmrestd.service file"", ""slurm.conf file"", ""config file"", ""slurmd.service file"", ""local slurm config file"", ""default slurm config file"", ""slurm config file""]"
plugin,179,48,"[""multifactor plugin"", ""backfill plugin"", ""acct_gather_profile plugin"", ""slurm cli_filter plugin"", ""job_submit plugin"", ""lua plugin"", ""elasticsearch plugin"", ""slurm elasticsearch plugin"", ""spank plugin"", ""affinity plugin""]"
job,50,35,"[""batch job"", ""individual job"", ""interactive job"", ""heterogeneous job"", ""string job"", ""sibling job"", ""finished job"", ""container job"", ""scontrol show job"", ""running job""]"
slurm,82,33,"[""smd slurm"", ""slurm slurm"", ""building slurm"", ""testing slurm"", ""default slurm"", ""return slurm"", ""job accounting gather slurm"", ""https: github.com schedmd slurm"", ""cd slurm"", ""vi slurm""]"
parameter,268,27,"[""slurm.conf parameter"", ""slurm configuration parameter"", ""configuration parameter"", ""slurmctld daemon parameter"", ""path parameter"", ""query parameter"", ""important configuration parameter"", ""jobacctgatherfrequency parameter"", ""additional parameter"", ""schedulerparameter configuration parameter""]"
daemon,1268,24,"[""munge daemon"", ""slurmctld daemon"", ""slurmd daemon"", ""slurmrestd daemon"", ""slurm daemon"", ""slurm compute node daemon"", ""database daemon"", ""slurm node daemon"", ""slurm control daemon"", ""slurm database daemon""]"
limit,111,23,"[""memory limit"", ""resource limit"", ""time limit"", ""job time limit"", ""aggregate limit"", ""qos limit"", ""maximum time limit"", ""account limit"", ""maximum billing limit"", ""current limit""]"
option,215,22,"[""configuration option"", ""command line option"", ""slurm.conf option"", ""task distribution option"", ""bind option"", ""cpu option"", ""gang option"", ""slurm option"", ""qos option"", ""valid option""]"
time,42,21,"[""job submit time"", ""long time"", ""long total time"", ""cpu time"", ""build time"", ""job submission time"", ""configure time"", ""submit time"", ""maximum time"", ""start time""]"
node,409,21,"[""contiguous node"", ""compute node"", ""execution node"", ""slurm node"", ""login node"", ""slurmctld node"", ""slurmctldhost node"", ""consecutive node"", ""idle node"", ""single node""]"
command,1336,19,"[""squeue command"", ""slurm command"", ""srun command"", ""salloc command"", ""sbatch command"", ""slurmrestd command"", ""user command"", ""client command"", ""scancel command"", ""mpirun command""]"
resource,830,19,"[""billable trackable resource"", ""trackable resource"", ""burst buffer resource"", ""job resource"", ""consumable resource"", ""generic resource"", ""cpu resource"", ""compute resource"", ""unknown generic resource"", ""unknown trackable resource""]"
information,348,16,"[""slurm administrator information"", ""state information"", ""acct information"", ""configuration information"", ""detailed information"", ""job information"", ""gre information"", ""slurmctld daemon maintain gre information"", ""accounting information"", ""slurm information""]"
configuration,3,16,"[""system configuration"", ""slurm configuration"", ""slurmdbd configuration"", ""valid configuration"", ""slurm jobcomp configuration"", ""slurm accounting configuration"", ""slurm cluster configuration"", ""partition configuration"", ""node configuration"", ""multi cluster configuration""]"
number,123,15,"[""large number"", ""maximum number"", ""integer number"", ""integer total number"", ""port number"", ""small number"", ""slurm port number"", ""total number"", ""version number"", ""minimum number""]"
id,,15,"[""job id"", ""parent id"", ""string user id"", ""process id"", ""task id"", ""cpu id"", ""process group id"", ""user id"", ""slurm job id"", ""federated job id""]"
type,363,13,"[""return type"", ""media type"", ""medium type"", ""tre type"", ""major type"", ""minor type"", ""gre type"", ""system type"", ""scheduler type"", ""slurm authentication type""]"
