head_text,head_canonical_id,frequency,example_terms_json
slurm,82,692,"[""slurm configuration"", ""SlurmDBD"", ""integer slurm numeric error identifier format"", ""Slurm cli_filter plugins"", ""slurm communication"", ""Slurm configuration parameters"", ""slurm administrator information"", ""slurm configuration parameter"", ""Slurm Configuration"", ""slurm cli_filter plugin"", ""multiple Slurm"", ""Integer Slurm numeric error identifier format"", ""Slurm communications"", ""SlurmDBD Configuration"", ""Slurm administrator information""]"
job,50,225,"[""interactive job"", ""batch job"", ""job termination"", ""job states"", ""individual job"", ""job default"", ""Job default"", ""job id"", ""job array"", ""job submit time"", ""job_id"", ""JobAcctGatherType"", ""MinJobAge"", ""job state"", ""job throughput""]"
file,105,98,"[""config file"", ""log file"", ""local slurm config file"", ""slurmd.service file"", ""Slurm configuration file"", ""FileTxt"", ""open file"", ""slurm config file"", ""configuration file"", ""slurm.conf file"", ""slurm configuration file"", ""default slurmrestd.service file"", ""default slurm config file"", ""service file"", ""SlurmctldLogFile""]"
slurmctld,201,90,"[""slurmctld daemon parameter"", ""slurmctld daemon record"", ""PrologSlurmctld"", ""slurmctld daemon records"", ""separate slurmctld thread"", ""slurmctld daemon parameters"", ""global slurmctld lock"", ""slurmctld memory"", ""global slurmctld locks"", ""SlurmctldDebug"", ""request slurmctld reconfigure"", ""SlurmctldPort"", ""SlurmctldParameters"", ""EpilogSlurmctld"", ""slurmctld daemon""]"
configuration,3,89,"[""system configuration"", ""slurm configuration"", ""configuration option"", ""slurmdbd configuration v0.0.43_openapi_resp"", ""Typical configuration"", ""Slurm configuration parameters"", ""configuration options"", ""slurm configuration parameter"", ""configuration parameter"", ""System configuration"", ""Slurm Configuration"", ""slurmdbd configuration v0.0.43_openapi_slurmdbd_config_resp"", ""configuration information"", ""slurmdbd configuration"", ""SlurmDBD Configuration""]"
plugin,179,82,"[""slurm elasticsearch plugin"", ""acct_gather_profile plugin"", ""spank plugin"", ""slurm plugin api"", ""multifactor plugin"", ""backfill plugin"", ""job_submit plugin"", ""lua plugin"", ""TaskPlugin"", ""slurm cli_filter plugin"", ""Slurm elasticsearch plugin"", ""elasticsearch plugin"", ""Slurm Plugin API"", ""uint32_t plugin_version"", ""specific plugin""]"
slurmd,654,78,"[""slurmd_start_time"", ""string slurmd version"", ""String Slurmd version"", ""multiple slurmd daemons"", ""slurmd conf"", ""slurmd --conf"", ""SlurmdSpoolDir"", ""SlurmdPort"", ""slurmd state"", ""slurmd restart"", ""slurmd tmpf"", ""slurmd process"", ""slurmd format"", ""SlurmdDebug"", ""slurmd daemon""]"
node,409,76,"[""NodeName"", ""login node"", ""node feature"", ""execution node"", ""node format"", ""node features"", ""AllocNode"", ""nodelist node partition"", ""slurmctld node"", ""compute node"", ""node_name"", ""slurm node"", ""NodeList"", ""contiguous node"", ""node filtering""]"
daemon,1268,69,"[""slurmctld daemon parameter"", ""slurmctld daemon record"", ""slurmctld daemon records"", ""slurmctld daemon parameters"", ""slurmctld daemon maintains GRES information"", ""slurmctld daemon code"", ""slurmrestd daemon"", ""Munge daemon"", ""slurmd daemon"", ""database daemon"", ""slurm compute node daemon"", ""slurmctld daemon maintain gre information"", ""slurm daemon"", ""munge daemon"", ""slurmctld daemon""]"
time,42,55,"[""Long Time"", ""long time"", ""slurmd_start_time"", ""time system"", ""time_start"", ""time period"", ""time slurmdbd"", ""job submit time"", ""long total time"", ""time string"", ""time_end"", ""Long Total time"", ""end_time"", ""CPU time"", ""cpu time""]"
user,166,53,"[""string user id"", ""user root"", ""user %u"", ""String User ID"", ""user %u kill"", ""special user permission"", ""user_name"", ""specific user"", ""String User"", ""user_id"", ""special user permissions"", ""user list"", ""user/%U"", ""string user"", ""user/%U kill""]"
