id,child_canonical_id,child_canonical_term,parent_canonical_id,parent_canonical_term,score,method
1,1,slurm,683,process,-11.805997848510742,hit_wordnet
2,1,slurm,517,entity,-12.277599334716797,hit_wordnet
3,1,slurm,781,group,-12.505488395690918,hit_wordnet
4,1,slurm,513,tool,-13.631340980529785,hit_wordnet
5,1,slurm,2052,whole,-13.981968879699707,hit_wordnet
6,2,accounting,517,entity,-11.515514373779297,hit_wordnet
7,2,accounting,472,plan,-12.27165412902832,hit_wordnet
8,2,accounting,8,information,-12.285536766052246,hit_wordnet
9,2,accounting,452,transaction,-12.416091918945312,hit_wordnet
10,2,accounting,1139,disclosure,-12.689680099487305,hit_wordnet
11,3,job,390,work,-9.419742584228516,hit_wordnet
12,3,job,1436,working,-9.698474884033203,hit_wordnet
13,3,job,13,task,-10.281157493591309,hit_wordnet
14,3,job,381,enterprise,-11.397089958190918,hit_wordnet
15,3,job,452,transaction,-11.841984748840332,hit_wordnet
16,6,simple text,208,arbitrary text,-5.881114959716797,hit_wordnet
17,6,simple text,517,entity,-7.902750015258789,hit_wordnet
18,6,simple text,781,group,-9.398153305053711,hit_wordnet
19,6,simple text,2052,whole,-9.968214988708496,hit_wordnet
20,6,simple text,111,message,-11.132862091064453,hit_wordnet
21,7,database,517,entity,-8.507389068603516,hit_wordnet
22,7,database,781,group,-10.57174301147461,hit_wordnet
23,7,database,326,list,-10.709622383117676,hit_wordnet
24,7,database,8,information,-11.233367919921875,hit_wordnet
25,7,database,2052,whole,-11.27724552154541,hit_wordnet
26,8,information,517,entity,-6.647558212280273,hit_wordnet
27,8,information,1376,content,-7.590335845947266,hit_wordnet
28,8,information,137,communication,-7.939723968505859,hit_wordnet
29,8,information,721,concept,-8.696466445922852,hit_wordnet
30,8,information,111,message,-8.729841232299805,hit_wordnet
31,9,sacct,781,group,-9.004114151000977,hit_wordnet
32,9,sacct,517,entity,-9.247888565063477,hit_wordnet
33,9,sacct,683,process,-10.688003540039062,hit_wordnet
34,9,sacct,2052,whole,-11.608616828918457,hit_wordnet
35,9,sacct,839,object,-12.697236061096191,hit_wordnet
36,10,resource,530,utility,-9.035499572753906,hit_wordnet
37,10,resource,517,entity,-10.11034870147705,hit_wordnet
38,10,resource,1376,content,-10.768447875976562,hit_wordnet
39,10,resource,552,organization,-10.949869155883789,hit_wordnet
40,10,resource,2052,whole,-11.462186813354492,hit_wordnet
41,11,individual,517,entity,-6.8877105712890625,hit_wordnet
42,11,individual,781,group,-7.928918838500977,hit_wordnet
43,11,individual,2052,whole,-12.336909294128418,hit_wordnet
44,11,individual,683,process,-14.143834114074707,hit_wordnet
45,12,load,490,amount,-11.439496994018555,hit_wordnet
46,12,load,2052,whole,-11.785883903503418,hit_wordnet
47,12,load,390,work,-11.842388153076172,hit_wordnet
48,12,load,517,entity,-11.916658401489258,hit_wordnet
49,12,load,781,group,-12.227782249450684,hit_wordnet
50,13,task,674,event,-7.785237789154053,hit_wordnet
51,13,task,170,action,-7.868404388427734,hit_wordnet
52,13,task,390,work,-8.279520034790039,hit_wordnet
53,13,task,137,communication,-9.079353332519531,hit_wordnet
54,13,task,1606,situation,-9.178146362304688,hit_wordnet
55,14,sstat,517,entity,-13.92835807800293,hit_wordnet
56,14,sstat,781,group,-14.579154014587402,hit_wordnet
57,14,sstat,484,unit,-15.311161994934082,hit_wordnet
58,14,sstat,11,individual,-15.416873931884766,hit_wordnet
59,14,sstat,1835,read lsf,-15.973299026489258,hit_wordnet
60,15,valuable,517,entity,-10.599824905395508,hit_wordnet
61,15,valuable,781,group,-12.237360954284668,hit_wordnet
