id,child_canonical_id,child_canonical_term,parent_canonical_id,parent_canonical_term,score,method,doc_id,sent_id,evidence_text
1,2,accounting information,8,information,1.0,head,,,
2,4,job step,643,step,1.0,head,,,
3,5,accounting record,109,record,1.0,head,,,
4,6,simple text file,52,file,1.0,head,,,
5,9,sacct command,293,command,1.0,head,,,
6,10,resource usage,344,usage,1.0,head,,,
7,11,individual task,13,task,1.0,head,,,
8,12,load imbalance,16,imbalance,1.0,head,,,
9,14,sstat command,293,command,1.0,head,,,
10,15,valuable information,8,information,1.0,head,,,
11,19,time interval,653,interval,1.0,head,,,
12,20,distinct plugin type,204,type,1.0,head,,,
13,21,resource accounting,117,accounting,1.0,head,,,
14,22,slurm configuration parameter,131,parameter,1.0,head,,,
15,25,detailed job,3,job,1.0,head,,,
16,26,job step information,8,information,1.0,head,,,
17,27,text file,52,file,1.0,head,,,
18,35,job completion information,8,information,1.0,head,,,
19,40,completion time,39,time,1.0,head,,,
20,41,exit statu,766,statu,1.0,head,,,
21,43,only basic job information,8,information,1.0,head,,,
22,46,mariadb database,7,database,1.0,head,,,
23,48,appropriate plugin,23,plugin,1.0,head,,,
24,55,similar tool,513,tool,1.0,head,,,
25,56,log file,52,file,1.0,head,,,
26,58,slurmctld daemon,79,daemon,1.0,head,,,
27,59,new log file,52,file,1.0,head,,,
28,62,password datum,60,datum,1.0,head,,,
29,63,slurm control daemon,79,daemon,1.0,head,,,
30,65,user command,293,command,1.0,head,,,
31,67,database security,136,security,1.0,head,,,
32,68,intermediate daemon,79,daemon,1.0,head,,,
33,69,well security,136,security,1.0,head,,,
34,71,slurm database daemon,79,daemon,1.0,head,,,
35,72,such service,95,service,1.0,head,,,
36,74,slurm plugin,23,plugin,1.0,head,,,
37,76,slurm sql,245,sql,1.0,head,,,
38,78,other slurm command,293,command,1.0,head,,,
39,83,mysql plugin,23,plugin,1.0,head,,,
40,84,slurmdbd plugin,23,plugin,1.0,head,,,
41,86,sacctmgr list cluster,85,cluster,1.0,head,,,
42,88,cluster snowflake,87,snowflake,1.0,head,,,
43,92,same time,39,time,1.0,head,,,
44,93,unexpected result,921,result,1.0,head,,,
45,94,internal cache,101,cache,1.0,head,,,
46,96,cached datum,60,datum,1.0,head,,,
47,97,local storage,315,storage,1.0,head,,,
48,100,slurmctld start,304,start,1.0,head,,,
49,102,valid bank account,215,account,1.0,head,,,
50,103,user limit,126,limit,1.0,head,,,
51,106,critical datum,60,datum,1.0,head,,,
52,107,step accounting record,109,record,1.0,head,,,
53,110,maximum queue size,289,size,1.0,head,,,
54,114,single location,198,location,1.0,head,,,
55,118,user id,1493,id,1.0,head,,,
56,121,user id number,108,number,1.0,head,,,
57,125,user account,215,account,1.0,head,,,
58,130,lowercase username,133,username,1.0,head,,,
59,134,uppercase character,1680,character,1.0,head,,,
60,140,normal munge configuration,73,configuration,1.0,head,,,
61,143,single munge key,147,key,1.0,head,,,
62,144,unique key,147,key,1.0,head,,,
63,145,second key,147,key,1.0,head,,,
64,148,single configuration file,52,file,1.0,head,,,
65,149,different daemon,79,daemon,1.0,head,,,
66,150,different configuration,73,configuration,1.0,head,,,
