id,child_canonical_id,child_canonical_term,parent_canonical_id,parent_canonical_term,score,method,doc_id,sent_id,evidence_text
2,3993,slurmdbd plugin,179,plugin,1.0,pattern_def,doc_4387,doc_4387_sent_00028,"Note if you switch from using the MySQL plugin to use the SlurmDBD plugin you must make sure the cluster has been added to the database. The MySQL plugin doesn't require this, but also will not hurt things if you have it there when using the MySQL plugin. You can verify with
sacctmgr list cluster"
4,4028,passwd file,105,file,1.0,pattern_def,doc_4387,doc_4387_sent_00045,"If not using MUNGE, you should add anyone you want to be an administrator or operator to the passwd file."
25,2153,affinity plugin,179,plugin,1.0,pattern_def,doc_ebf2,doc_ebf2_sent_00044,"This will allow it to constrain resources to a job plus getting the advantage of the affinity plugin (order doesn't matter):
TaskPlugin=task/cgroup,task/affinityjobacct_gather/cgroup plugin
The jobacct_gather/cgroup plugin is an alternative to the jobacct_gather/linux plugin for the collection of accounting statistics for jobs, steps and tasks."
39,3062,text file,105,file,1.0,pattern_def,doc_2cc9,doc_2cc9_sent_00075,"None: No job accounting storage
 SlurmDBD: Write job accounting to SlurmDBD (database daemon) which can securely save the data from many Slurm managed clusters into a common database
 AccountingStorageLoc: Location specification or database name. This is the location of the text file to be written to (used by Log only)."
45,1456,execution node,409,node,1.0,pattern_def,doc_0ac6,doc_0ac6_sent_00019,"oci.conf must be configured on the execution node for the job, otherwise the requested container will be ignored by Slurm (but can be used by the job or any given plugin)."
53,4885,task plugin,179,plugin,1.0,pattern_def,doc_d9be,doc_d9be_sent_00051,Step 4 is performed by slurmd and the task plugin.
54,2331,cons_tre plugin,179,plugin,1.0,pattern_def,doc_d9be,doc_d9be_sent_00075,"State=IDLE
PartitionName=regnodes Nodes=n0,n1,n2 OverSubscribe=YES Default=YES State=UP
PartitionName=hypernode Nodes=n3 State=UP
These examples show the use of the cons_tres plugin."
68,1349,elasticsearch plugin,179,plugin,1.0,pattern_def,doc_0605,doc_0605_sent_00027,"Acknowledgments
The Elasticsearch plugin was created as part of Alejandro Sanchez's Master's Thesis."
91,4698,patch file,105,file,1.0,pattern_def,doc_5755,doc_5755_sent_00332,"/dev/null
$ rpmbuild -ta slurm-23.11.1.tar.bz2 > /dev/null
Alternatively, as of Slurm 24.11.0 when using rpmbuild, a patched package may be created directly by placing the patch file in the same directory as the source tarball and executing the following command:
$ rpmbuild -ta --define 'patch security.patch' slurm-24.11.0.tar.bz2
Why am I being offered an automatic update for Slurm?
EPEL has added Slurm packages to their repository to make them more widely available to the Linux community."
98,5230,head node,409,node,1.0,pattern_def,doc_5755,doc_5755_sent_00463,Restart the slurmctld daemon (e.g. systemctl start slurmctld on the head node)
103,3685,error file,105,file,1.0,pattern_def,doc_5755,doc_5755_sent_00535,Slurm assumes that this file descriptor is only owned by the user process while running. The file descriptor is opened as specified and passed to the task so it makes use of the file descriptor directly. Slumstepd is able to log error messages to the error file by duplicating the standard error of the process.
104,4517,output file,105,file,1.0,pattern_def,doc_5755,doc_5755_sent_00538,"The script is running as SlurmUser, so intensive validation of the file name may be required (e.g. to prevent users from specifying something like /etc/passwd as the output file)."
105,5329,cgroup plugin,179,plugin,1.0,pattern_def,doc_5755,doc_5755_sent_00543,We rely upon the cgroup plugin for most systems.
116,4737,core file,105,file,1.0,pattern_def,doc_5755,doc_5755_sent_00629,"In order to generate a backtrace you must use gdb, specify the path to the slurm* binary that generated the crash, and specify the path to the core file."
120,97,open file,105,file,1.0,pattern_def,doc_5755,doc_5755_sent_00648,It is recommended that you set the open file hard limit to 8192 across the cluster.
121,2403,user job,50,job,1.0,pattern_def,doc_5755,doc_5755_sent_00649,"SlurmdDebug fails to log job step information at the appropriate level
There are two programs involved here. One is slurmd, which is a persistent daemon running at the desired debug level. The second program is slurmstepd, which executes the user job and its debug level is controlled by the user."
123,795,sibling job,50,job,1.0,pattern_def,doc_7940,doc_7940_sent_00050,Specific pending sibling jobs can be removed by using scancel's --sibling=<cluster_name> option to remove the sibling job from the job's active sibling list.
125,2380,job queue,308,queue,1.0,pattern_def,doc_1988,doc_1988_sent_00044,"This thread sleeps for the configured SchedulerTimeSlice interval. When it wakes up, it checks each partition for suspended jobs. If suspended jobs are found then the timeslicer thread moves all running jobs to the end of the job queue."
134,9285,hdf5,105,file,1.0,pattern_def,doc_e541,doc_e541_sent_00050,"$SLURM_JOB_ID""
Data Extraction
The sh5util program can also be used to extract specific data from the HDF5 file and write it in comma separated value (csv) form for importation into other analysis tools such as spreadsheets."
142,5651,datawarp plugin,179,plugin,1.0,pattern_def,doc_5d35,doc_5d35_sent_00034,"The batch script's first component of the job will be modified in order to replace the burst buffer directives of other job components with ""#EXCLUDED directive"" where directive is ""DW"" or ""BB"" for the datawarp plugin and is the configured value for the lua plugin."
173,2428,scancel command,1336,command,1.0,pattern_def,doc_4d9f,doc_4d9f_sent_00031,"Scancel Command Use
If the job ID of a job array is specified as input to the scancel command then all elements of that job array will be cancelled."
180,3966,sacct command,1336,command,1.0,pattern_def,doc_9fd4,doc_9fd4_sent_00014,Job and step records sent to the Slurm db can be viewed using the sacct command. The default sacct output contains an ExitCode field whose format mirrors the output of scontrol and sview described above.
189,1273,lua plugin,179,plugin,1.0,pattern_def,doc_e8f0,doc_e8f0_sent_00017,"Slurm can be configured to use multiple job_submit plugins if desired, however the lua plugin will only execute one lua script named ""job_submit.lua"" located in the default script directory (typically the subdirectory ""etc"" of the installation directory)."
191,3261,state file,105,file,1.0,pattern_def,doc_32e0,doc_32e0_sent_00029,"You must be using librdkafka v1.0.0 or later in order to take advantage of the purge functionality described above. With previous versions the outgoing queue can not be purged to the state file on shutdown, which means that any messages that weren't delivered before the termination of the kafka plugin will be lost."
192,4021,key file,105,file,1.0,pattern_def,doc_6b88,doc_6b88_sent_00026,"count=1
chown slurm:slurm /var/spool/slurm/statesave/jwt_hs256.key
chmod 0600 /var/spool/slurm/statesave/jwt_hs256.key
chown slurm:slurm /var/spool/slurm/statesave
chmod 0755 /var/spool/slurm/statesave
The key does not have to be in the StateSaveLocation, but that is a convenient location if you have multiple controllers since it is shared between them. The key should not be placed in a directory where non-admin users might be able to access it. The key file should be owned by SlurmUser or root, with recommended permissions of 0400."
194,6112,jwk,105,file,1.0,pattern_def,doc_6b88,doc_6b88_sent_00038,"It can be re-enabled by explicitly configuring the jwt_key= option alongside jwks=.
Note: Slurm ignores the x5c and x5t fields and does not attempt to verify the certificate chain if presented in the JWKS file."
208,755,mcs,179,plugin,1.0,pattern_def,doc_50f7,doc_50f7_sent_00030,"So labels can be configured to be enforced or set on demand, and the specific MCS Plugin is responsible for checking the validity of these labels. When enforced, the MCS Plugin implementation will always associate a MCS label to a submitted job, either the default value or the one requested by the user (if it's considered correct)."
212,2448,mpi,50,job,1.0,pattern_def,doc_2329,doc_2329_sent_00010,"Two Slurm parameters control which PMI (Process Management Interface) implementation will be supported. Proper configuration is essential for Slurm to establish the proper environment for the MPI job, such as setting the appropriate environment variables. The MpiDefault configuration parameter in slurm.conf establishes the system's default PMI to be used."
222,2594,mpirun command,1336,command,1.0,pattern_def,doc_2329,doc_2329_sent_00059,"When launched within an allocation the mpirun command will automatically read the environment variables set by Slurm such as nodes, cpus, tasks, etc, in order to start the required hydra daemons on every node."
226,7599,slurmd node,409,node,1.0,pattern_def,doc_e643,doc_e643_sent_00031,"One possible scenario is if a user's shell is /sbin/nologin on the slurmctld machine but /bin/bash on the slurmd node. An interactive salloc may fail to launch since it will try to spawn the default shell, which according to the slurmctld is /sbin/nologin."
232,1338,sbatch command,1336,command,1.0,pattern_def,doc_8ca0,doc_8ca0_sent_00042,The sbatch command can use the --wait-all-nodes option to override this configuration parameter.
233,2251,client command,1336,command,1.0,pattern_def,doc_8ca0,doc_8ca0_sent_00044,"Options of interest include:
cloud_dns
By default, Slurm expects that the network addresses for cloud nodes won't be known until creation of the node and that Slurm will be notified of the node's address upon registration. Since Slurm communications rely on the node configuration found in the slurm.conf, Slurm will tell the client command, after waiting for all nodes to boot, each node's IP address. However, in environments where the nodes are in DNS, this step can be avoided by configuring this option."
236,2240,login node,409,node,1.0,pattern_def,doc_8ca0,doc_8ca0_sent_00147,"In the case of the salloc command, once the allocation is made a new shell will be created on the login node."
237,8564,preemptable job,50,job,1.0,pattern_def,doc_c8a9,doc_c8a9_sent_00003,"When a job that can preempt others is allocated resources that are already allocated to one or more jobs that could be preempted by the first job, the preemptable job(s) are preempted."
242,8569,preempted job,50,job,1.0,pattern_def,doc_c8a9,doc_c8a9_sent_00043,"Because gang scheduling is performed independently for each partition, if using PreemptType=preempt/partition_prio then jobs in higher PriorityTier partitions will suspend jobs in lower PriorityTier partitions to run on the released resources. Only when the preemptor job ends then the suspended jobs will be resumed by the Gang scheduler. If PreemptType=preempt/qos is configured and if the preempted job(s) and the preemptor job from are on the same partition, then they will share resources with the Gang scheduler (time-slicing)."
249,8546,preemptor job,50,job,1.0,pattern_def,doc_c8a9,doc_c8a9_sent_00092,"This leaves the gang scheduler in charge of controlling which jobs should run on the over-allocated resources. If PreemptMode=SUSPEND, jobs are suspended using the same internal functions that support scontrol suspend and scontrol resume. A good way to observe the operation of the gang scheduler is by running squeue -i<time> in a terminal window.
Limitations of Preemption During Backfill Scheduling
For performance reasons, the backfill scheduler reserves whole nodes for jobs, not partial nodes. If during backfill scheduling a job preempts one or more other jobs, the whole nodes for those preempted jobs are reserved for the preemptor job, even if the preemptor job requested fewer resources than that."
251,1448,compute node,409,node,1.0,pattern_def,doc_61ca,doc_61ca_sent_00025,"Description:
Called within the slurmd as root before the first step of a job starts on the compute node."
252,3753,single node,409,node,1.0,pattern_def,doc_ac8b,doc_ac8b_sent_00038,"A job that requests all the nodes on the machine will get a job size factor of 1.0. When the PriorityFavorSmall Boolean is YES, the single node job will receive the 1.0 job size factor."
256,4527,current job,50,job,1.0,pattern_def,doc_8a75,doc_8a75_sent_00129,Step ID of the current job. Available in SrunProlog and SrunEpilog.
259,2325,running job,50,job,1.0,pattern_def,doc_289e,doc_289e_sent_00014,"When there is a queued job with a QOS that is allowed to preempt a running job of another QOS, the Slurm scheduler will preempt the running job."
261,2836,sacctmgr command,1336,command,1.0,pattern_def,doc_289e,doc_289e_sent_00080,"QOS examples
QOS manipulation examples. All QOS operations are done using the sacctmgr command. The default output of 'sacctmgr show qos' is very long given the large number of limits and options available"
264,4405,sinfo command,1336,command,1.0,pattern_def,doc_48b2,doc_48b2_sent_00047,The * following the state down indicate the nodes are not responding. Note the use of a concise expression for node name specification with a common prefix adev and numeric ranges or specific numbers identified. This format allows for very large clusters to be easily managed. The sinfo command has many options to easily let you view the information of interest to you in whatever format you prefer. See the man page for more information.
266,212,squeue command,1336,command,1.0,pattern_def,doc_48b2,doc_48b2_sent_00052,The squeue command has many options to easily let you view the information of interest to you in whatever format you prefer. See the man page for more information.
269,1340,default partition,416,partition,1.0,pattern_def,doc_48b2,doc_48b2_sent_00066,The default partition will be used.
272,1337,salloc command,1336,command,1.0,pattern_def,doc_48b2,doc_48b2_sent_00080,"""adev[9-10]"" -o my.stdout my.script
sbatch: Submitted batch job 469
adev0: cat my.stdout
adev9
0: /home/jette
1: /home/jette
2: /home/jette
3: /home/jette
The final mode of operation is to create a resource allocation and spawn job steps within that allocation. The salloc command is used to create a resource allocation and typically start a shell within that allocation. One or more job steps would typically be executed within that allocation using the srun command to launch the tasks (depending upon the type of MPI being used, the launch mechanism may differ, see MPI details below)."
