id,child_canonical_id,child_canonical_term,parent_head_text,parent_canonical_id,parent_canonical_term,method,score,created_at
1,1,effective usage ratio,ratio,,ratio,head_parent_candidates,1.0,2025-12-17T15:05:15Z
2,6,share factor,factor,2842,factor,head_parent_candidates,1.0,2025-12-17T15:05:15Z
3,14,multifactor plugin,plugin,179,plugin,head_parent_candidates,1.0,2025-12-17T15:05:15Z
4,38,usage ratio,ratio,,ratio,head_parent_candidates,1.0,2025-12-17T15:05:15Z
5,43,parent account,account,10,account,head_parent_candidates,1.0,2025-12-17T15:05:15Z
6,65,slurm.conf parameter,parameter,268,parameter,head_parent_candidates,1.0,2025-12-17T15:05:15Z
7,67,man page,page,1808,page,head_parent_candidates,1.0,2025-12-17T15:05:15Z
8,74,slurm administrator information,information,348,information,head_parent_candidates,1.0,2025-12-17T15:05:15Z
9,90,high level,level,22,level,head_parent_candidates,1.0,2025-12-17T15:05:15Z
10,93,system configuration,configuration,3,configuration,head_parent_candidates,1.0,2025-12-17T15:05:15Z
11,96,large number,number,123,number,head_parent_candidates,1.0,2025-12-17T15:05:15Z
12,97,open file,file,105,file,head_parent_candidates,1.0,2025-12-17T15:05:15Z
13,110,maximum number,number,123,number,head_parent_candidates,1.0,2025-12-17T15:05:15Z
14,157,large cluster,cluster,272,cluster,head_parent_candidates,1.0,2025-12-17T15:05:15Z
15,163,munge daemon,daemon,1268,daemon,head_parent_candidates,1.0,2025-12-17T15:05:15Z
16,169,slurmctld daemon,daemon,1268,daemon,head_parent_candidates,1.0,2025-12-17T15:05:15Z
17,170,memory size,size,278,size,head_parent_candidates,1.0,2025-12-17T15:05:15Z
18,172,stack size,size,278,size,head_parent_candidates,1.0,2025-12-17T15:05:15Z
19,173,slurm configuration,configuration,3,configuration,head_parent_candidates,1.0,2025-12-17T15:05:15Z
20,174,slurm configuration parameter,parameter,268,parameter,head_parent_candidates,1.0,2025-12-17T15:05:15Z
21,176,configuration option,option,215,option,head_parent_candidates,1.0,2025-12-17T15:05:15Z
22,178,accounting record,record,210,record,head_parent_candidates,1.0,2025-12-17T15:05:15Z
23,198,internal lock,lock,291,lock,head_parent_candidates,1.0,2025-12-17T15:05:15Z
24,203,slurmctld daemon record,record,210,record,head_parent_candidates,1.0,2025-12-17T15:05:15Z
25,211,slurmctld memory,memory,116,memory,head_parent_candidates,1.0,2025-12-17T15:05:15Z
26,212,squeue command,command,1336,command,head_parent_candidates,1.0,2025-12-17T15:05:15Z
27,220,separate slurmctld thread,thread,160,thread,head_parent_candidates,1.0,2025-12-17T15:05:15Z
28,233,batch job,job,50,job,head_parent_candidates,1.0,2025-12-17T15:05:15Z
29,237,job submit time,time,42,time,head_parent_candidates,1.0,2025-12-17T15:05:15Z
30,241,individual job,job,50,job,head_parent_candidates,1.0,2025-12-17T15:05:15Z
31,246,interactive job,job,50,job,head_parent_candidates,1.0,2025-12-17T15:05:15Z
32,250,configuration parameter,parameter,268,parameter,head_parent_candidates,1.0,2025-12-17T15:05:15Z
33,252,job termination,termination,764,termination,head_parent_candidates,1.0,2025-12-17T15:05:15Z
34,255,scheduling logic,logic,309,logic,head_parent_candidates,1.0,2025-12-17T15:05:15Z
35,262,backfill plugin,plugin,179,plugin,head_parent_candidates,1.0,2025-12-17T15:05:15Z
36,276,slurmctld daemon parameter,parameter,268,parameter,head_parent_candidates,1.0,2025-12-17T15:05:15Z
37,284,thread count,count,1026,count,head_parent_candidates,1.0,2025-12-17T15:05:15Z
38,290,global slurmctld lock,lock,291,lock,head_parent_candidates,1.0,2025-12-17T15:05:15Z
39,320,operating system,system,119,system,head_parent_candidates,1.0,2025-12-17T15:05:15Z
40,324,local storage,storage,1284,storage,head_parent_candidates,1.0,2025-12-17T15:05:15Z
41,331,remote procedure call,call,1054,call,head_parent_candidates,1.0,2025-12-17T15:05:15Z
42,344,slurmdbd configuration,configuration,3,configuration,head_parent_candidates,1.0,2025-12-17T15:05:15Z
43,346,time slurmdbd,slurmdbd,182,slurmdbd,head_parent_candidates,1.0,2025-12-17T15:05:15Z
44,356,job default,default,118,default,head_parent_candidates,1.0,2025-12-17T15:05:15Z
45,358,query parameter â,â,,â,head_parent_candidates,1.0,2025-12-17T15:05:15Z
46,360,return type,type,363,type,head_parent_candidates,1.0,2025-12-17T15:05:15Z
47,367,api call,call,1054,call,head_parent_candidates,1.0,2025-12-17T15:05:15Z
48,368,media type,type,363,type,head_parent_candidates,1.0,2025-12-17T15:05:15Z
49,369,accept request header,header,3364,header,head_parent_candidates,1.0,2025-12-17T15:05:15Z
50,370,type response header,header,3364,header,head_parent_candidates,1.0,2025-12-17T15:05:15Z
51,375,medium type,type,363,type,head_parent_candidates,1.0,2025-12-17T15:05:15Z
52,376,type request header,header,3364,header,head_parent_candidates,1.0,2025-12-17T15:05:15Z
53,379,body parameter â,â,,â,head_parent_candidates,1.0,2025-12-17T15:05:15Z
54,382,path parameter,parameter,268,parameter,head_parent_candidates,1.0,2025-12-17T15:05:15Z
55,390,query parameter,parameter,268,parameter,head_parent_candidates,1.0,2025-12-17T15:05:15Z
56,396,job state,state,395,state,head_parent_candidates,1.0,2025-12-17T15:05:15Z
57,399,state information,information,348,information,head_parent_candidates,1.0,2025-12-17T15:05:15Z
58,431,job allocation,allocation,1160,allocation,head_parent_candidates,1.0,2025-12-17T15:05:15Z
59,454,list default,default,118,default,head_parent_candidates,1.0,2025-12-17T15:05:15Z
60,460,raw qos,qos,472,qos,head_parent_candidates,1.0,2025-12-17T15:05:15Z
61,462,acct information,information,348,information,head_parent_candidates,1.0,2025-12-17T15:05:15Z
62,466,output format default,default,118,default,head_parent_candidates,1.0,2025-12-17T15:05:15Z
63,471,parent account default,default,118,default,head_parent_candidates,1.0,2025-12-17T15:05:15Z
64,487,cluster default,default,118,default,head_parent_candidates,1.0,2025-12-17T15:05:15Z
65,489,usage default,default,118,default,head_parent_candidates,1.0,2025-12-17T15:05:15Z
66,504,association default,default,118,default,head_parent_candidates,1.0,2025-12-17T15:05:15Z
67,506,coordinator default,default,118,default,head_parent_candidates,1.0,2025-12-17T15:05:15Z
68,523,cluster list,list,373,list,head_parent_candidates,1.0,2025-12-17T15:05:15Z
69,525,configuration information,information,348,information,head_parent_candidates,1.0,2025-12-17T15:05:15Z
70,551,heterogeneous job,job,50,job,head_parent_candidates,1.0,2025-12-17T15:05:15Z
71,552,job description,description,380,description,head_parent_candidates,1.0,2025-12-17T15:05:15Z
72,553,job list,list,373,list,head_parent_candidates,1.0,2025-12-17T15:05:15Z
73,609,wckey default,default,118,default,head_parent_candidates,1.0,2025-12-17T15:05:15Z
74,610,user list,list,373,list,head_parent_candidates,1.0,2025-12-17T15:05:15Z
75,645,time string,string,681,string,head_parent_candidates,1.0,2025-12-17T15:05:15Z
76,657,slurmd daemon,daemon,1268,daemon,head_parent_candidates,1.0,2025-12-17T15:05:15Z
77,663,long time,time,42,time,head_parent_candidates,1.0,2025-12-17T15:05:15Z
78,664,energy datum,datum,1232,datum,head_parent_candidates,1.0,2025-12-17T15:05:15Z
79,665,string account,account,10,account,head_parent_candidates,1.0,2025-12-17T15:05:15Z
80,666,string cluster,cluster,272,cluster,head_parent_candidates,1.0,2025-12-17T15:05:15Z
81,668,string arbitrary comment,comment,667,comment,head_parent_candidates,1.0,2025-12-17T15:05:15Z
82,682,string partition,partition,416,partition,head_parent_candidates,1.0,2025-12-17T15:05:15Z
83,697,string user,user,166,user,head_parent_candidates,1.0,2025-12-17T15:05:15Z
84,726,primary controller,controller,709,controller,head_parent_candidates,1.0,2025-12-17T15:05:15Z
85,728,number content format,format,464,format,head_parent_candidates,1.0,2025-12-17T15:05:15Z
86,730,string arbitrary string,string,681,string,head_parent_candidates,1.0,2025-12-17T15:05:15Z
87,740,job format,format,464,format,head_parent_candidates,1.0,2025-12-17T15:05:15Z
88,747,oci container bundle,bundle,1457,bundle,head_parent_candidates,1.0,2025-12-17T15:05:15Z
89,754,string job,job,50,job,head_parent_candidates,1.0,2025-12-17T15:05:15Z
90,780,resource allocation,allocation,1160,allocation,head_parent_candidates,1.0,2025-12-17T15:05:15Z
91,788,batch script,script,197,script,head_parent_candidates,1.0,2025-12-17T15:05:15Z
92,795,sibling job,job,50,job,head_parent_candidates,1.0,2025-12-17T15:05:15Z
93,797,contiguous node,node,409,node,head_parent_candidates,1.0,2025-12-17T15:05:15Z
94,817,integer number,number,123,number,head_parent_candidates,1.0,2025-12-17T15:05:15Z
95,831,time period,period,2311,period,head_parent_candidates,1.0,2025-12-17T15:05:15Z
96,848,job step,step,432,step,head_parent_candidates,1.0,2025-12-17T15:05:15Z
97,850,task format,format,464,format,head_parent_candidates,1.0,2025-12-17T15:05:15Z
98,864,acct_gather_profile plugin,plugin,179,plugin,head_parent_candidates,1.0,2025-12-17T15:05:15Z
99,883,heterogeneous job component,component,550,component,head_parent_candidates,1.0,2025-12-17T15:05:15Z
100,900,string tre,tre,603,tre,head_parent_candidates,1.0,2025-12-17T15:05:15Z
101,921,integer total number,number,123,number,head_parent_candidates,1.0,2025-12-17T15:05:15Z
102,950,slurmd format,format,464,format,head_parent_candidates,1.0,2025-12-17T15:05:15Z
103,953,node format,format,464,format,head_parent_candidates,1.0,2025-12-17T15:05:15Z
104,969,billable trackable resource,resource,830,resource,head_parent_candidates,1.0,2025-12-17T15:05:15Z
105,971,physical processor socket,socket,142,socket,head_parent_candidates,1.0,2025-12-17T15:05:15Z
106,973,logical thread,thread,160,thread,head_parent_candidates,1.0,2025-12-17T15:05:15Z
107,984,trackable resource,resource,830,resource,head_parent_candidates,1.0,2025-12-17T15:05:15Z
108,986,string slurmd version,version,985,version,head_parent_candidates,1.0,2025-12-17T15:05:15Z
109,999,integer slurm numeric error identifier format,format,464,format,head_parent_candidates,1.0,2025-12-17T15:05:15Z
110,1007,return code,code,1788,code,head_parent_candidates,1.0,2025-12-17T15:05:15Z
111,1021,node feature,feature,328,feature,head_parent_candidates,1.0,2025-12-17T15:05:15Z
112,1034,burst buffer resource,resource,830,resource,head_parent_candidates,1.0,2025-12-17T15:05:15Z
113,1060,reset format,format,464,format,head_parent_candidates,1.0,2025-12-17T15:05:15Z
114,1078,backfill scheduler,scheduler,335,scheduler,head_parent_candidates,1.0,2025-12-17T15:05:15Z
115,1095,long total time,time,42,time,head_parent_candidates,1.0,2025-12-17T15:05:15Z
116,1111,current state,state,395,state,head_parent_candidates,1.0,2025-12-17T15:05:15Z
117,1161,job resource,resource,830,resource,head_parent_candidates,1.0,2025-12-17T15:05:15Z
118,1183,tre type,type,363,type,head_parent_candidates,1.0,2025-12-17T15:05:15Z
119,1190,last_run format,format,464,format,head_parent_candidates,1.0,2025-12-17T15:05:15Z
120,1207,slurm cli_filter plugin,plugin,179,plugin,head_parent_candidates,1.0,2025-12-17T15:05:15Z
121,1220,job component,component,550,component,head_parent_candidates,1.0,2025-12-17T15:05:15Z
122,1223,slurm controller,controller,709,controller,head_parent_candidates,1.0,2025-12-17T15:05:15Z
123,1234,job_submit plugin,plugin,179,plugin,head_parent_candidates,1.0,2025-12-17T15:05:15Z
124,1242,command line option,option,215,option,head_parent_candidates,1.0,2025-12-17T15:05:15Z
125,1251,alternate slurm.conf,slurm.conf,1593,slurm.conf,head_parent_candidates,1.0,2025-12-17T15:05:15Z
126,1254,slurm plugin api,api,1208,api,head_parent_candidates,1.0,2025-12-17T15:05:15Z
127,1255,ascii text string,string,681,string,head_parent_candidates,1.0,2025-12-17T15:05:15Z
128,1256,major type,type,363,type,head_parent_candidates,1.0,2025-12-17T15:05:15Z
129,1257,minor type,type,363,type,head_parent_candidates,1.0,2025-12-17T15:05:15Z
130,1261,slurm distribution,distribution,1976,distribution,head_parent_candidates,1.0,2025-12-17T15:05:15Z
131,1267,slurm command,command,1336,command,head_parent_candidates,1.0,2025-12-17T15:05:15Z
132,1271,slurm function,function,64,function,head_parent_candidates,1.0,2025-12-17T15:05:15Z
133,1273,lua plugin,plugin,179,plugin,head_parent_candidates,1.0,2025-12-17T15:05:15Z
134,1274,lua script,script,197,script,head_parent_candidates,1.0,2025-12-17T15:05:15Z
135,1278,installation directory,directory,1496,directory,head_parent_candidates,1.0,2025-12-17T15:05:15Z
136,1279,api function,function,64,function,head_parent_candidates,1.0,2025-12-17T15:05:15Z
137,1285,fini function,function,64,function,head_parent_candidates,1.0,2025-12-17T15:05:15Z
138,1287,system library,library,2537,library,head_parent_candidates,1.0,2025-12-17T15:05:15Z
139,1288,time system,system,119,system,head_parent_candidates,1.0,2025-12-17T15:05:15Z
140,1296,command line,line,1875,line,head_parent_candidates,1.0,2025-12-17T15:05:15Z
141,1300,srun command,command,1336,command,head_parent_candidates,1.0,2025-12-17T15:05:15Z
142,1302,job environment,environment,175,environment,head_parent_candidates,1.0,2025-12-17T15:05:15Z
143,1309,slurm option datum structure,structure,2190,structure,head_parent_candidates,1.0,2025-12-17T15:05:15Z
144,1315,environment variable,variable,135,variable,head_parent_candidates,1.0,2025-12-17T15:05:15Z
145,1318,datum structure,structure,2190,structure,head_parent_candidates,1.0,2025-12-17T15:05:15Z
146,1333,source code,code,1788,code,head_parent_candidates,1.0,2025-12-17T15:05:15Z
147,1337,salloc command,command,1336,command,head_parent_candidates,1.0,2025-12-17T15:05:15Z
148,1338,sbatch command,command,1336,command,head_parent_candidates,1.0,2025-12-17T15:05:15Z
149,1340,default partition,partition,416,partition,head_parent_candidates,1.0,2025-12-17T15:05:15Z
150,1345,finished job,job,50,job,head_parent_candidates,1.0,2025-12-17T15:05:15Z
151,1349,elasticsearch plugin,plugin,179,plugin,head_parent_candidates,1.0,2025-12-17T15:05:15Z
152,1366,slurm.conf option,option,215,option,head_parent_candidates,1.0,2025-12-17T15:05:15Z
153,1372,port number,number,123,number,head_parent_candidates,1.0,2025-12-17T15:05:15Z
154,1375,slurm elasticsearch plugin,plugin,179,plugin,head_parent_candidates,1.0,2025-12-17T15:05:15Z
155,1383,detailed information,information,348,information,head_parent_candidates,1.0,2025-12-17T15:05:15Z
156,1418,official documentation,documentation,3650,documentation,head_parent_candidates,1.0,2025-12-17T15:05:15Z
157,1420,primary slurmctld,slurmctld,201,slurmctld,head_parent_candidates,1.0,2025-12-17T15:05:15Z
158,1428,container job,job,50,job,head_parent_candidates,1.0,2025-12-17T15:05:15Z
