term_id,canonical_group,canonical_term,term_type,synonyms_json,abbreviations_json,definition,created_at,updated_at
1,Slurm,Slurm,,"[""Slurm plugins"", ""Slurm SQL"", ""Slurm database"", ""Slurm components"", ""Slurm controller"", ""Slurm partition"", ""Slurm accounting"", ""Slurm users""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
2,accounting,accounting,,"[""accounting tools"", ""accounting data"", ""accounting associations"", ""accounting privileges"", ""accounting database"", ""accounting log""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
3,job,job,,"[""job step"", ""job name"", ""job completion"", ""job information"", ""job runtime"", ""job processes"", ""job submission"", ""job scheduling"", ""job runs"", ""job output"", ""job completes"", ""job slots"", ""job commands"", ""job status"", ""job ID"", ""job options"", ""job report"", ""job abc_real"", ""job RES""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
4,job,job,,"[""job"", ""job name"", ""job completion"", ""job information"", ""job runtime"", ""job processes"", ""job submission"", ""job scheduling"", ""job runs"", ""job output"", ""job completes"", ""job slots"", ""job commands"", ""job status"", ""job ID"", ""job options"", ""job report"", ""job abc_real"", ""job RES""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
5,Accounting,Accounting,,"[""Accounting"", ""Accounting Interpretation"", ""Accounting limits""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
6,simple text,simple text,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
7,database,database,,"[""database security"", ""database use"", ""database server"", ""database tables"", ""database version"", ""database slurm_acct_db"", ""database object""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
8,Information,Information,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
9,sacct,sacct,,"[""sacct""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
10,resource,resource,,"[""resource accounting"", ""resource requirements"", ""resource availability"", ""resource limits"", ""resource broker"", ""resource map"", ""resource names"", ""resource sharing"", ""resource fragmentation""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
11,individual,individual,,"[""individual computer"", ""individual hosts"", ""individual sockets""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
12,load,load,,"[""load"", ""load thresholds"", ""load condition"", ""load levels"", ""load values""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
13,tasks,tasks,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
14,sstat,sstat,,"[""sstat""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
15,status,status,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
16,valuable,valuable,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
17,imbalance,imbalance,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
18,sreport,sreport,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
19,reports,reports,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
20,particular time,particular time,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
21,distinct plugin,distinct plugin,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
22,resource,resource,,"[""resource usage"", ""resource requirements"", ""resource availability"", ""resource limits"", ""resource broker"", ""resource map"", ""resource names"", ""resource sharing"", ""resource fragmentation""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
23,Slurm configuration,Slurm configuration,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
24,slurm.conf,slurm.conf,file,"[""slurm.conf file"", ""slurm.conf options""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
25,plugins,plugins,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
26,AccountingStorageType,AccountingStorageType,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
27,detailed,detailed,,"[""detailed information""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
28,job step,job step,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
29,text,text,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
30,SlurmDBD,SlurmDBD,,"[""SlurmDBD plugin"", ""SlurmDBD Configuration"", ""SlurmDBD executes"", ""SlurmDBD Archive""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
31,JobAcctGatherType,JobAcctGatherType,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
32,mechanism,mechanism,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
33,Supported,Supported,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
34,jobacct_gather,jobacct_gather,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
35,linux,linux,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
36,cgroup,cgroup,,"[""cgroup plugin""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
37,JobCompType,JobCompType,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
38,job completion,job completion,,"[""job completion plugin"", ""job completion data"", ""job completion records""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
39,job,job,,"[""job"", ""job step"", ""job completion"", ""job information"", ""job runtime"", ""job processes"", ""job submission"", ""job scheduling"", ""job runs"", ""job output"", ""job completes"", ""job slots"", ""job commands"", ""job status"", ""job ID"", ""job options"", ""job report"", ""job abc_real"", ""job RES""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
40,user,user,,"[""user commands"", ""user naming"", ""user ID"", ""user accounts"", ""user entities"", ""user associations"", ""user da"", ""user records"", ""user brian"", ""user processes"", ""user data"", ""user groups"", ""user cluster"", ""user claimed_user"", ""user uid""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
41,nodes,nodes,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
42,time,time,,"[""time period"", ""time zones""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
43,completion,completion,,"[""completion""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
44,exit,exit,,"[""exit value""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
45,preservation,preservation,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
46,only basic job,only basic job,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
47,needs,needs,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
48,minimal,minimal,,"[""minimal security""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
49,MariaDB,MariaDB,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
50,use,use,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
51,sacct,sacct,,"[""sacct command""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
52,appropriate,appropriate,,"[""appropriate values"", ""appropriate hosts"", ""appropriate options"", ""appropriate libraries""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
53,jobcomp,jobcomp,,"[""jobcomp plugin""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
54,filetxt,filetxt,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
55,pathname,pathname,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
56,file,file,,"[""file option"", ""file space"", ""file lsf10.1.0_linux2."", ""file respath""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
57,log,log,,"[""log files"", ""log directories""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
58,job_completions,job_completions,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
59,similar,similar,,"[""similar syntax""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
60,log,log,,"[""log"", ""log directories""]",[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
61,SIGUSR2,SIGUSR2,,[],[],,2025-11-20T22:07:46Z,2025-11-20T22:12:18Z
