canonical_term,term_type,synonyms_json,abbreviations_json,member_term_ids_json,freq_total,freq_docs,created_at,updated_at
slurm,,"[""Slurm"", ""Slurm SQL"", ""Slurm accounting"", ""Slurm components"", ""Slurm controller"", ""Slurm database"", ""Slurm partition"", ""Slurm plugins"", ""Slurm users""]",[],"[1, 76, 78, 277, 369, 491, 577, 606, 2183]",46,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
accounting,,"[""Accounting"", ""Accounting Interpretation"", ""Accounting limits"", ""Accounting records"", ""accounting associations"", ""accounting data"", ""accounting database"", ""accounting information"", ""accounting log"", ""accounting privileges"", ""accounting tools""]",[],"[2, 5, 101, 154, 340, 533, 564, 576, 605, 1016, 2184]",25,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
job,,"[""Job files"", ""Job owners"", ""Job states"", ""job ID"", ""job RES"", ""job abc_real"", ""job commands"", ""job completes"", ""job completion"", ""job information"", ""job name"", ""job options"", ""job output"", ""job processes"", ""job report"", ""job runs"", ""job runtime"", ""job scheduling"", ""job slots"", ""job status"", ""job step"", ""job submission"", ""jobs subdirectory""]",[],"[3, 4, 39, 171, 315, 632, 700, 739, 761, 861, 863, 892, 910, 919, 1199, 1249, 1253, 1255, 1273, 1278, 1281, 1304, 1340, 1744]",205,4,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
simple text,,"[""simple text file""]",[],[6],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
database,,"[""Database Configuration"", ""Database Daemon"", ""database object"", ""database security"", ""database server"", ""database slurm_acct_db"", ""database tables"", ""database use"", ""database version""]",[],"[7, 69, 79, 150, 262, 263, 342, 447, 530, 565]",42,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
information,,"[""Information""]",[],[8],30,3,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
sacct,,"[""sacct command""]",[],"[9, 49]",7,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
resource,,"[""Resource section"", ""resource accounting"", ""resource availability"", ""resource broker"", ""resource fragmentation"", ""resource limits"", ""resource map"", ""resource names"", ""resource requirements"", ""resource sharing"", ""resource usage"", ""resources"", ""resources license""]",[],"[10, 22, 781, 786, 816, 817, 980, 1537, 1554, 1563, 1592, 2124, 2201]",67,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
individual,,"[""individual computer"", ""individual hosts"", ""individual sockets"", ""individual tasks""]",[],"[11, 745, 815, 2064]",6,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
load,,"[""Load indices"", ""load condition"", ""load imbalance"", ""load levels"", ""load thresholds"", ""load values""]",[],"[12, 788, 818, 827, 848, 851, 870]",17,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
task,,"[""Task id"", ""task affinity"", ""task cgroup"", ""task ids"", ""task level"", ""task plugin"", ""tasks""]",[],"[13, 610, 2138, 2141, 2212, 2232, 2245]",83,4,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
sstat,,"[""sstat command""]",[],"[14, 631]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
statu,,"[""STATUS JL"", ""status""]",[],"[15, 1203]",15,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
valuable,,"[""valuable information""]",[],[16],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
imbalance,,[],[],[17],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
sreport,,[],[],[18],6,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
report,,"[""reports""]",[],[19],2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
particular time,,"[""particular time interval""]",[],[20],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
distinct plugin,,"[""distinct plugin types""]",[],[21],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
slurm configuration,,"[""Slurm configuration parameters""]",[],[23],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
slurm.conf,file,"[""slurm.conf file"", ""slurm.conf options""]",[],"[24, 381, 2071]",25,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
plugin,,"[""plugins""]",[],[25],4,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
accountingstoragetype,,"[""AccountingStorageType""]",[],[26],3,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
detailed,,"[""detailed information"", ""detailed job""]",[],"[27, 456]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
job step,,"[""job step information""]",[],[28],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
text,,"[""text file""]",[],[29],4,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
slurmdbd,,"[""SlurmDBD"", ""SlurmDBD Archive"", ""SlurmDBD Configuration"", ""SlurmDBD executes"", ""SlurmDBD plugin"", ""slurmdbd RPMs"", ""slurmdbd daemon"", ""slurmdbd start""]",[],"[30, 83, 86, 358, 360, 393, 453, 458]",39,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
jobacctgathertype,,"[""JobAcctGatherType""]",[],[31],2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
mechanism,,[],[],[32],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
supported,,"[""Supported values""]",[],[33],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
jobacct_gather,,[],[],[34],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
