canonical_id,canonical_term,term_type,synonyms_json,abbreviations_json,member_term_ids_json,freq_total,freq_docs,created_at,updated_at
1,effective usage ratio,,"[""Effective Usage Ratio""]",[],[1],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
2,account hierarchy,,"[""Account Hierarchy""]",[],[2],5,3,2025-12-16T17:20:45,2025-12-16T17:20:45
3,configuration,,"[""Configuration"", ""Typical configuration""]",[],"[3, 354]",90,41,2025-12-16T17:20:45,2025-12-16T17:20:45
5,depth,,[],[],[5],7,5,2025-12-16T17:20:45,2025-12-16T17:20:45
6,share factor,,[],[],[6],25,3,2025-12-16T17:20:45,2025-12-16T17:20:45
10,account,,"[""accounts"", ""specific accounts""]",[],"[10, 7830]",128,17,2025-12-16T17:20:45,2025-12-16T17:20:45
13,priority,,[],[],[13],76,24,2025-12-16T17:20:45,2025-12-16T17:20:45
14,multifactor plugin,,[],[],[14],7,6,2025-12-16T17:20:45,2025-12-16T17:20:45
18,share formula,,"[""Share Formula""]",[],[18],5,2,2025-12-16T17:20:45,2025-12-16T17:20:45
20,formula,,[],[],[20],9,3,2025-12-16T17:20:45,2025-12-16T17:20:45
21,result,,[],[],[21],25,14,2025-12-16T17:20:45,2025-12-16T17:20:45
22,level,,[],[],[22],37,18,2025-12-16T17:20:45,2025-12-16T17:20:45
23,tree,,[],[],[23],14,8,2025-12-16T17:20:45,2025-12-16T17:20:45
24,root,,[],[],[24],35,17,2025-12-16T17:20:45,2025-12-16T17:20:45
28,share,,"[""shares""]",[],[28],37,7,2025-12-16T17:20:45,2025-12-16T17:20:45
30,life decay,,[],[],[30],6,4,2025-12-16T17:20:45,2025-12-16T17:20:45
33,bit,,[],[],[33],5,5,2025-12-16T17:20:45,2025-12-16T17:20:45
36,sall_sibling,,"[""Sall_siblings""]",[],[36],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
38,usage ratio,,[],[],[38],3,1,2025-12-16T17:20:45,2025-12-16T17:20:45
40,sibling,,"[""siblings""]",[],[40],8,4,2025-12-16T17:20:45,2025-12-16T17:20:45
41,child,,"[""children""]",[],[41],21,6,2025-12-16T17:20:45,2025-12-16T17:20:45
42,time,,"[""times""]",[],[42],237,52,2025-12-16T17:20:45,2025-12-16T17:20:45
43,parent account,,[],[],[43],5,4,2025-12-16T17:20:45,2025-12-16T17:20:45
46,ancestor,,"[""ancestors""]",[],[46],7,2,2025-12-16T17:20:45,2025-12-16T17:20:45
48,hand,,[],[],[48],6,5,2025-12-16T17:20:45,2025-12-16T17:20:45
50,job,,"[""jobs"", ""multiple jobs""]",[],"[50, 248]",1530,70,2025-12-16T17:20:45,2025-12-16T17:20:45
52,rparent,,"[""Rparent""]",[],[52],3,1,2025-12-16T17:20:45,2025-12-16T17:20:45
53,usage,,[],[],[53],46,16,2025-12-16T17:20:45,2025-12-16T17:20:45
58,parent,,[],[],[58],16,7,2025-12-16T17:20:45,2025-12-16T17:20:45
62,case,,[],[],[62],92,41,2025-12-16T17:20:45,2025-12-16T17:20:45
64,function,,[],[],[64],79,23,2025-12-16T17:20:45,2025-12-16T17:20:45
65,slurm.conf parameter,,"[""slurm.conf parameters""]",[],[65],6,6,2025-12-16T17:20:45,2025-12-16T17:20:45
67,man page,,[],[],[67],38,20,2025-12-16T17:20:45,2025-12-16T17:20:45
68,detail,,"[""details""]",[],[68],88,39,2025-12-16T17:20:45,2025-12-16T17:20:45
69,priorityflag,,"[""PriorityFlags""]",[],[69],5,3,2025-12-16T17:20:45,2025-12-16T17:20:45
70,set,,"[""Set""]",[],[70],69,31,2025-12-16T17:20:45,2025-12-16T17:20:45
71,prioritytype,,"[""PriorityType""]",[],[71],6,5,2025-12-16T17:20:45,2025-12-16T17:20:45
72,multifactor,,[],[],[72],11,6,2025-12-16T17:20:45,2025-12-16T17:20:45
73,document,,[],[],[73],17,14,2025-12-16T17:20:45,2025-12-16T17:20:45
74,slurm administrator information,,"[""Slurm administrator information""]",[],[74],2,2,2025-12-16T17:20:45,2025-12-16T17:20:45
75,high throughput computing,,[],[],[75],4,2,2025-12-16T17:20:45,2025-12-16T17:20:45
76,execution,,[],[],[76],25,19,2025-12-16T17:20:45,2025-12-16T17:20:45
81,knowledge,,[],[],[81],4,4,2025-12-16T17:20:45,2025-12-16T17:20:45
82,slurm,,"[""Slurm"", ""multiple Slurm""]",[],"[82, 2973]",796,78,2025-12-16T17:20:45,2025-12-16T17:20:45
83,prerequisite,,[],[],[83],11,8,2025-12-16T17:20:45,2025-12-16T17:20:45
89,activity,,[],[],[89],7,4,2025-12-16T17:20:45,2025-12-16T17:20:45
90,high level,,"[""higher level""]",[],[90],7,5,2025-12-16T17:20:45,2025-12-16T17:20:45
92,hardware,,[],[],[92],5,5,2025-12-16T17:20:45,2025-12-16T17:20:45
93,system configuration,,"[""System configuration""]",[],[93],6,6,2025-12-16T17:20:45,2025-12-16T17:20:45
95,modification,,[],[],[95],8,7,2025-12-16T17:20:45,2025-12-16T17:20:45
96,large number,,[],[],[96],13,6,2025-12-16T17:20:45,2025-12-16T17:20:45
97,open file,,"[""open files""]",[],[97],7,4,2025-12-16T17:20:45,2025-12-16T17:20:45
98,tcp connection,,"[""TCP connections""]",[],[98],4,4,2025-12-16T17:20:45,2025-12-16T17:20:45
100,message,,"[""messages""]",[],[100],33,14,2025-12-16T17:20:45,2025-12-16T17:20:45
101,change,,"[""Changes""]",[],[101],59,29,2025-12-16T17:20:45,2025-12-16T17:20:45
105,file,,"[""files""]",[],[105],147,39,2025-12-16T17:20:45,2025-12-16T17:20:45
106,echo,,[],[],[106],14,7,2025-12-16T17:20:45,2025-12-16T17:20:45
107,proc,,[],[],[107],15,6,2025-12-16T17:20:45,2025-12-16T17:20:45
108,sys,,[],[],[108],11,3,2025-12-16T17:20:45,2025-12-16T17:20:45
109,max,,[],[],[109],17,7,2025-12-16T17:20:45,2025-12-16T17:20:45
110,maximum number,,[],[],[110],102,12,2025-12-16T17:20:45,2025-12-16T17:20:45
111,limit,,[],[],[111],131,19,2025-12-16T17:20:45,2025-12-16T17:20:45
112,net,,[],[],[112],6,4,2025-12-16T17:20:45,2025-12-16T17:20:45
113,ipv,,[],[],[113],12,3,2025-12-16T17:20:45,2025-12-16T17:20:45
116,memory,,[],[],[116],111,29,2025-12-16T17:20:45,2025-12-16T17:20:45
117,packet,,[],[],[117],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
118,default,,[],[],[118],351,52,2025-12-16T17:20:45,2025-12-16T17:20:45
119,system,,"[""systems""]",[],[119],124,39,2025-12-16T17:20:45,2025-12-16T17:20:45
123,number,,"[""specific number""]",[],"[123, 2000]",188,45,2025-12-16T17:20:45,2025-12-16T17:20:45
126,host,,"[""hosts""]",[],[126],49,17,2025-12-16T17:20:45,2025-12-16T17:20:45
129,functionality,,[],[],[129],32,21,2025-12-16T17:20:45,2025-12-16T17:20:45
133,word,,"[""words""]",[],[133],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
135,variable,,[],[],[135],8,5,2025-12-16T17:20:45,2025-12-16T17:20:45
136,integer,,[],[],[136],25,7,2025-12-16T17:20:45,2025-12-16T17:20:45
139,timeout,,[],[],[139],12,5,2025-12-16T17:20:45,2025-12-16T17:20:45
140,core,,[],[],[140],139,21,2025-12-16T17:20:45,2025-12-16T17:20:45
141,somaxconn,,[],[],[141],4,2,2025-12-16T17:20:45,2025-12-16T17:20:45
142,socket,,[],[],[142],105,22,2025-12-16T17:20:45,2025-12-16T17:20:45
144,userspace,,[],[],[144],4,3,2025-12-16T17:20:45,2025-12-16T17:20:45
145,burst,,"[""bursts""]",[],[145],6,3,2025-12-16T17:20:45,2025-12-16T17:20:45
146,request,,[],[],[146],95,28,2025-12-16T17:20:45,2025-12-16T17:20:45
148,slurm communication,,"[""Slurm communications""]",[],[148],5,4,2025-12-16T17:20:45,2025-12-16T17:20:45
150,communication,,"[""communications""]",[],[150],46,20,2025-12-16T17:20:45,2025-12-16T17:20:45
152,order,,[],[],[152],123,46,2025-12-16T17:20:45,2025-12-16T17:20:45
153,range,,[],[],[153],16,10,2025-12-16T17:20:45,2025-12-16T17:20:45
156,site,,[],[],[156],53,20,2025-12-16T17:20:45,2025-12-16T17:20:45
157,large cluster,,[],[],[157],12,8,2025-12-16T17:20:45,2025-12-16T17:20:45
160,thread,,"[""threads""]",[],[160],54,17,2025-12-16T17:20:45,2025-12-16T17:20:45
163,munge daemon,,"[""Munge daemon""]",[],[163],6,4,2025-12-16T17:20:45,2025-12-16T17:20:45
166,user,,"[""User"", ""multiple users"", ""specific user""]",[],"[166, 914, 8347]",473,65,2025-12-16T17:20:45,2025-12-16T17:20:45
167,ulimit,,[],[],[167],3,3,2025-12-16T17:20:45,2025-12-16T17:20:45
168,effect,,[],[],[168],33,13,2025-12-16T17:20:45,2025-12-16T17:20:45
169,slurmctld daemon,,[],[],[169],51,15,2025-12-16T17:20:45,2025-12-16T17:20:45
170,memory size,,[],[],[170],3,3,2025-12-16T17:20:45,2025-12-16T17:20:45
172,stack size,,[],[],[172],3,3,2025-12-16T17:20:45,2025-12-16T17:20:45
173,slurm configuration,,"[""Slurm Configuration""]",[],[173],8,6,2025-12-16T17:20:45,2025-12-16T17:20:45
174,slurm configuration parameter,,"[""Slurm configuration parameters""]",[],[174],5,4,2025-12-16T17:20:45,2025-12-16T17:20:45
175,environment,,"[""environments""]",[],[175],40,23,2025-12-16T17:20:45,2025-12-16T17:20:45
176,configuration option,,"[""configuration options""]",[],[176],9,9,2025-12-16T17:20:45,2025-12-16T17:20:45
178,accounting record,,"[""accounting records""]",[],[178],15,7,2025-12-16T17:20:45,2025-12-16T17:20:45
179,plugin,,"[""specific plugin""]",[],"[179, 2674]",247,40,2025-12-16T17:20:45,2025-12-16T17:20:45
181,performance,,[],[],[181],28,16,2025-12-16T17:20:45,2025-12-16T17:20:45
182,slurmdbd,,"[""SlurmDBD""]",[],[182],139,25,2025-12-16T17:20:45,2025-12-16T17:20:45
185,slurmdbd.conf,file,[],[],[185],18,8,2025-12-16T17:20:45,2025-12-16T17:20:45
186,jobacctgathertype,,"[""JobAcctGatherType""]",[],[186],13,10,2025-12-16T17:20:45,2025-12-16T17:20:45
187,collection,,[],[],[187],8,7,2025-12-16T17:20:45,2025-12-16T17:20:45
189,job throughput,,[],[],[189],4,2,2025-12-16T17:20:45,2025-12-16T17:20:45
194,jobcomp,,[],[],[194],18,9,2025-12-16T17:20:45,2025-12-16T17:20:45
197,script,,[],[],[197],65,27,2025-12-16T17:20:45,2025-12-16T17:20:45
198,internal lock,,"[""internal locks""]",[],[198],3,3,2025-12-16T17:20:45,2025-12-16T17:20:45
201,slurmctld,,"[""Multiple slurmctlds""]",[],"[201, 2265]",116,32,2025-12-16T17:20:45,2025-12-16T17:20:45
203,slurmctld daemon record,,"[""slurmctld daemon records""]",[],[203],1,1,2025-12-16T17:20:45,2025-12-16T17:20:45
204,point,,[],[],[204],17,13,2025-12-16T17:20:45,2025-12-16T17:20:45
205,running,,[],[],[205],7,6,2025-12-16T17:20:45,2025-12-16T17:20:45
207,response,,[],[],[207],68,7,2025-12-16T17:20:45,2025-12-16T17:20:45
208,responsiveness,,[],[],[208],7,6,2025-12-16T17:20:45,2025-12-16T17:20:45
209,minjobage,,"[""MinJobAge""]",[],[209],4,3,2025-12-16T17:20:45,2025-12-16T17:20:45
210,record,,[],[],[210],23,11,2025-12-16T17:20:45,2025-12-16T17:20:45
211,slurmctld memory,,[],[],[211],1,1,2025-12-16T17:20:45,2025-12-16T17:20:45
212,squeue command,,[],[],[212],14,9,2025-12-16T17:20:45,2025-12-16T17:20:45
213,log,,"[""logs""]",[],[213],20,10,2025-12-16T17:20:45,2025-12-16T17:20:45
215,option,,"[""general options"", ""options"", ""specific options""]",[],"[215, 9697, 9713]",228,52,2025-12-16T17:20:45,2025-12-16T17:20:45
216,fifo,,"[""FIFO""]","[""FIFO""]",[216],5,4,2025-12-16T17:20:45,2025-12-16T17:20:45
217,basi,,"[""basis""]",[],[217],5,4,2025-12-16T17:20:45,2025-12-16T17:20:45
218,prologslurmctld,,"[""PrologSlurmctld""]",[],[218],25,3,2025-12-16T17:20:45,2025-12-16T17:20:45
219,epilogslurmctld,,"[""EpilogSlurmctld""]",[],[219],28,3,2025-12-16T17:20:45,2025-12-16T17:20:45
220,separate slurmctld thread,,[],[],[220],1,1,2025-12-16T17:20:45,2025-12-16T17:20:45
222,task,,"[""specific tasks""]",[],"[222, 4675]",239,35,2025-12-16T17:20:45,2025-12-16T17:20:45
223,job array,,[],[],[223],49,10,2025-12-16T17:20:45,2025-12-16T17:20:45
229,schedulerparameter,,"[""SchedulerParameters""]",[],[229],9,6,2025-12-16T17:20:45,2025-12-16T17:20:45
232,scheduling,,[],[],[232],24,16,2025-12-16T17:20:45,2025-12-16T17:20:45
233,batch job,,"[""batch jobs""]",[],[233],50,16,2025-12-16T17:20:45,2025-12-16T17:20:45
234,overhead,,[],[],[234],8,6,2025-12-16T17:20:45,2025-12-16T17:20:45
235,rate,,[],[],[235],8,4,2025-12-16T17:20:45,2025-12-16T17:20:45
237,job submit time,,[],[],[237],4,4,2025-12-16T17:20:45,2025-12-16T17:20:45
241,individual job,,"[""individual jobs""]",[],[241],4,4,2025-12-16T17:20:45,2025-12-16T17:20:45
244,difference,,[],[],[244],16,12,2025-12-16T17:20:45,2025-12-16T17:20:45
246,interactive job,,"[""interactive jobs""]",[],[246],4,4,2025-12-16T17:20:45,2025-12-16T17:20:45
247,sbatch,,[],[],[247],52,24,2025-12-16T17:20:45,2025-12-16T17:20:45
250,configuration parameter,,[],[],[250],26,13,2025-12-16T17:20:45,2025-12-16T17:20:45
252,job termination,,[],[],[252],7,5,2025-12-16T17:20:45,2025-12-16T17:20:45
253,state change,,[],[],[253],4,4,2025-12-16T17:20:45,2025-12-16T17:20:45
255,scheduling logic,,[],[],[255],5,3,2025-12-16T17:20:45,2025-12-16T17:20:45
256,sched_interval,,[],[],[256],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
257,microsecond,,"[""microseconds""]",[],[257],10,4,2025-12-16T17:20:45,2025-12-16T17:20:45
259,delay,,[],[],[259],5,4,2025-12-16T17:20:45,2025-12-16T17:20:45
262,backfill plugin,,[],[],[262],4,4,2025-12-16T17:20:45,2025-12-16T17:20:45
266,backfill scheduling,,[],[],[266],21,7,2025-12-16T17:20:45,2025-12-16T17:20:45
267,note,,"[""NOTE""]","[""NOTE""]",[267],44,27,2025-12-16T17:20:45,2025-12-16T17:20:45
268,parameter,,"[""parameters""]",[],[268],58,29,2025-12-16T17:20:45,2025-12-16T17:20:45
271,bf_window,,[],[],[271],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
272,cluster,,"[""multiple clusters""]",[],"[272, 1834]",287,52,2025-12-16T17:20:45,2025-12-16T17:20:45
274,bf_continue,,[],[],[274],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
275,slurmctldparameter,,"[""SlurmctldParameters""]",[],[275],3,3,2025-12-16T17:20:45,2025-12-16T17:20:45
276,slurmctld daemon parameter,,"[""slurmctld daemon parameters""]",[],[276],1,1,2025-12-16T17:20:45,2025-12-16T17:20:45
278,size,,[],[],[278],25,14,2025-12-16T17:20:45,2025-12-16T17:20:45
284,thread count,,"[""thread counts""]",[],[284],4,3,2025-12-16T17:20:45,2025-12-16T17:20:45
290,global slurmctld lock,,"[""global slurmctld locks""]",[],[290],1,1,2025-12-16T17:20:45,2025-12-16T17:20:45
291,lock,,[],[],[291],10,4,2025-12-16T17:20:45,2025-12-16T17:20:45
292,contention,,[],[],[292],3,3,2025-12-16T17:20:45,2025-12-16T17:20:45
298,conmgr_thread,,"[""conmgr_threads""]",[],[298],3,1,2025-12-16T17:20:45,2025-12-16T17:20:45
299,sdiag,,[],[],[299],5,5,2025-12-16T17:20:45,2025-12-16T17:20:45
300,statistic,,"[""statistics""]",[],[300],9,7,2025-12-16T17:20:45,2025-12-16T17:20:45
304,crash,,[],[],[304],5,3,2025-12-16T17:20:45,2025-12-16T17:20:45
305,accounting,,[],[],[305],32,20,2025-12-16T17:20:45,2025-12-16T17:20:45
306,schedulertype,,"[""SchedulerType""]",[],[306],6,6,2025-12-16T17:20:45,2025-12-16T17:20:45
308,queue,,[],[],[308],31,15,2025-12-16T17:20:45,2025-12-16T17:20:45
309,logic,,[],[],[309],13,9,2025-12-16T17:20:45,2025-12-16T17:20:45
310,slurmctlddebug,,"[""SlurmctldDebug""]",[],[310],4,4,2025-12-16T17:20:45,2025-12-16T17:20:45
311,detailed logging,,[],[],[311],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
312,system throughput,,[],[],[312],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
313,error,,[],[],[313],123,25,2025-12-16T17:20:45,2025-12-16T17:20:45
314,info,,[],[],[314],13,9,2025-12-16T17:20:45,2025-12-16T17:20:45
317,slurmctldport,,"[""SlurmctldPort""]",[],[317],2,2,2025-12-16T17:20:45,2025-12-16T17:20:45
319,port,,[],[],[319],33,13,2025-12-16T17:20:45,2025-12-16T17:20:45
320,operating system,,[],[],[320],6,5,2025-12-16T17:20:45,2025-12-16T17:20:45
323,slurmddebug,,"[""SlurmdDebug""]",[],[323],6,5,2025-12-16T17:20:45,2025-12-16T17:20:45
324,local storage,,[],[],[324],5,4,2025-12-16T17:20:45,2025-12-16T17:20:45
325,ability,,[],[],[325],33,22,2025-12-16T17:20:45,2025-12-16T17:20:45
328,feature,,[],[],[328],56,22,2025-12-16T17:20:45,2025-12-16T17:20:45
330,token,,"[""tokens""]",[],[330],21,5,2025-12-16T17:20:45,2025-12-16T17:20:45
331,remote procedure call,,"[""Remote Procedure Calls""]",[],[331],3,3,2025-12-16T17:20:45,2025-12-16T17:20:45
335,scheduler,,[],[],[335],19,12,2025-12-16T17:20:45,2025-12-16T17:20:45
337,frequency,,[],[],[337],5,5,2025-12-16T17:20:45,2025-12-16T17:20:45
339,entity,,"[""entities""]",[],[339],12,7,2025-12-16T17:20:45,2025-12-16T17:20:45
343,minimum,,[],[],[343],16,10,2025-12-16T17:20:45,2025-12-16T17:20:45
344,slurmdbd configuration,,"[""SlurmDBD Configuration""]",[],[344],2,2,2025-12-16T17:20:45,2025-12-16T17:20:45
346,time slurmdbd,,[],[],[346],1,1,2025-12-16T17:20:45,2025-12-16T17:20:45
347,connection,,[],[],[347],24,9,2025-12-16T17:20:45,2025-12-16T17:20:45
348,information,,[],[],[348],142,44,2025-12-16T17:20:45,2025-12-16T17:20:45
349,database,,[],[],[349],96,20,2025-12-16T17:20:45,2025-12-16T17:20:45
352,purge,,"[""Purge""]",[],[352],3,3,2025-12-16T17:20:45,2025-12-16T17:20:45
353,data,,"[""Data""]",[],[353],63,4,2025-12-16T17:20:45,2025-12-16T17:20:45
356,job default,,"[""Job default""]",[],[356],4,2,2025-12-16T17:20:45,2025-12-16T17:20:45
357,flag,,"[""flags""]",[],[357],121,17,2025-12-16T17:20:45,2025-12-16T17:20:45
358,query parameter â,,"[""Query Parameter â""]",[],[358],44,1,2025-12-16T17:20:45,2025-12-16T17:20:45
360,return type,,"[""Return type""]",[],[360],59,1,2025-12-16T17:20:45,2025-12-16T17:20:45
362,content,,"[""Content""]",[],[362],91,16,2025-12-16T17:20:45,2025-12-16T17:20:45
363,type,,"[""Type"", ""specific type""]",[],"[363, 8248]",126,30,2025-12-16T17:20:45,2025-12-16T17:20:45
364,application,,[],[],[364],149,15,2025-12-16T17:20:45,2025-12-16T17:20:45
365,json,,[],[],[365],126,12,2025-12-16T17:20:45,2025-12-16T17:20:45
366,statu,,"[""status""]",[],[366],21,10,2025-12-16T17:20:45,2025-12-16T17:20:45
367,api call,,"[""API call""]",[],[367],72,3,2025-12-16T17:20:45,2025-12-16T17:20:45
368,media type,,"[""media types""]",[],[368],59,1,2025-12-16T17:20:45,2025-12-16T17:20:45
369,accept request header,,"[""Accept request header""]",[],[369],59,1,2025-12-16T17:20:45,2025-12-16T17:20:45
370,type response header,,"[""Type response header""]",[],[370],59,1,2025-12-16T17:20:45,2025-12-16T17:20:45
372,signal,,[],[],[372],12,8,2025-12-16T17:20:45,2025-12-16T17:20:45
373,list,,[],[],[373],103,33,2025-12-16T17:20:45,2025-12-16T17:20:45
374,consume,,"[""Consumes""]",[],[374],16,1,2025-12-16T17:20:45,2025-12-16T17:20:45
375,medium type,,"[""media types""]",[],[375],17,1,2025-12-16T17:20:45,2025-12-16T17:20:45
376,type request header,,"[""Type request header""]",[],[376],17,1,2025-12-16T17:20:45,2025-12-16T17:20:45
377,request body,,"[""Request body""]",[],[377],17,1,2025-12-16T17:20:45,2025-12-16T17:20:45
379,body parameter â,,"[""Body Parameter â""]",[],[379],17,1,2025-12-16T17:20:45,2025-12-16T17:20:45
380,description,,[],[],[380],39,15,2025-12-16T17:20:45,2025-12-16T17:20:45
382,path parameter,,"[""Path parameters""]",[],[382],18,1,2025-12-16T17:20:45,2025-12-16T17:20:45
383,node_name,,[],[],[383],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
386,reservation,,[],[],[386],103,14,2025-12-16T17:20:45,2025-12-16T17:20:45
388,job_id,,[],[],[388],14,5,2025-12-16T17:20:45,2025-12-16T17:20:45
390,query parameter,,"[""Query parameters""]",[],[390],30,1,2025-12-16T17:20:45,2025-12-16T17:20:45
392,unix timestamp,,"[""UNIX timestamp""]",[],[392],84,5,2025-12-16T17:20:45,2025-12-16T17:20:45
394,last_backfill,,[],[],[394],3,1,2025-12-16T17:20:45,2025-12-16T17:20:45
395,state,,[],[],[395],114,35,2025-12-16T17:20:45,2025-12-16T17:20:45
396,job state,,"[""job states""]",[],[396],18,6,2025-12-16T17:20:45,2025-12-16T17:20:45
398,job id,,"[""Job IDs""]",[],[398],19,7,2025-12-16T17:20:45,2025-12-16T17:20:45
399,state information,,[],[],[399],17,7,2025-12-16T17:20:45,2025-12-16T17:20:45
400,license,,"[""licenses""]",[],[400],71,10,2025-12-16T17:20:45,2025-12-16T17:20:45
403,remote,,"[""Remote""]",[],[403],6,2,2025-12-16T17:20:45,2025-12-16T17:20:45
404,lastconsumed,,"[""LastConsumed""]",[],[404],6,2,2025-12-16T17:20:45,2025-12-16T17:20:45
405,lastdeficit,,"[""LastDeficit""]",[],[405],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
406,licensename,,"[""LicenseName""]",[],[406],4,2,2025-12-16T17:20:45,2025-12-16T17:20:45
409,node,,"[""multiple nodes"", ""nodes"", ""specific nodes""]",[],"[409, 2022, 3759]",830,58,2025-12-16T17:20:45,2025-12-16T17:20:45
416,partition,,"[""multiple partitions"", ""partitions"", ""specific partition""]",[],"[416, 908, 2792]",244,33,2025-12-16T17:20:45,2025-12-16T17:20:45
419,ping,,[],[],[419],8,5,2025-12-16T17:20:45,2025-12-16T17:20:45
420,ping test,,[],[],[420],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
423,request slurmctld reconfigure,,[],[],[423],1,1,2025-12-16T17:20:45,2025-12-16T17:20:45
430,post,,[],[],[430],16,1,2025-12-16T17:20:45,2025-12-16T17:20:45
431,job allocation,,[],[],[431],56,17,2025-12-16T17:20:45,2025-12-16T17:20:45
432,step,,"[""steps""]",[],[432],109,29,2025-12-16T17:20:45,2025-12-16T17:20:45
443,v0.0.43_openapi_reservation_mod_resp,,[],[],[443],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
446,slurmdb,,"[""Slurmdb""]",[],[446],7,5,2025-12-16T17:20:45,2025-12-16T17:20:45
451,association,,[],[],[451],132,13,2025-12-16T17:20:45,2025-12-16T17:20:45
454,list default,,[],[],[454],6,1,2025-12-16T17:20:45,2025-12-16T17:20:45
456,default_qo,,"[""default_qos""]",[],[456],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
459,filter,,"[""Filter""]",[],[459],11,4,2025-12-16T17:20:45,2025-12-16T17:20:45
460,raw qos,,"[""raw QOS""]",[],[460],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
461,delta_qo,,"[""delta_qos""]",[],[461],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
462,acct information,,[],[],[462],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
463,parent id,,[],[],[463],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
464,format,,[],[],[464],68,12,2025-12-16T17:20:45,2025-12-16T17:20:45
465,process,,[],[],[465],95,27,2025-12-16T17:20:45,2025-12-16T17:20:45
466,output format default,,[],[],[466],13,1,2025-12-16T17:20:45,2025-12-16T17:20:45
467,null,,[],[],[467],23,6,2025-12-16T17:20:45,2025-12-16T17:20:45
468,i d,,[],[],[468],23,7,2025-12-16T17:20:45,2025-12-16T17:20:45
470,parent_account,,[],[],[470],5,1,2025-12-16T17:20:45,2025-12-16T17:20:45
471,parent account default,,[],[],[471],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
472,qos,,[],[],[472],208,13,2025-12-16T17:20:45,2025-12-16T17:20:45
473,usage_end,,[],[],[473],8,1,2025-12-16T17:20:45,2025-12-16T17:20:45
479,cluster_name,,[],[],[479],5,2,2025-12-16T17:20:45,2025-12-16T17:20:45
484,federation,,[],[],[484],35,6,2025-12-16T17:20:45,2025-12-16T17:20:45
486,rpc_version,,[],[],[486],3,1,2025-12-16T17:20:45,2025-12-16T17:20:45
487,cluster default,,"[""clusters default""]",[],[487],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
488,with_usage,,[],[],[488],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
489,usage default,,[],[],[489],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
493,v0.0.43_openapi_slurmdbd_qos_removed_resp,,[],[],[493],1,1,2025-12-16T17:20:45,2025-12-16T17:20:45
495,ping test v0.0.43_openapi_slurmdbd_qos_removed_resp,,[],[],[495],1,1,2025-12-16T17:20:45,2025-12-16T17:20:45
503,with_assoc,,"[""with_assocs""]",[],[503],3,1,2025-12-16T17:20:45,2025-12-16T17:20:45
504,association default,,"[""associations default""]",[],[504],4,1,2025-12-16T17:20:45,2025-12-16T17:20:45
505,with_coord,,"[""with_coords""]",[],[505],3,1,2025-12-16T17:20:45,2025-12-16T17:20:45
506,coordinator default,,"[""coordinators default""]",[],[506],5,1,2025-12-16T17:20:45,2025-12-16T17:20:45
507,v0.0.43_openapi_accounts_resp,,[],[],[507],3,1,2025-12-16T17:20:45,2025-12-16T17:20:45
515,coordinator,,"[""coordinators""]",[],[515],6,2,2025-12-16T17:20:45,2025-12-16T17:20:45
523,cluster list,,[],[],[523],3,2,2025-12-16T17:20:45,2025-12-16T17:20:45
525,configuration information,,[],[],[525],7,3,2025-12-16T17:20:45,2025-12-16T17:20:45
526,instance,,"[""instances""]",[],[526],31,12,2025-12-16T17:20:45,2025-12-16T17:20:45
527,slurmdbd configuration v0.0.43_openapi_slurmdbd_config_resp,,[],[],[527],1,1,2025-12-16T17:20:45,2025-12-16T17:20:45
529,slurmdb diagnostic,,"[""slurmdb diagnostics""]",[],[529],1,1,2025-12-16T17:20:45,2025-12-16T17:20:45
530,rpc,,"[""RPCs""]",[],[530],19,8,2025-12-16T17:20:45,2025-12-16T17:20:45
