term_id,term_text,related_term_id,related_text,relation_type,source,similarity,notes
1,Slurm,384,Slurm components,similar,embedding,1.0,
1,Slurm,501,Slurm controller,similar,embedding,1.0,
1,Slurm,608,Slurm partition,similar,embedding,0.9928257465362549,
1,Slurm,2191,default distribution method,similar,embedding,0.9849622249603271,
1,Slurm,2074,default allocation method,similar,embedding,0.9832321405410767,
1,Slurm,2174,default allocation,similar,embedding,0.9830448031425476,
1,Slurm,2076,available CPUs,similar,embedding,0.9817317724227905,
1,Slurm,74,Slurm plugins,similar,embedding,0.9813257455825806,
1,Slurm,2127,Slurm abstract CPU ids,similar,embedding,0.9811347723007202,
1,Slurm,2102,task plugin,similar,embedding,0.980728268623352,
2,accounting information,1883,same configuration information,similar,embedding,0.9970247745513916,
2,accounting information,1256,other information,similar,embedding,0.9968386888504028,
2,accounting information,464,detailed information,similar,embedding,0.9964466691017151,
2,accounting information,318,archiving information,similar,embedding,0.9961225986480713,
2,accounting information,528,relevant information,similar,embedding,0.9959204196929932,
2,accounting information,1187,historical information,similar,embedding,0.9956339597702026,
2,accounting information,1351,more time,similar,embedding,0.9944652915000916,
2,accounting information,1229,detailed queue information,similar,embedding,0.9940153956413269,
2,accounting information,1040,process information manager,similar,embedding,0.9933090209960938,
2,accounting information,1167,more help,similar,embedding,0.9931511282920837,
3,job,754,re-runnable job,similar,embedding,1.0000001192092896,
3,job,762,hung jobs,similar,embedding,1.0000001192092896,
3,job,878,suspended jobs,similar,embedding,1.0000001192092896,
3,job,1277,jobs subdirectory,similar,embedding,1.0000001192092896,
3,job,1301,specified jobs,similar,embedding,1.0000001192092896,
3,job,2015,Monitoring jobs,similar,embedding,1.0000001192092896,
3,job,2207,multi-thread job,similar,embedding,1.0000001192092896,
3,job,750,chunk job,similar,embedding,0.9911514520645142,
3,job,1580,Submit jobs,similar,embedding,0.9908570051193237,
3,job,680,other jobs,similar,embedding,0.9891840219497681,
4,job step,1475,job ID number,similar,embedding,0.9846786260604858,
4,job step,694,single task processes,similar,embedding,0.9846221804618835,
4,job step,2121,CPU management information,similar,embedding,0.9815506935119629,
4,job step,2088,same node,similar,embedding,0.980511486530304,
4,job step,2016,CPU Management User,similar,embedding,0.9787805080413818,
4,job step,807,Interactive task,similar,embedding,0.9782739877700806,
4,job step,26,job step information,similar,embedding,0.9769470691680908,
4,job step,2097,Different tasks,similar,embedding,0.9768903255462646,
4,job step,827,host CPU architecture,similar,embedding,0.9760258793830872,
4,job step,216,partition,similar,embedding,0.9757052659988403,
5,Accounting records,109,records,similar,embedding,0.9990503787994385,
5,Accounting records,117,Accounting,similar,embedding,0.998991847038269,
5,Accounting records,636,Accounting Interpretation,similar,embedding,0.998991847038269,
5,Accounting records,354,accounting data,similar,embedding,0.9984762072563171,
5,Accounting records,591,accounting privileges,similar,embedding,0.9974767565727234,
5,Accounting records,579,other associations,similar,embedding,0.9973818063735962,
5,Accounting records,554,accounting reports,similar,embedding,0.997316300868988,
5,Accounting records,191,accounting storage plugin,similar,embedding,0.9969194531440735,
5,Accounting records,62,password data,similar,embedding,0.9968361854553223,
5,Accounting records,539,accounting associations,similar,embedding,0.9966313242912292,
6,simple text file,319,separate configuration file,similar,embedding,0.99941086769104,
6,simple text file,393,slurm.conf file,similar,embedding,0.9992932677268982,
6,simple text file,997,Keyword definition file,similar,embedding,0.9992095232009888,
6,simple text file,1842,specific files,similar,embedding,0.9992016553878784,
6,simple text file,27,text file,similar,embedding,0.9991928935050964,
6,simple text file,991,Global configuration files,similar,embedding,0.9991477727890015,
6,simple text file,1492,file permission mode -rw-------,similar,embedding,0.9989880323410034,
6,simple text file,1344,wrapper files,similar,embedding,0.9989432096481323,
6,simple text file,730,several configuration files,similar,embedding,0.9989262223243713,
6,simple text file,1793,incorrect file permissions,similar,embedding,0.9989009499549866,
7,database,217,preferred database,similar,embedding,1.0,
7,database,182,same database,similar,embedding,0.9946480989456177,
7,database,77,database use,similar,embedding,0.9929670095443726,
7,database,376,database login name,similar,embedding,0.9927842020988464,
7,database,606,accounting database,similar,embedding,0.9922282099723816,
7,database,503,certain database entries,similar,embedding,0.9894819855690002,
7,database,592,database object,similar,embedding,0.9890986680984497,
7,database,67,database security,similar,embedding,0.9859883189201355,
7,database,46,MariaDB database,similar,embedding,0.9853483438491821,
7,database,495,production database,similar,embedding,0.9850886464118958,
8,Information,15,valuable information,similar,embedding,1.0,
8,Information,504,archived information,similar,embedding,1.0,
8,Information,507,TRES information,similar,embedding,1.0,
8,Information,1100,Exchange initialization information,similar,embedding,1.0,
8,Information,2123,limited information,similar,embedding,1.0,
8,Information,522,more information,similar,embedding,0.9953130483627319,
8,Information,1187,historical information,similar,embedding,0.991592288017273,
8,Information,1878,new information,similar,embedding,0.9897030591964722,
8,Information,1256,other information,similar,embedding,0.9868627190589905,
8,Information,2134,same information,similar,embedding,0.9868060946464539,
9,sacct command,1245,basic commands,similar,embedding,0.9993255138397217,
9,sacct command,1293,bstop command,similar,embedding,0.9991481900215149,
9,sacct command,1971,egosh command,similar,embedding,0.9991155862808228,
9,sacct command,1263,lsgrun command,similar,embedding,0.9991051554679871,
9,sacct command,1633,lshosts command,similar,embedding,0.999052107334137,
9,sacct command,1299,bresume command,similar,embedding,0.9990290403366089,
9,sacct command,1576,FLEXlm command lmstat,similar,embedding,0.998963475227356,
9,sacct command,930,automount command,similar,embedding,0.9989505410194397,
9,sacct command,1085,source command,similar,embedding,0.9989492893218994,
9,sacct command,1789,command request,similar,embedding,0.9988915920257568,
10,resource usage,1548,resource map,similar,embedding,0.9990866780281067,
10,resource usage,999,specific resources,similar,embedding,0.9989855289459229,
10,resource usage,895,resource consumers,similar,embedding,0.9989601373672485,
10,resource usage,868,Static resources,similar,embedding,0.9989374876022339,
10,resource usage,845,resource availability,similar,embedding,0.9989223480224609,
10,resource usage,814,resource requirements,similar,embedding,0.998859167098999,
10,resource usage,1302,necessary resources,similar,embedding,0.99876469373703,
10,resource usage,2162,resource fragmentation,similar,embedding,0.9985202550888062,
10,resource usage,2087,resource sharing,similar,embedding,0.9983521103858948,
10,resource usage,1534,End Resource,similar,embedding,0.9982545971870422,
11,individual tasks,681,many tasks,similar,embedding,0.9991945028305054,
11,individual tasks,2213,task cgroup,similar,embedding,0.9983202815055847,
11,individual tasks,2102,task plugin,similar,embedding,0.99809730052948,
11,individual tasks,641,task level,similar,embedding,0.9979557394981384,
11,individual tasks,820,Remote task,similar,embedding,0.9976357221603394,
11,individual tasks,2100,task affinity,similar,embedding,0.9973596930503845,
11,individual tasks,2173,Task id,similar,embedding,0.9972615838050842,
11,individual tasks,817,Local task,similar,embedding,0.9970778226852417,
11,individual tasks,2118,CPU usage,similar,embedding,0.9966142177581787,
11,individual tasks,2137,physical CPU layout,similar,embedding,0.9960616827011108,
12,load imbalance,1800,program load,similar,embedding,0.9989053010940552,
12,load imbalance,857,Load indices,similar,embedding,0.9985944628715515,
12,load imbalance,1176,marks load indexes,similar,embedding,0.9985944628715515,
12,load imbalance,1520,external load indexes,similar,embedding,0.9985328912734985,
12,load imbalance,861,External load,similar,embedding,0.9985138177871704,
12,load imbalance,847,load thresholds,similar,embedding,0.9983540773391724,
12,load imbalance,1559,first load index,similar,embedding,0.9983096122741699,
12,load imbalance,880,load levels,similar,embedding,0.998261570930481,
12,load imbalance,883,specific load index,similar,embedding,0.9980951547622681,
12,load imbalance,1558,first external load index,similar,embedding,0.9979588985443115,
13,tasks,691,outlier task,similar,embedding,0.9999997615814209,
13,tasks,650,cpu,similar,embedding,0.9912146329879761,
13,tasks,2069,Suballocates CPUs,similar,embedding,0.9912146329879761,
13,tasks,2136,CPU Numbering,similar,embedding,0.9912146329879761,
13,tasks,2165,unallocated CPUs,similar,embedding,0.9912146329879761,
13,tasks,2163,Allocate CPUs,similar,embedding,0.9909303188323975,
13,tasks,2073,CPU allocation,similar,embedding,0.9899183511734009,
13,tasks,2203,Allocate,similar,embedding,0.9882392883300781,
13,tasks,2126,CPU ids,similar,embedding,0.9880309104919434,
13,tasks,2193,task ids,similar,embedding,0.9864291548728943,
14,sstat command,1576,FLEXlm command lmstat,similar,embedding,0.999430775642395,
14,sstat command,1263,lsgrun command,similar,embedding,0.999417245388031,
14,sstat command,1971,egosh command,similar,embedding,0.9993893504142761,
14,sstat command,930,automount command,similar,embedding,0.9993540644645691,
14,sstat command,1129,bqueues command,similar,embedding,0.9991442561149597,
14,sstat command,1633,lshosts command,similar,embedding,0.9991427063941956,
14,sstat command,1293,bstop command,similar,embedding,0.9991307258605957,
14,sstat command,1245,basic commands,similar,embedding,0.9990939497947693,
14,sstat command,1609,ps -ef command,similar,embedding,0.999090850353241,
14,sstat command,1122,lsload command,similar,embedding,0.9990841150283813,
15,valuable information,8,Information,similar,embedding,1.0,
15,valuable information,504,archived information,similar,embedding,1.0,
15,valuable information,507,TRES information,similar,embedding,1.0,
15,valuable information,1100,Exchange initialization information,similar,embedding,1.0,
15,valuable information,2123,limited information,similar,embedding,1.0,
15,valuable information,522,more information,similar,embedding,0.9953130483627319,
15,valuable information,1187,historical information,similar,embedding,0.991592288017273,
15,valuable information,1878,new information,similar,embedding,0.9897030591964722,
15,valuable information,1256,other information,similar,embedding,0.9868627190589905,
15,valuable information,2134,same information,similar,embedding,0.9868060946464539,
16,imbalance,377,complete description,similar,embedding,0.9954982399940491,
16,imbalance,24,AccountingStorageType,similar,embedding,0.9953981041908264,
16,imbalance,534,exporter tool,similar,embedding,0.9953458309173584,
16,imbalance,306,insensitive collation,similar,embedding,0.9953221082687378,
16,imbalance,532,various graphs,similar,embedding,0.9952157735824585,
16,imbalance,1329,simple interface,similar,embedding,0.9951735734939575,
16,imbalance,1635,loopback IP,similar,embedding,0.9951550364494324,
16,imbalance,934,integration,similar,embedding,0.9950800538063049,
16,imbalance,2146,Many additional scenarios,similar,embedding,0.9950690269470215,
16,imbalance,301,collation,similar,embedding,0.9950509071350098,
17,sreport,534,exporter tool,similar,embedding,0.9982814192771912,
17,sreport,2149,n3 State,similar,embedding,0.9982055425643921,
17,sreport,513,Tools,similar,embedding,0.9981040954589844,
17,sreport,525,party tools,similar,embedding,0.9981040954589844,
17,sreport,1331,rename abc,similar,embedding,0.9980982542037964,
17,sreport,661,TresUsageInTot field,similar,embedding,0.9980747699737549,
17,sreport,1681,Windows password authentication,similar,embedding,0.9980444312095642,
17,sreport,218,Upgrade Guide,similar,embedding,0.9979479908943176,
17,sreport,675,dedicated fields MaxRSS,similar,embedding,0.9979156255722046,
17,sreport,279,specific situations,similar,embedding,0.9978612661361694,
18,reports,519,various reports,similar,embedding,0.9990556836128235,
18,reports,682,running,similar,embedding,0.9979276657104492,
18,reports,1096,few minutes,similar,embedding,0.997902512550354,
18,reports,499,separate instances,similar,embedding,0.9978553652763367,
18,reports,1974,current fix pack level,similar,embedding,0.9978446960449219,
18,reports,758,UNKWN state,similar,embedding,0.997842013835907,
18,reports,751,ZOMBI state,similar,embedding,0.9978189468383789,
18,reports,19,particular time interval,similar,embedding,0.9977918863296509,
18,reports,631,most cases,similar,embedding,0.9977632761001587,
18,reports,274,recent versions,similar,embedding,0.9976837635040283,
19,particular time interval,860,fixed time intervals,similar,embedding,0.9995262622833252,
19,particular time interval,499,separate instances,similar,embedding,0.9988287687301636,
19,particular time interval,239,first time,similar,embedding,0.9986857771873474,
19,particular time interval,1940,binary upgrade,similar,embedding,0.9986250400543213,
19,particular time interval,1218,different priorities,similar,embedding,0.9985247850418091,
19,particular time interval,55,similar tool,similar,embedding,0.9985092878341675,
19,particular time interval,1149,product entitlement version array,similar,embedding,0.9984956979751587,
19,particular time interval,631,most cases,similar,embedding,0.9983422160148621,
19,particular time interval,1798,swap space,similar,embedding,0.99833744764328,
19,particular time interval,1523,binary program,similar,embedding,0.9983229637145996,
20,distinct plugin types,1527,RESOURCENAME TYPE INTERVAL,similar,embedding,0.9982668161392212,
20,distinct plugin types,1744,specific model,similar,embedding,0.9981619119644165,
20,distinct plugin types,355,database type storage plugins,similar,embedding,0.9965463876724243,
20,distinct plugin types,1414,type columns,similar,embedding,0.9964799880981445,
20,distinct plugin types,703,various types,similar,embedding,0.9963805675506592,
20,distinct plugin types,1767,Matched Model,similar,embedding,0.9962855577468872,
20,distinct plugin types,1441,different default management host,similar,embedding,0.9946743249893188,
20,distinct plugin types,1440,current default management host,similar,embedding,0.9944912195205688,
20,distinct plugin types,1610,first few hosts,similar,embedding,0.9942480325698853,
20,distinct plugin types,1734,type UNKNOWN,similar,embedding,0.9940929412841797,
21,resource accounting,614,Resource Limits document,similar,embedding,0.9972655773162842,
21,resource accounting,1240,Resource usage limits,similar,embedding,0.9971798658370972,
21,resource accounting,611,Resource Limits web page,similar,embedding,0.9968988299369812,
21,resource accounting,846,resource limits,similar,embedding,0.9964074492454529,
21,resource accounting,814,resource requirements,similar,embedding,0.9963650703430176,
21,resource accounting,1588,external resources,similar,embedding,0.9963433742523193,
21,resource accounting,1534,End Resource,similar,embedding,0.9963226914405823,
21,resource accounting,1061,other shared resources,similar,embedding,0.9961378574371338,
21,resource accounting,1585,resource requirement string,similar,embedding,0.9961005449295044,
21,resource accounting,999,specific resources,similar,embedding,0.996041476726532,
22,Slurm configuration parameters,317,Several Slurm configuration parameters,similar,embedding,0.9988549947738647,
22,Slurm configuration parameters,227,slurm configure script,similar,embedding,0.9972849488258362,
22,Slurm configuration parameters,23,plugins,similar,embedding,0.9964928030967712,
22,Slurm configuration parameters,647,JobAcctGather plugin,similar,embedding,0.9964928030967712,
22,Slurm configuration parameters,148,single configuration file,similar,embedding,0.9955281615257263,
22,Slurm configuration parameters,408,NOTE,similar,embedding,0.9955201148986816,
22,Slurm configuration parameters,141,machine,similar,embedding,0.9954802989959717,
22,Slurm configuration parameters,1136,Copyright International Business Machines Corp,similar,embedding,0.9954802989959717,
22,Slurm configuration parameters,143,single MUNGE key,similar,embedding,0.9954009652137756,
22,Slurm configuration parameters,535,performance metrics,similar,embedding,0.9953973293304443,
23,plugins,647,JobAcctGather plugin,similar,embedding,1.0000001192092896,
23,plugins,48,appropriate plugin,similar,embedding,0.998510479927063,
23,plugins,191,accounting storage plugin,similar,embedding,0.998405933380127,
23,plugins,317,Several Slurm configuration parameters,similar,embedding,0.9974163770675659,
23,plugins,172,accounting tools,similar,embedding,0.9973894953727722,
23,plugins,417,accounting storage mechanism,similar,embedding,0.9971730709075928,
23,plugins,554,accounting reports,similar,embedding,0.9965022206306458,
23,plugins,22,Slurm configuration parameters,similar,embedding,0.9964928030967712,
23,plugins,205,jobcomp plugin,similar,embedding,0.9964650869369507,
23,plugins,150,different configurations,similar,embedding,0.9964624643325806,
24,AccountingStorageType,551,description,similar,embedding,0.9977130889892578,
