term_id,term_text,tf,idf,tf_idf,c_value,score
82,host,118.00,1.51,178.28,0.00,7.22
678,LSF,112.00,1.51,169.21,0.00,8.64
3,job,163.00,1.00,163.00,0.00,5.10
829,LIM,51.00,1.92,97.73,0.00,9.07
87,cluster,96.00,1.00,96.00,0.00,4.57
41,nodes,51.00,1.51,77.05,0.00,5.97
68,users,60.00,1.22,73.39,0.00,5.03
13,tasks,64.00,1.00,64.00,0.00,4.17
619,cpu,42.00,1.51,63.45,0.00,5.68
275,command,50.00,1.22,61.16,0.00,4.81
261,error,40.00,1.51,60.43,0.00,5.61
781,resources,40.00,1.51,60.43,0.00,5.61
7,database,31.00,1.92,59.41,0.00,6.64
30,SlurmDBD,30.00,1.92,57.49,0.00,8.58
679,LSF daemons,28.00,1.92,53.66,26.60,8.39
1,Slurm,35.00,1.51,52.88,0.00,6.11
54,file,47.00,1.00,47.00,0.00,3.87
704,queue,31.00,1.51,46.84,0.00,5.24
743,procedure,31.00,1.51,46.84,0.00,5.24
950,lsf.conf file,23.00,1.92,44.07,21.33,7.92
2065,cores,23.00,1.92,44.07,0.00,6.09
677,configuration files,22.00,1.92,42.16,20.80,7.81
875,LSF_CONFDIR,22.00,1.92,42.16,0.00,8.01
2067,consumable resources,22.00,1.92,42.16,18.00,7.81
114,default,27.00,1.51,40.79,0.00,5.03
396,root,26.00,1.51,39.28,0.00,4.98
840,number,26.00,1.51,39.28,0.00,4.98
8,Information,30.00,1.22,36.69,0.00,4.90
777,message,19.00,1.92,36.41,0.00,5.74
793,Host types,19.00,1.92,36.41,17.00,7.46
835,ELIM,19.00,1.92,36.41,0.00,7.24
1225,license,19.00,1.92,36.41,0.00,5.74
186,mysql,18.00,1.92,34.49,0.00,5.64
876,lsf.cluster.cluster_name file,18.00,1.92,34.49,18.00,7.34
2109,Allocation,18.00,1.92,34.49,0.00,6.34
2122,distribution,18.00,1.92,34.49,0.00,5.64
877,share,17.00,1.92,32.58,0.00,5.54
2071,slurm.conf options,17.00,1.92,32.58,17.00,7.20
833,LSF administrator,16.00,1.92,30.66,12.00,7.06
