term_id,tf,df,idf,tf_idf,updated_at
1,42.0,2,1.5108256237659907,63.45467619817161,2025-11-30T20:56:51Z
2,4.0,1,1.916290731874155,7.66516292749662,2025-11-30T20:56:51Z
3,195.0,4,1.0,195.0,2025-11-30T20:56:51Z
4,7.0,2,1.5108256237659907,10.575779366361935,2025-11-30T20:56:51Z
5,7.0,1,1.916290731874155,13.414035123119085,2025-11-30T20:56:51Z
6,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
7,35.0,1,1.916290731874155,67.07017561559543,2025-11-30T20:56:51Z
8,30.0,3,1.2231435513142097,36.69430653942629,2025-11-30T20:56:51Z
9,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
10,3.0,2,1.5108256237659907,4.532476871297972,2025-11-30T20:56:51Z
11,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
12,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
13,89.0,4,1.0,89.0,2025-11-30T20:56:51Z
14,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
15,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
16,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
17,5.0,1,1.916290731874155,9.581453659370776,2025-11-30T20:56:51Z
18,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
19,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
20,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
21,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
22,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
23,5.0,2,1.5108256237659907,7.554128118829953,2025-11-30T20:56:51Z
24,4.0,1,1.916290731874155,7.66516292749662,2025-11-30T20:56:51Z
25,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
26,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
27,4.0,1,1.916290731874155,7.66516292749662,2025-11-30T20:56:51Z
28,44.0,1,1.916290731874155,84.31679220246282,2025-11-30T20:56:51Z
29,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
30,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
31,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
32,15.0,3,1.2231435513142097,18.347153269713147,2025-11-30T20:56:51Z
33,3.0,2,1.5108256237659907,4.532476871297972,2025-11-30T20:56:51Z
34,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T20:56:51Z
35,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
36,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
37,10.0,2,1.5108256237659907,15.108256237659907,2025-11-30T20:56:51Z
38,73.0,2,1.5108256237659907,110.29027053491733,2025-11-30T20:56:51Z
39,12.0,2,1.5108256237659907,18.12990748519189,2025-11-30T20:56:51Z
40,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
41,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
