term_id,term_text,term_lemma,length_tokens,tf,df,idf,tf_idf,updated_at
1,Slurm,slurm,1,42.0,2,1.5108256237659907,63.45467619817161,2025-11-30T22:57:43Z
2,accounting information,accounting information,2,4.0,1,1.916290731874155,7.66516292749662,2025-11-30T22:57:43Z
3,job,job,1,195.0,4,1.0,195.0,2025-11-30T22:57:43Z
4,job step,job step,2,7.0,2,1.5108256237659907,10.575779366361935,2025-11-30T22:57:43Z
5,Accounting records,accounting record,2,7.0,1,1.916290731874155,13.414035123119085,2025-11-30T22:57:43Z
6,simple text file,simple text file,3,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
7,database,database,1,35.0,1,1.916290731874155,67.07017561559543,2025-11-30T22:57:43Z
8,Information,information,1,30.0,3,1.2231435513142097,36.69430653942629,2025-11-30T22:57:43Z
9,sacct command,sacct command,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
10,resource usage,resource usage,2,3.0,2,1.5108256237659907,4.532476871297972,2025-11-30T22:57:43Z
11,individual tasks,individual task,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
12,load imbalance,load imbalance,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
13,tasks,task,1,89.0,4,1.0,89.0,2025-11-30T22:57:43Z
14,sstat command,sstat command,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
15,valuable information,valuable information,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
16,imbalance,imbalance,1,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
17,sreport,sreport,1,5.0,1,1.916290731874155,9.581453659370776,2025-11-30T22:57:43Z
18,reports,report,1,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T22:57:43Z
19,particular time interval,particular time interval,3,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
20,distinct plugin types,distinct plugin type,3,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
21,resource accounting,resource accounting,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
22,Slurm configuration parameters,slurm configuration parameter,3,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
23,plugins,plugin,1,5.0,2,1.5108256237659907,7.554128118829953,2025-11-30T22:57:43Z
24,AccountingStorageType,accountingstoragetype,1,4.0,1,1.916290731874155,7.66516292749662,2025-11-30T22:57:43Z
25,detailed job,detailed job,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
26,job step information,job step information,3,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
27,text file,text file,2,4.0,1,1.916290731874155,7.66516292749662,2025-11-30T22:57:43Z
28,SlurmDBD,slurmdbd,1,44.0,1,1.916290731874155,84.31679220246282,2025-11-30T22:57:43Z
29,JobAcctGatherType,jobacctgathertype,1,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T22:57:43Z
30,mechanism,mechanism,1,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
31,jobacct_gather,jobacct_gather,1,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
32,linux,linux,1,15.0,3,1.2231435513142097,18.347153269713147,2025-11-30T22:57:43Z
33,cgroup,cgroup,1,3.0,2,1.5108256237659907,4.532476871297972,2025-11-30T22:57:43Z
34,JobCompType,jobcomptype,1,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T22:57:43Z
35,job completion information,job completion information,3,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
36,job name,job name,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
37,user name,user name,2,10.0,2,1.5108256237659907,15.108256237659907,2025-11-30T22:57:43Z
38,nodes,node,1,73.0,2,1.5108256237659907,110.29027053491733,2025-11-30T22:57:43Z
39,time,time,1,12.0,2,1.5108256237659907,18.12990748519189,2025-11-30T22:57:43Z
40,completion time,completion time,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
41,exit status,exit statu,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
42,preservation,preservation,1,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
43,only basic job information,only basic job information,4,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
44,minimal overhead,minimal overhead,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
45,MySQL,mysql,1,20.0,1,1.916290731874155,38.325814637483106,2025-11-30T22:57:43Z
46,MariaDB database,mariadb database,2,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T22:57:43Z
47,sacct,sacct,1,6.0,1,1.916290731874155,11.49774439124493,2025-11-30T22:57:43Z
48,appropriate plugin,appropriate plugin,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
49,jobcomp,jobcomp,1,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T22:57:43Z
50,filetxt,filetxt,1,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T22:57:43Z
51,pathname,pathname,1,4.0,1,1.916290731874155,7.66516292749662,2025-11-30T22:57:43Z
52,file,file,1,42.0,2,1.5108256237659907,63.45467619817161,2025-11-30T22:57:43Z
53,log,log,1,4.0,2,1.5108256237659907,6.043302495063963,2025-11-30T22:57:43Z
54,job_completions,job_completion,1,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
55,similar tool,similar tool,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
56,log files,log file,2,2.0,2,1.5108256237659907,3.0216512475319814,2025-11-30T22:57:43Z
57,SIGUSR2 signal,sigusr2 signal,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
58,slurmctld daemon,slurmctld daemon,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
59,new log files,new log file,3,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
60,data,datum,1,14.0,1,1.916290731874155,26.82807024623817,2025-11-30T22:57:43Z
61,availability,availability,1,4.0,2,1.5108256237659907,6.043302495063963,2025-11-30T22:57:43Z
62,password data,password datum,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
63,Slurm control daemon,slurm control daemon,3,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
64,slurmctld,slurmctld,1,12.0,2,1.5108256237659907,18.12990748519189,2025-11-30T22:57:43Z
65,user commands,user command,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
66,users,user,1,67.0,3,1.2231435513142097,81.95061793805205,2025-11-30T22:57:43Z
67,database security,database security,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
68,intermediate daemon,intermediate daemon,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
69,better security,well security,2,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T22:57:43Z
70,performance,performance,1,7.0,2,1.5108256237659907,10.575779366361935,2025-11-30T22:57:43Z
71,Slurm Database Daemon,slurm database daemon,3,5.0,1,1.916290731874155,9.581453659370776,2025-11-30T22:57:43Z
72,such services,such service,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
73,configuration,configuration,1,15.0,3,1.2231435513142097,18.347153269713147,2025-11-30T22:57:43Z
74,Slurm plugins,slurm plugin,2,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T22:57:43Z
75,authentication,authentication,1,6.0,2,1.5108256237659907,9.064953742595945,2025-11-30T22:57:43Z
76,Slurm SQL,slurm sql,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
77,database use,database use,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
78,other Slurm commands,other slurm command,3,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
79,daemons,daemon,1,11.0,2,1.5108256237659907,16.619081861425897,2025-11-30T22:57:43Z
80,host,host,1,128.0,2,1.5108256237659907,193.3856798420468,2025-11-30T22:57:43Z
81,slurmdbd RPMs,slurmdbd rpm,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
82,server,server,1,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
83,MySQL plugin,mysql plugin,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
84,SlurmDBD plugin,slurmdbd plugin,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
85,cluster,cluster,1,103.0,4,1.0,103.0,2025-11-30T22:57:43Z
86,sacctmgr list cluster,sacctmgr list cluster,3,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
87,snowflake,snowflake,1,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T22:57:43Z
88,cluster snowflake,cluster snowflake,2,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T22:57:43Z
89,Failure,failure,1,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
90,switch,switch,1,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
91,new version,new version,2,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T22:57:43Z
