term_id,doc_id,sent_idx,token_start,token_end,cleaned_version
1,doc_4387,1,0,0,1
2,doc_4387,1,6,7,1
3,doc_4387,1,10,10,1
4,doc_4387,1,12,13,1
5,doc_4387,1,16,17,1
6,doc_4387,1,23,25,1
7,doc_4387,1,28,28,1
8,doc_4387,1,30,30,1
3,doc_4387,1,37,37,1
3,doc_4387,1,39,39,1
9,doc_4387,1,46,47,1
10,doc_4387,1,50,51,1
3,doc_4387,1,56,56,1
11,doc_4387,1,58,59,1
12,doc_4387,1,67,68,1
13,doc_4387,1,71,71,1
14,doc_4387,1,74,75,1
15,doc_4387,1,80,80,1
3,doc_4387,1,84,84,1
16,doc_4387,1,91,92,1
17,doc_4387,1,94,94,1
13,doc_4387,1,96,96,1
18,doc_4387,1,99,99,1
19,doc_4387,1,105,105,1
3,doc_4387,1,109,109,1
20,doc_4387,1,113,115,1
21,doc_4387,2,3,5,1
22,doc_4387,2,8,9,1
23,doc_4387,3,1,3,1
24,doc_4387,3,6,6,1
25,doc_4387,3,11,11,1
26,doc_4387,3,15,15,1
27,doc_4387,3,18,19,1
28,doc_4387,3,21,23,1
8,doc_4387,3,31,31,1
29,doc_4387,3,34,35,1
30,doc_4387,3,38,38,1
31,doc_4387,4,0,0,1
32,doc_4387,4,8,8,1
2,doc_4387,4,13,14,1
33,doc_4387,4,16,17,1
34,doc_4387,4,19,19,1
35,doc_4387,4,21,21,1
34,doc_4387,4,23,23,1
36,doc_4387,4,25,25,1
34,doc_4387,4,27,27,1
37,doc_4387,4,29,29,1
8,doc_4387,4,32,32,1
38,doc_4387,5,0,0,1
39,doc_4387,5,3,5,1
40,doc_4387,5,20,21,1
41,doc_4387,5,23,24,1
42,doc_4387,5,27,27,1
43,doc_4387,5,30,30,1
44,doc_4387,5,32,33,1
45,doc_4387,5,35,36,1
46,doc_4387,5,42,42,1
47,doc_4387,5,44,47,1
25,doc_4387,5,52,52,1
48,doc_4387,5,56,56,1
49,doc_4387,5,58,59,1
8,doc_4387,5,65,65,1
29,doc_4387,5,68,69,1
50,doc_4387,5,74,75,1
51,doc_4387,6,1,1,1
52,doc_4387,6,3,3,1
